Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Peugeot 206 2.0 Cc Cu,Córdoba,2.0 Cc Cu,,Peugeot,206,2004,Nafta,2.0,Manual,2.0,Cabriolet,80000.0,Hidráulica,Delantera,2.0,138.0,13900.0
Peugeot 206 1.6 Xs Premium,Bs.As. G.B.A. Oeste,1.6 Xs Premium,,Peugeot,206,2007,Nafta,3.0,Manual,1.6,Hatchback,126000.0,Hidráulica,Delantera,5.0,90.0,5500.0
Peugeot 206 1.6 Xs Premium,Bs.As. G.B.A. Oeste,1.6 Xs Premium,,Peugeot,206,2005,Nafta,3.0,Manual,1.6,Hatchback,186000.0,Hidráulica,Delantera,5.0,90.0,6000.0
Peugeot 206 1.6 Xs Premium,Ubicación no encontrada,1.6 Xs Premium,,Peugeot,206,2006,Nafta,3.0,Manual,1.6,Hatchback,145000.0,Hidráulica,Delantera,5.0,90.0,5500.0
Peugeot 206 1.6 Xs Premium,Bs.As. G.B.A. Norte,1.6 Xs Premium,Gris,Peugeot,206,2007,Nafta,3.0,Manual,1.6,Hatchback,184000.0,Hidráulica,Delantera,5.0,90.0,6100.0
Peugeot 206 1.9 Xrd Premium 5 p,Bs.As. G.B.A. Sur,1.9 Xrd Premium 5 p,,Peugeot,206,2005,Diésel,5.0,Manual,1.9,Hatchback,283000.0,Hidráulica,Delantera,5.0,70.0,4300.0
Peugeot 206 1.6 Premium,Bs.As. G.B.A. Norte,1.6 Premium,,Peugeot,206,2006,Nafta,5.0,Manual,1.6,Hatchback,183723.0,Hidráulica,Delantera,5.0,90.0,3700.0
Peugeot 206 1.6 Xs,Capital Federal,1.6 Xs,Azul,Peugeot,206,2006,Nafta,3.0,Manual,1.6,Hatchback,120000.0,Hidráulica,Delantera,5.0,90.0,4131.0344827586205
Peugeot 206 1.6 Xt Premium,Bs.As. G.B.A. Norte,1.6 Xt Premium,Gris,Peugeot,206,2006,Nafta,5.0,Manual,1.6,Hatchback,121000.0,Hidráulica,Delantera,5.0,90.0,5000.0
Peugeot 206 1.6 Xr Premium,Ubicación no encontrada,1.6 Xr Premium,Gris,Peugeot,206,2006,Nafta,5.0,Manual,1.6,Hatchback,198000.0,Hidráulica,Delantera,5.0,90.0,4400.0
Peugeot 206 1.6 Sw Xs Premium,Bs.As. G.B.A. Sur,1.6 Sw Xs Premium,Plateado,Peugeot,206,2008,Nafta,5.0,Manual,1.6,Rural,160624.0,Hidráulica,Delantera,5.0,110.0,6200.0
Peugeot 206 1.9 Xrd Confort,Ubicación no encontrada,1.9 Xrd Confort,,Peugeot,206,2005,Diésel,5.0,Manual,1.9,Hatchback,175000.0,Hidráulica,Delantera,5.0,70.0,4275.862068965517
Peugeot 206 1.6 Xr Premium,Ubicación no encontrada,1.6 Xr Premium,Negro,Peugeot,206,2008,Nafta,5.0,Manual,1.6,Hatchback,143000.0,Hidráulica,Delantera,5.0,110.0,5500.0
Peugeot 206 1.6 Xs Premium,Bs.As. G.B.A. Oeste,1.6 Xs Premium,Gris,Peugeot,206,2008,Nafta,5.0,Manual,1.6,Hatchback,97000.0,Hidráulica,Delantera,5.0,110.0,5700.0
Peugeot 206 1.6 Xs Premium,Bs.As. G.B.A. Oeste,1.6 Xs Premium,,Peugeot,206,2007,Nafta,3.0,Manual,1.6,Hatchback,140000.0,Hidráulica,Delantera,5.0,90.0,6300.0
Peugeot 206 Xs premium,Catamarca,Xs premium,,Peugeot,206,2008,Nafta,5.0,Manual,1.6,Rural,193000.0,Hidráulica,Delantera,5.0,110.0,4689.6551724137935
Peugeot 206 1.4 Allure 75cv,Ubicación no encontrada,1.4 Allure 75cv,Rojo,Peugeot,206,2012,Nafta,5.0,Manual,1.4,Hatchback,160000.0,Mecánica,Delantera,5.0,75.0,5517.241379310345
Peugeot 206 1.6 Xr Premium 3 p,Bs.As. G.B.A. Oeste,1.6 Xr Premium 3 p,,Peugeot,206,2000,Nafta,3.0,Manual,1.6,Hatchback,152000.0,Asistida,Delantera,5.0,90.0,3103.448275862069
Peugeot 206 1.6 Xs Premium,Capital Federal,1.6 Xs Premium,Verde,Peugeot,206,2005,Nafta,5.0,Manual,1.6,Hatchback,123000.0,Hidráulica,Delantera,5.0,90.0,6300.0
Peugeot 206 1.6 Xt,Ubicación no encontrada,1.6 Xt,,Peugeot,206,2007,Nafta,5.0,Manual,1.6,Hatchback,140000.0,Hidráulica,Delantera,5.0,90.0,4965.517241379311
Peugeot 206 1.4 Generation 75cv,Ubicación no encontrada,1.4 Generation 75cv,Gris,Peugeot,206,2009,Nafta,5.0,Manual,1.4,Hatchback,12300.0,Mecánica,Delantera,5.0,75.0,5500.0
Peugeot 206 1.4 Generation Plus 75cv,Bs.As. G.B.A. Norte,1.4 Generation Plus 75cv,,Peugeot,206,2009,Nafta,5.0,Manual,1.4,Hatchback,181000.0,Mecánica,Delantera,5.0,75.0,6000.0
Peugeot 206 206 premium full,Santa Fe,206 premium full,,Peugeot,206,2007,Diésel,5.0,Manual,1.6,Hatchback,200000.0,Hidráulica,Delantera,5.0,90.0,3448.2758620689656
Peugeot 206 1.6 Xr Premium,Bs.As. G.B.A. Oeste,1.6 Xr Premium,Rojo,Peugeot,206,2004,Nafta,5.0,Manual,1.6,Hatchback,187000.0,Hidráulica,Delantera,5.0,90.0,4500.0
Peugeot 206 1.6 Sw Premium,Bs.As. G.B.A. Sur,1.6 Sw Premium,Gris,Peugeot,206,2007,Nafta,5.0,Manual,1.6,Rural,242000.0,Hidráulica,Delantera,5.0,110.0,5200.0
Peugeot 206 1.6 Xr Premium,Capital Federal,1.6 Xr Premium,Gris,Peugeot,206,2004,Nafta,5.0,Manual,1.6,Hatchback,144000.0,Hidráulica,Delantera,5.0,90.0,4800.0
