Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Citroën C3 1.6 Exclusive Vti 115cv,Ubicación no encontrada,1.6 Exclusive Vti 115cv,Rojo,,C3,2013,,,,,,,,,,,7733.33
Citroën C3 1.6 Vti 115 Feel,Bs.As. G.B.A. Sur,1.6 Vti 115 Feel,Gris,,C3,2017,,,,,,,,,,,11000.0
Citroën C3 1.6 Vti 115 Feel,Córdoba,1.6 Vti 115 Feel,Blanco,,C3,2020,,,,,,,,,,,12900.0
Citroën C3 1.5 Soundtrack I 90cv,Ubicación no encontrada,1.5 Soundtrack I 90cv,,,C3,2016,,,,,,,,,,,10000.0
Citroën C3 1.6 I Exclusive Facelift,Ubicación no encontrada,1.6 I Exclusive Facelift,Gris,,C3,2009,,,,,,,,,,,5333.33
Citroën C3 1.6 Vti 115 Feel,Ubicación no encontrada,1.6 Vti 115 Feel,,,C3,2021,,,,,,,,,,,13666.67
Citroën C3 1.5 Tendance I 90cv,Bs.As. G.B.A. Norte,1.5 Tendance I 90cv,Azul,,C3,2013,,,,,,,,,,,7500.0
Citroën C3 1.5 I 90cv Tendance Pack Secure,Ubicación no encontrada,1.5 I 90cv Tendance Pack Secure,Rojo,,C3,2015,,,,,,,,,,,9900.0
Citroën C3 1.6 Vti 115 Live,Buenos Aires Interior,1.6 Vti 115 Live,,,C3,2018,,,,,,,,,,,13000.0
Citroën C3 1.6 16v Vti 115 First Edition,Bs.As. G.B.A. Oeste,1.6 16v Vti 115 First Edition,,,C3,2024,,,,,,,,,,,16900.0
Citroën C3 1.6 I Exclusive,Capital Federal,1.6 I Exclusive,Gris,,C3,2005,,,,,,,,,,,6200.0
Citroën C3 1.6 Exclusive Pack Myway Vti 115cv,Córdoba,1.6 Exclusive Pack Myway Vti 115cv,,,C3,2015,,,,,,,,,,,10000.0
Citroën C3 1.5 Start 90cv,Ubicación no encontrada,1.5 Start 90cv,Negro,,C3,2017,,,,,,,,,,,11300.0
Citroën C3 1.5 I 90cv Tendance Pack Secure,Córdoba,1.5 I 90cv Tendance Pack Secure,,,C3,2014,,,,,,,,,,,7500.0
Citroën C3 1.5 Tendance I 90cv,Ubicación no encontrada,1.5 Tendance I 90cv,Plateado,,C3,2012,,,,,,,,,,,5666.0
Citroën C3 1.6 Exclusive Pack Myway Vti 115cv,Capital Federal,1.6 Exclusive Pack Myway Vti 115cv,,,C3,2013,,,,,,,,,,,9000.0
Citroën C3 1.4 I Sx Facelift,Capital Federal,1.4 I Sx Facelift,Negro,,C3,2010,,,,,,,,,,,5700.0
Citroën C3 1.6 Vti 115 Shine,Ubicación no encontrada,1.6 Vti 115 Shine,Gris,,C3,2017,,,,,,,,,,,9800.0
Citroën C3 1.6 Exclusive Vti 115cv,Ubicación no encontrada,1.6 Exclusive Vti 115cv,Blanco,,C3,2015,,,,,,,,,,,7866.67
Citroën C3 90 FEEL,Bs.As. G.B.A. Norte,90 FEEL,Gris,,C3,2017,,,,,,,,,,,10000.0
Citroën C3 1.6 Vti 115 Live,Ubicación no encontrada,1.6 Vti 115 Live,,,C3,2020,,,,,,,,,,,14400.0
Citroën C3 1.2 12v Puretech 82 Feel,Ubicación no encontrada,1.2 12v Puretech 82 Feel,Negro,,C3,2023,,,,,,,,,,,15500.0
Citroën C3 1.4 Hdi Sx,Bs.As. G.B.A. Sur,1.4 Hdi Sx,,,C3,2006,,,,,,,,,,,4000.0
Citroën C3 1.4 I Sx,Ubicación no encontrada,1.4 I Sx,Gris,,C3,2007,,,,,,,,,,,5200.0
Citroën C3 1.4 Sx L/08,Bs.As. G.B.A. Oeste,,,,C3,2010,,,,,,,,,,,5000.0
Citroën C3 1.6 Exclusive Pack Myway Vti 115cv,Bs.As. G.B.A. Sur,1.6 Exclusive Pack Myway Vti 115cv,Negro,,C3,2013,,,,,,,,,,,9000.0
Citroën C3 1.6 Vti 115 Shine,Bs.As. G.B.A. Sur,1.6 Vti 115 Shine,Blanco,,C3,2017,,,,,,,,,,,11000.0
Citroën C3 1.6 16v Vti 115 Feel Pack,Córdoba,1.6 16v Vti 115 Feel Pack,Blanco,,C3,2024,,,,,,,,,,,13666.67
Citroën C3 1.5 Tendance Pack Secure I 90cv,Ubicación no encontrada,1.5 Tendance Pack Secure I 90cv,Gris,,C3,2016,,,,,,,,,,,9466.67
