Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Toyota Corolla 1.8 Se-g At,Bs.As. G.B.A. Norte,1.8 Se-g At,,Toyota,Corolla,2011,Nafta,4.0,Automática,1.8,Sedán,142500.0,Hidráulica,Delantera,5.0,136.0,11500.0
Toyota Corolla 1.8 Xei Mt 140cv,Bs.As. G.B.A. Norte,1.8 Xei Mt 140cv,Blanco,Toyota,Corolla,2021,Nafta,4.0,Manual,1.8,Sedán,50000.0,Eléctrica,Delantera,5.0,140.0,22000.0
Toyota Corolla 2.0 Xei Mt 170cv,Bs.As. G.B.A. Oeste,2.0 Xei Mt 170cv,Gris,Toyota,Corolla,2022,Nafta,4.0,Manual,2.0,Sedán,58000.0,Eléctrica,Delantera,5.0,170.0,20100.0
Toyota Corolla 1.8 Xei At,San Luis,1.8 Xei At,Gris,Toyota,Corolla,2010,Nafta,4.0,Automática,1.8,Sedán,138000.0,Eléctrica,Delantera,5.0,136.0,8000.0
Toyota Corolla 2.0 Xli Cvt 170cv,Bs.As. G.B.A. Norte,2.0 Xli Cvt 170cv,,Toyota,Corolla,2021,Nafta,4.0,Automática,2.0,Sedán,41000.0,Eléctrica,Delantera,5.0,170.0,19000.0
Toyota Corolla 1.8 Se-g At,Ubicación no encontrada,1.8 Se-g At,Dorado,Toyota,Corolla,2009,Nafta,4.0,Automática,1.8,Sedán,111000.0,Hidráulica,Delantera,5.0,136.0,10000.0
Toyota Corolla 1.8 Se-g Mt 136cv,Ubicación no encontrada,1.8 Se-g Mt 136cv,Gris,Toyota,Corolla,2013,Nafta,4.0,Manual,1.8,Sedán,182000.0,Eléctrica,Delantera,5.0,136.0,10600.0
Toyota Corolla 1.8 Xei Mt Pack,Ubicación no encontrada,1.8 Xei Mt Pack,Plateado,Toyota,Corolla,2010,Nafta,4.0,Manual,1.8,Sedán,221000.0,Eléctrica,Delantera,5.0,136.0,5000.0
Toyota Corolla 1.8 Xei Mt 136cv,Ubicación no encontrada,1.8 Xei Mt 136cv,,Toyota,Corolla,2014,Nafta,4.0,Manual,1.8,Sedán,110000.0,Eléctrica,Delantera,5.0,136.0,12000.0
Toyota Corolla 1.8 Xei Cvt Pack 140cv,Ubicación no encontrada,1.8 Xei Cvt Pack 140cv,Gris,Toyota,Corolla,2015,Nafta,4.0,Automática,1.8,Sedán,165000.0,Eléctrica,Delantera,5.0,140.0,11000.0
Toyota Corolla 1.8 Xei Mt Pack 140cv,Capital Federal,1.8 Xei Mt Pack 140cv,,Toyota,Corolla,2017,Nafta,4.0,Manual,1.8,Sedán,75000.0,Eléctrica,Delantera,5.0,140.0,17000.0
Toyota Corolla CROSS GR-SPORT 2.0 CVT,Ubicación no encontrada,CROSS GR-SPORT 2.0 CVT,Rojo,Toyota,Corolla,2022,Nafta,4.0,Automática,2.0,Sedán,11800.0,Eléctrica,Delantera,5.0,170.0,32000.0
Toyota Corolla 1.8 Se-g At,Bs.As. G.B.A. Oeste,1.8 Se-g At,Gris,Toyota,Corolla,2011,Nafta,4.0,Automática,1.8,Sedán,157000.0,Hidráulica,Delantera,5.0,136.0,9500.0
Toyota Corolla 1.8 Xei Mt Pack 136cv,Ubicación no encontrada,1.8 Xei Mt Pack 136cv,Gris,Toyota,Corolla,2013,Nafta,4.0,Manual,1.8,Sedán,145000.0,Eléctrica,Delantera,5.0,136.0,11500.0
Toyota Corolla 2.0 Xei Cvt 170cv,Capital Federal,2.0 Xei Cvt 170cv,,Toyota,Corolla,2024,Nafta,4.0,Automática,2.0,Sedán,1000.0,Eléctrica,Delantera,5.0,170.0,27900.0
Toyota Corolla 2.0 170cv Se-g Cvt 10ma Mod 2020 21.000 Km!!,Bs.As. G.B.A. Oeste,2.0 170 CV SE-G CVT 10ma,Blanco,Toyota,Corolla,2020,Nafta,4.0,Automática secuencial,1.8,Sedán,21000.0,Eléctrica,Delantera,5.0,98.0,25000.0
Toyota Corolla 1.8 Xei,Ubicación no encontrada,1.8 Xei,Gris,Toyota,Corolla,2003,Nafta,4.0,Manual,1.8,Sedán,110000.0,Hidráulica,Delantera,5.0,134.0,7800.0
Toyota Corolla 2.0 Xei Cvt 170cv,Capital Federal,2.0 Xei Cvt 170cv,Blanco,Toyota,Corolla,2023,Nafta,4.0,Automática,2.0,Sedán,19000.0,Eléctrica,Delantera,5.0,170.0,24000.0
Toyota Corolla 1.8 Xei Mt,Córdoba,1.8 Xei Mt,,Toyota,Corolla,2009,Nafta,4.0,Manual,1.8,Sedán,132000.0,Eléctrica,Delantera,5.0,136.0,9000.0
Toyota Corolla 1.8 Se-g At,Bs.As. G.B.A. Oeste,1.8 Se-g At,Dorado,Toyota,Corolla,2009,Nafta/GNC,4.0,Automática,1.8,Sedán,225000.0,Hidráulica,Delantera,5.0,136.0,10000.0
Toyota Corolla 1.8 Xli,Bs.As. G.B.A. Sur,1.8 Xli,,Toyota,Corolla,2018,Nafta,4.0,Manual,1.8,Sedán,70000.0,Eléctrica,Delantera,5.0,134.0,15000.0
Toyota Corolla 1.8 Xli Mt 140cv,Buenos Aires Interior,1.8 Xli Mt 140cv,Verde,Toyota,Corolla,2015,Nafta,4.0,Manual,1.8,Sedán,110000.0,Eléctrica,Delantera,5.0,140.0,14000.0
Toyota Corolla 1.8 Hev Seg Ecvt,Capital Federal,1.8 Hev Seg Ecvt,Gris,Toyota,Corolla,2020,Híbrido/Nafta,4.0,Automática,1.8,Sedán,56000.0,Eléctrica,Delantera,5.0,98.0,24500.0
Toyota Corolla 1.8 Xei At,Ubicación no encontrada,1.8 Xei At,Gris,Toyota,Corolla,2010,Nafta,4.0,Automática,1.8,Sedán,138000.0,Eléctrica,Delantera,5.0,136.0,9700.0
Toyota Corolla 1.8 Xli,Capital Federal,1.8 Xli,Blanco,Toyota,Corolla,2018,Nafta,4.0,Manual,1.8,Sedán,153000.0,Eléctrica,Delantera,5.0,134.0,14500.0
Toyota Corolla 1.8 Xei Mt,Ubicación no encontrada,1.8 Xei Mt,Gris,Toyota,Corolla,2007,Nafta,4.0,Manual,1.8,Sedán,172000.0,Eléctrica,Delantera,5.0,136.0,6800.0
Toyota Corolla 1.8 Xei At,Córdoba,1.8 Xei At,,Toyota,Corolla,2009,Nafta,4.0,Automática,1.8,Sedán,240000.0,Hidráulica,Delantera,5.0,136.0,8900.0
Toyota Corolla 1.8 Se-g Cvt 140cv,Ubicación no encontrada,1.8 Se-g Cvt 140cv,Plateado,Toyota,Corolla,2014,Nafta,4.0,Automática,1.8,Sedán,85000.0,Eléctrica,Delantera,5.0,140.0,10333.33
Toyota Corolla 1.8 Hev Seg Ecvt,Buenos Aires Interior,1.8 Hev Seg Ecvt,,Toyota,Corolla,2022,Híbrido/Nafta,4.0,Automática,1.8,Sedán,10000.0,Eléctrica,Delantera,5.0,98.0,28800.0
Toyota Corolla 1.8 Xei At,Capital Federal,1.8 Xei At,Gris,Toyota,Corolla,2011,Nafta,4.0,Automática,1.8,Sedán,56000.0,Eléctrica,Delantera,5.0,136.0,14000.0
Toyota Corolla 1.8 Se-g Cvt 140cv,Buenos Aires Interior,1.8 Se-g Cvt 140cv,Gris,Toyota,Corolla,2017,Nafta,4.0,Automática,1.8,Sedán,186000.0,Eléctrica,Delantera,5.0,140.0,15100.0
Toyota Corolla 1.8 Hev Xei Ecvt,Córdoba,1.8 Hev Xei Ecvt,Blanco,Toyota,Corolla,2022,Híbrido/Nafta,4.0,Automática,1.8,Sedán,56000.0,Eléctrica,Delantera,5.0,98.0,24000.0
