Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Corsa 1.4 Classic,Córdoba,1.4 Classic,,Chevrolet,Corsa,2010,Nafta,3.0,Manual,1.4,Hatchback,100000.0,Hidráulica,Delantera,5.0,94.0,7000.0
Chevrolet Corsa 1.8 Gl Pack 2,Bs.As. Costa Atlántica,1.8 Gl Pack 2,,Chevrolet,Corsa,2005,Nafta,4.0,Manual,1.8,Sedán,147000.0,Hidráulica,Delantera,5.0,102.0,3333.33
Chevrolet Corsa City,San Luis,City,Verde,Chevrolet,Corsa,2008,Nafta,3.0,Manual,1.6,Hatchback,172000.0,Hidráulica,Delantera,5.0,92.0,3333.33
Chevrolet Corsa 1.6 Gls,Santa Fe,1.6 Gls,Gris,Chevrolet,Corsa,1998,Nafta,4.0,Manual,1.6,Sedán,230000.0,Hidráulica,Delantera,5.0,102.0,2533.33
Chevrolet Corsa 1.6 Gls,Bs.As. G.B.A. Norte,1.6 Gls,,Chevrolet,Corsa,1997,Nafta,4.0,Manual,1.6,Sedán,280000.0,Hidráulica,Delantera,5.0,102.0,3900.0
Chevrolet Corsa 1.6 Gl Aa Dh,Ubicación no encontrada,1.6 Gl Aa Dh,,Chevrolet,Corsa,2006,Nafta,5.0,Manual,1.6,Hatchback,200000.0,Hidráulica,Delantera,5.0,102.0,4200.0
Chevrolet Corsa 1.4 Classic Life,Bs.As. G.B.A. Oeste,1.4 Classic Life,Azul,Chevrolet,Corsa,2009,Nafta/GNC,3.0,Manual,1.4,Hatchback,207000.0,Hidráulica,Delantera,5.0,94.0,3666.67
Chevrolet Corsa Corsa,Bs.As. G.B.A. Oeste,Corsa,,Chevrolet,Corsa,2011,Nafta,3.0,Manual,1.8,Sedán,154000.0,Hidráulica,Delantera,5.0,102.0,4500.0
Chevrolet Corsa 1.8 Gl,Ubicación no encontrada,1.8 Gl,Plateado,Chevrolet,Corsa,2006,Nafta,4.0,Manual,1.8,Sedán,111000.0,Hidráulica,Delantera,5.0,102.0,5300.0
Chevrolet Corsa 2 Easytronic 1.8,Capital Federal,1.8 easytronic,Plateado,Chevrolet,Corsa,2008,Nafta,5.0,Automática,1.8,Sedán,120000.0,Hidráulica,Delantera,5.0,92.0,5000.0
Chevrolet Corsa 1.4 Classic Life,Bs.As. G.B.A. Oeste,1.4 Classic Life,Gris,Chevrolet,Corsa,2009,Nafta,3.0,Manual,1.4,Hatchback,135000.0,Hidráulica,Delantera,5.0,94.0,4600.0
Chevrolet Corsa 1.6 Super Pack,Bs.As. G.B.A. Sur,1.6 Super Pack,,Chevrolet,Corsa,2007,Nafta,4.0,Manual,1.6,Sedán,237000.0,Hidráulica,Delantera,5.0,102.0,3266.67
Chevrolet Corsa Corsa Classic,Bs.As. G.B.A. Sur,Corsa classic,,Chevrolet,Corsa,2011,Nafta/GNC,4.0,Manual,1.8,Sedán,156000.0,Hidráulica,Delantera,5.0,102.0,3333.33
Chevrolet Corsa Base,Bs.As. G.B.A. Oeste,Base,,Chevrolet,Corsa,1997,Nafta,3.0,Manual,1.6,Pick-Up,200000.0,Hidráulica,Delantera,5.0,102.0,1733.33
Chevrolet Corsa 1.8 Cd Abs,Bs.As. G.B.A. Sur,1.8 Cd Abs,,Chevrolet,Corsa,2002,Nafta,4.0,Manual,1.8,Sedán,170000.0,,Delantera,5.0,102.0,3533.33
Chevrolet Corsa 1.7 D Gl Aa,Bs.As. G.B.A. Sur,1.7 D Gl Aa,Gris,Chevrolet,Corsa,1999,Diésel,4.0,Manual,1.7,Sedán,200000.0,Hidráulica,Delantera,5.0,70.0,3200.0
Chevrolet Corsa 1.6 Classic Super Pkele,Ubicación no encontrada,1.6 Classic Super Pkele,Rojo,Chevrolet,Corsa,2008,Nafta,3.0,Manual,1.6,Hatchback,91000.0,Hidráulica,Delantera,5.0,92.0,6000.0
Chevrolet Corsa 1.8 Gl Aa+da,Capital Federal,,,Chevrolet,Corsa,2008,Nafta,4.0,Manual,1.8,Sedán,150000.0,Hidráulica,Delantera,5.0,102.0,4660.0
Chevrolet Corsa 1.6 Gl Aa Dh,Bs.As. G.B.A. Sur,1.6 Gl Aa Dh,,Chevrolet,Corsa,2000,Nafta,5.0,Manual,1.6,Hatchback,185000.0,Hidráulica,Delantera,5.0,102.0,4300.0
Chevrolet Corsa 1.6 Classic Gls,Capital Federal,1.6 Classic Gls,,Chevrolet,Corsa,2009,Nafta,3.0,Manual,1.6,Hatchback,68000.0,Hidráulica,Delantera,5.0,92.0,6500.0
Chevrolet Corsa 1.6 Classic Super Pkele,Ubicación no encontrada,1.6 Classic Super Pkele,Gris,Chevrolet,Corsa,2008,Nafta,3.0,Manual,1.6,Hatchback,124000.0,Hidráulica,Delantera,5.0,92.0,4268.67
Chevrolet Corsa 1.6 Gl Aa Dh,Capital Federal,1.6 Gl Aa Dh,,Chevrolet,Corsa,2006,Nafta,5.0,Manual,1.6,Hatchback,181000.0,Hidráulica,Delantera,5.0,102.0,4200.0
Chevrolet Corsa 1.4 Classic Gls,Buenos Aires Interior,1.4 Classic Gls,,Chevrolet,Corsa,2009,Nafta,4.0,Manual,1.4,Sedán,202898.0,Hidráulica,Delantera,5.0,94.0,4333.33
Chevrolet Corsa 1.8 Cd,Bs.As. G.B.A. Sur,1.8 Cd,,Chevrolet,Corsa,2009,Nafta,4.0,Manual,1.8,Sedán,151000.0,Hidráulica,Delantera,5.0,102.0,6000.0
Chevrolet Corsa Classic  4 P Ls Abs + Airbag 1.4 2015,Bs.As. G.B.A. Norte,Classic,Plateado,Chevrolet,Corsa,2015,Nafta,4.0,Manual,1.4,,118000.0,,,,,6400.0
Chevrolet Corsa 1.8 Gl Aa Dh,Bs.As. G.B.A. Sur,1.8 Gl Aa Dh,,Chevrolet,Corsa,2007,Nafta,4.0,Manual,1.8,Sedán,251000.0,Hidráulica,Delantera,5.0,102.0,5000.0
Chevrolet Corsa,Bs.As. G.B.A. Sur,1.6 Base,Dorado,Chevrolet,Corsa,2006,Nafta,3.0,Manual,1.6,Coupé,148000.0,Mecánica,Delantera,5.0,102.0,4700.0
Chevrolet Corsa 1.4 Cargo,Ubicación no encontrada,1.4 Cargo,,Chevrolet,Corsa,2010,Nafta,3.0,Manual,1.4,Furgón,123000.0,Mecánica,Delantera,2.0,94.0,3993.33
Chevrolet Corsa 1.6 Super Pack,Bs.As. G.B.A. Sur,1.6 Super Pack,Plateado,Chevrolet,Corsa,2007,Nafta,4.0,Manual,1.6,Sedán,340000.0,Hidráulica,Delantera,5.0,102.0,2366.67
Chevrolet Corsa 1.6 Gl Aa Dh,La Pampa,1.6 Gl Aa Dh,,Chevrolet,Corsa,1999,Nafta,5.0,Manual,1.6,Hatchback,142000.0,Hidráulica,Delantera,5.0,102.0,2666.67
Chevrolet Corsa 1.4 Classic Gls,San Luis,1.4 Classic Gls,Plateado,Chevrolet,Corsa,2009,Nafta,4.0,Manual,1.4,Sedán,110000.0,Hidráulica,Delantera,5.0,94.0,4333.33
Chevrolet Corsa 1.4 Classic Gl,Ubicación no encontrada,1.4 Classic Gl,Blanco,Chevrolet,Corsa,2009,Nafta,3.0,Manual,1.4,Hatchback,130000.0,Hidráulica,Delantera,5.0,94.0,6500.0
Chevrolet Corsa 1.4 Wagon Classic Gls,Capital Federal,1.4 Wagon Classic Gls,Gris,Chevrolet,Corsa,2010,Nafta,5.0,Manual,1.4,Rural,300000.0,Hidráulica,Delantera,5.0,94.0,2666.67
Chevrolet Corsa 1.4 Classic Gls,Capital Federal,1.4 Classic Gls,Gris,Chevrolet,Corsa,2010,Nafta,4.0,Manual,1.4,Sedán,140000.0,Hidráulica,Delantera,5.0,94.0,5000.0
Chevrolet Corsa 1.4 Classic Gls,Capital Federal,1.4 Classic Gls,,Chevrolet,Corsa,2010,Nafta,4.0,Manual,1.4,Sedán,145000.0,Hidráulica,Delantera,5.0,94.0,5000.0
Chevrolet Corsa 1.6 Gl Aa Dh,Ubicación no encontrada,1.6 Gl Aa Dh,,Chevrolet,Corsa,2005,Nafta,5.0,Manual,1.6,Hatchback,140000.0,Hidráulica,Delantera,5.0,102.0,4133.33
Chevrolet Corsa Super verano,Bs.As. G.B.A. Sur,Super verano,,Chevrolet,Corsa,2006,Nafta/GNC,4.0,Manual,1.6,Sedán,276000.0,Hidráulica,Delantera,5.0,102.0,4500.0
Chevrolet Corsa 1.6 Classic Gls 4 puertas,Mendoza,1.6 Classic Gls 4 puertas,Blanco,Chevrolet,Corsa,2009,Nafta,4.0,Manual,1.6,Sedán,161250.0,Hidráulica,Delantera,5.0,92.0,4333.33
Chevrolet Corsa 1.6 3p Base,Bs.As. G.B.A. Norte,1.6 3p Base,Plateado,Chevrolet,Corsa,2008,Nafta,3.0,Manual,1.6,Coupé,65000.0,Mecánica,Delantera,5.0,92.0,4500.0
Chevrolet Corsa 1.6 Gl,Bs.As. G.B.A. Norte,1.6 Gl,,Chevrolet,Corsa,1998,Nafta,4.0,Manual,1.6,Pick-Up,200000.0,Hidráulica,Delantera,5.0,102.0,3000.0
Chevrolet Corsa 1.4 Classic,Bs.As. G.B.A. Oeste,1.4 Classic,Plateado,Chevrolet,Corsa,2010,Nafta,3.0,Manual,1.4,Hatchback,97000.0,Hidráulica,Delantera,5.0,94.0,4000.0
Chevrolet Corsa 1.6 Gl Aa Dh Sw,Ubicación no encontrada,1.6 Gl Aa Dh Sw,Blanco,Chevrolet,Corsa,2005,Nafta,5.0,Manual,1.6,Rural,240000.0,Hidráulica,Delantera,5.0,102.0,4133.33
Chevrolet Corsa Lt 1.4 Full,Córdoba,Lt 1.4 full,,Chevrolet,Corsa,2011,Nafta,3.0,Manual,1.8,Sedán,119500.0,Hidráulica,Delantera,5.0,102.0,4933.33
Chevrolet Corsa 1.8 Cd Easytronic,Bs.As. G.B.A. Oeste,1.8 Cd Easytronic,,Chevrolet,Corsa,2007,Nafta,4.0,Automática,1.8,Sedán,110000.0,Hidráulica,Delantera,5.0,102.0,5000.0
Chevrolet Corsa 1.6 Gl Aa Dh,Ubicación no encontrada,1.6 Gl Aa Dh,Blanco,Chevrolet,Corsa,2005,Nafta,5.0,Manual,1.6,Hatchback,120000.0,Hidráulica,Delantera,5.0,102.0,3800.0
Chevrolet Corsa 1.6 Gl Aa Dh,Bs.As. G.B.A. Oeste,1.6 Gl Aa Dh,,Chevrolet,Corsa,2005,Nafta,5.0,Manual,1.6,Hatchback,200000.0,Hidráulica,Delantera,5.0,102.0,3500.0
Chevrolet Corsa 1.4 Classic Gls,Bs.As. G.B.A. Sur,1.4 Classic Gls,,Chevrolet,Corsa,2009,Nafta,4.0,Manual,1.4,Sedán,172000.0,Hidráulica,Delantera,5.0,94.0,5000.0
Chevrolet Corsa Clasic Spirit 1.4,Bs.As. G.B.A. Oeste,Clasic Spirit 1.4,,Chevrolet,Corsa,2011,Nafta,4.0,Manual,1.8,Sedán,175000.0,Hidráulica,Delantera,5.0,102.0,6400.0
Chevrolet Corsa 1.6 Classic Super Pkele,Bs.As. G.B.A. Norte,1.6 Classic Super Pkele,Verde,Chevrolet,Corsa,2008,Nafta,4.0,Manual,1.6,Hatchback,169700.0,Hidráulica,Delantera,5.0,92.0,5900.0
Chevrolet Corsa 1.6 Super Pack,Bs.As. G.B.A. Sur,1.6 Super Pack,Plateado,Chevrolet,Corsa,2007,Nafta,4.0,Manual,1.6,Sedán,140000.0,Hidráulica,Delantera,5.0,102.0,4700.0
Chevrolet Corsa 1.8 Cd,Capital Federal,1.8 Cd,Dorado,Chevrolet,Corsa,2008,Nafta,4.0,Manual,1.8,Sedán,120000.0,Hidráulica,Delantera,5.0,102.0,6000.0
Chevrolet Corsa 1.4 Classic,Bs.As. G.B.A. Oeste,1.4 Classic,,Chevrolet,Corsa,2010,Nafta,3.0,Manual,1.4,Hatchback,182000.0,Hidráulica,Delantera,5.0,94.0,4700.0
Chevrolet Corsa 1.8 Gl Aa Dh,Capital Federal,1.8 Gl Aa Dh,Dorado,Chevrolet,Corsa,2006,Nafta,4.0,Manual,1.8,Sedán,44000.0,Hidráulica,Delantera,5.0,102.0,6000.0
Chevrolet Corsa 1.4 Classic Gl,Bs.As. G.B.A. Sur,1.4 Classic Gl,,Chevrolet,Corsa,2009,Nafta,3.0,Manual,1.4,Hatchback,136000.0,Hidráulica,Delantera,5.0,94.0,4466.67
Chevrolet Corsa 1.6 3P Gl City,Ubicación no encontrada,1.6 3P Gl City,Gris,Chevrolet,Corsa,2005,Nafta/GNC,3.0,Manual,1.6,SUV,223000.0,Asistida,Delantera,5.0,102.0,3533.33
Chevrolet Corsa 1.4 Gl,Bs.As. G.B.A. Sur,1.4 Gl,,Chevrolet,Corsa,1996,Nafta,3.0,Manual,1.4,Hatchback,251100.0,Asistida,Delantera,2.0,60.0,2533.33
Chevrolet Corsa 1.8 Fueltech,Bs.As. G.B.A. Sur,,Negro,Chevrolet,Corsa,2005,Nafta,3.0,Manual,1.8,Hatchback,127000.0,Hidráulica,Delantera,5.0,102.0,6500.0
Chevrolet Corsa 1.8 Gls,Ubicación no encontrada,1.8 Gls,,Chevrolet,Corsa,2007,Nafta,4.0,Manual,1.8,Sedán,150000.0,Hidráulica,Delantera,5.0,102.0,5000.0
Chevrolet Corsa 1.8 Gls,Buenos Aires Interior,1.8 Gls,Gris,Chevrolet,Corsa,2004,Nafta,4.0,Manual,1.8,Sedán,200000.0,Hidráulica,Delantera,5.0,102.0,3266.67
Chevrolet Corsa 1.8 Gl Pack 2,Bs.As. G.B.A. Norte,1.8 Gl Pack 2,,Chevrolet,Corsa,2005,Nafta,4.0,Manual,1.8,Sedán,135000.0,Hidráulica,Delantera,5.0,102.0,4400.0
Chevrolet Corsa 1.6 Classic,Ubicación no encontrada,1.6 Classic,Blanco,Chevrolet,Corsa,2009,Nafta,4.0,Manual,1.6,Sedán,170000.0,Hidráulica,Delantera,5.0,102.0,4500.0
Chevrolet Corsa 1.4 Classic,Bs.As. G.B.A. Oeste,1.4 Classic,,Chevrolet,Corsa,2010,Nafta,3.0,Manual,1.4,Hatchback,120000.0,Hidráulica,Delantera,5.0,94.0,4999.0
