Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Cruze 1.8 Ltz At 141cv,Ubicación no encontrada,1.8 Ltz At 141cv,Gris,Chevrolet,Cruze,2019,Nafta,4.0,Automática,1.8,Sedán,50000.0,Hidráulica,Delantera,5.0,141.0,17333.33
Chevrolet Cruze 1.4 Lt At Sedan,Ubicación no encontrada,1.4 Lt At Sedan,Gris,Chevrolet,Cruze,2022,Nafta,4.0,Automática,1.4,Sedán,34000.0,Eléctrica,Delantera,5.0,153.0,21500.0
Chevrolet Cruze 1.8 Lt Mt 5 p,Capital Federal,1.8 Lt Mt 5 p,,Chevrolet,Cruze,2016,Nafta,5.0,Manual,1.8,Hatchback,84000.0,Hidráulica,Delantera,5.0,141.0,13000.0
Chevrolet Cruze 1.8 Lt Mt,Ubicación no encontrada,1.8 Lt Mt,Blanco,Chevrolet,Cruze,2020,Nafta,4.0,Manual,1.8,Sedán,108996.0,Asistida,Delantera,5.0,141.0,16500.0
Chevrolet Cruze 1.4 Ltz At Sedan,Ubicación no encontrada,1.4 Ltz At Sedan,Blanco,Chevrolet,Cruze,2023,Nafta,4.0,Automática,1.4,Sedán,22000.0,Eléctrica,Delantera,5.0,153.0,18000.0
Chevrolet Cruze 1.8 Ltz Mt 4 p,Ubicación no encontrada,1.8 Ltz Mt 4 p,Plateado,Chevrolet,Cruze,2012,Nafta,4.0,Manual,1.8,Sedán,212000.0,Hidráulica,Delantera,5.0,141.0,7940.0
Chevrolet Cruze 1.4 Ltz At Sedan,Capital Federal,1.4 Ltz At Sedan,Blanco,Chevrolet,Cruze,2021,Nafta,4.0,Automática,1.4,Sedán,84200.0,Eléctrica,Delantera,5.0,153.0,20000.0
Chevrolet Cruze 1.8 Lt Mt 4 p,Ubicación no encontrada,1.8 Lt Mt 4 p,,Chevrolet,Cruze,2011,Nafta,4.0,Manual,1.8,Sedán,117000.0,Hidráulica,Delantera,5.0,141.0,9500.0
Chevrolet Cruze 1.8 Ltz Mt 141cv,Bs.As. G.B.A. Oeste,1.8 Ltz Mt 141cv,Plateado,Chevrolet,Cruze,2018,Nafta,4.0,Manual,1.8,Sedán,53000.0,Hidráulica,Delantera,5.0,141.0,16500.0
Chevrolet Cruze 1.8 Lt Mt 4 p,Ubicación no encontrada,1.8 Lt Mt 4 p,Negro,Chevrolet,Cruze,2016,Nafta,4.0,Manual,1.8,Sedán,76000.0,Asistida,Delantera,5.0,141.0,10333.33
Chevrolet Cruze LT AT 2022,Ubicación no encontrada,LT AT 2022,Blanco,Chevrolet,Cruze,2022,Nafta,5.0,Automática,1.4,Hatchback,90757.0,Hidráulica,Delantera,5.0,153.0,17466.67
Chevrolet Cruze 1.8 Lt Mt,Ubicación no encontrada,1.8 Lt Mt,,Chevrolet,Cruze,2020,Nafta,4.0,Manual,1.8,Sedán,33000.0,Asistida,Delantera,5.0,141.0,18990.0
Chevrolet Cruze 1.4 Ltz At Sedan,Ubicación no encontrada,1.4 Ltz At Sedan,Negro,Chevrolet,Cruze,2021,Nafta,4.0,Automática,1.4,Sedán,29800.0,Eléctrica,Delantera,5.0,153.0,14333.33
Chevrolet Cruze 1.8 Lt Mt,Ubicación no encontrada,1.8 Lt Mt,,Chevrolet,Cruze,2012,Nafta,5.0,Manual,1.8,Hatchback,115000.0,Hidráulica,Delantera,5.0,141.0,8000.0
Chevrolet Cruze 1.8 Lt Mt 5 p,Córdoba,1.8 Lt Mt 5 p,Gris,Chevrolet,Cruze,2013,Nafta,5.0,Manual,1.8,Hatchback,110000.0,Hidráulica,Delantera,5.0,141.0,7000.0
Chevrolet Cruze Ii Cruze Premiere At,Ubicación no encontrada,cruze premiere at,,Chevrolet,Cruze,2020,Nafta,5.0,Automática,1.4,Hatchback,38000.0,Eléctrica,Delantera,5.0,141.0,19700.0
Chevrolet Cruze 1.8 Ltz Mt 4 p,Bs.As. G.B.A. Sur,1.8 Ltz Mt 4 p,,Chevrolet,Cruze,2011,Nafta,4.0,Manual,1.8,Sedán,136025.0,Hidráulica,Delantera,5.0,141.0,8900.0
Chevrolet Cruze 1.4 Turbo MT Sedan,Santa Fe,1.4 Turbo MT Sedan,Negro,Chevrolet,Cruze,2020,Nafta,4.0,Manual,1.4,Sedán,130000.0,Eléctrica,Delantera,5.0,153.0,20000.0
