Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Renault Duster 2.0 4x4 Luxe Nav 138cv,Ubicación no encontrada,2.0 4x4 Luxe Nav 138cv,,Renault,Duster,2013,Nafta,5.0,Manual,2.0,SUV,140000.0,Hidráulica,4x4,5.0,138.0,12800.0
Renault Duster 1.6 Ph2 4x2 Dynamique 110cv,Ubicación no encontrada,1.6 Ph2 4x2 Dynamique 110cv,Rojo,Renault,Duster,2015,Nafta,5.0,Manual,1.6,SUV,95000.0,Hidráulica,4x2,5.0,110.0,10900.0
Renault Duster 2.0 4x2 Privilege 138cv,Bs.As. G.B.A. Norte,2.0 4x2 Privilege 138cv,Azul,Renault,Duster,2012,Nafta,5.0,Manual,2.0,SUV,220000.0,Hidráulica,4x2,5.0,138.0,11000.0
Renault Duster 1.6 Ph2 4x2 Expression,Ubicación no encontrada,1.6 Ph2 4x2 Expression,,Renault,Duster,2019,Nafta,5.0,Manual,1.6,SUV,80000.0,Asistida,4x2,5.0,110.0,11590.0
Renault Duster 1.6 4x2 Expression 110cv,Ubicación no encontrada,1.6 4x2 Expression 110cv,Plateado,Renault,Duster,2012,Nafta/GNC,5.0,Manual,1.6,SUV,126000.0,Hidráulica,4x2,5.0,110.0,8533.33
Renault Duster 1.6 4x2 Confort Abs 110cv,Ubicación no encontrada,1.6 4x2 Confort Abs 110cv,Gris,Renault,Duster,2014,Nafta,5.0,Manual,1.6,SUV,145000.0,Hidráulica,4x2,5.0,110.0,7666.67
Renault Duster 2.0 Ph2 4x2 Privilege 143cv,Ubicación no encontrada,2.0 Ph2 4x2 Privilege 143cv,,Renault,Duster,2016,Nafta,5.0,Manual,2.0,SUV,109900.0,Hidráulica,4x2,5.0,143.0,10999.99
Renault Duster 2.0 Ph2 4x4 Privilege 143cv,Ubicación no encontrada,2.0 Ph2 4x4 Privilege 143cv,,Renault,Duster,2016,Nafta,5.0,Manual,2.0,SUV,99000.0,Hidráulica,4x4,5.0,143.0,11333.33
Renault Duster 1.6 Ph2 4x2 Dynamique 110cv,Bs.As. Costa Atlántica,1.6 Ph2 4x2 Dynamique 110cv,Blanco,Renault,Duster,2016,Nafta,5.0,Manual,1.6,SUV,90000.0,Hidráulica,4x2,5.0,110.0,13300.0
Renault Duster 1.6 Ph2 4x2 Expression 110cv,Ubicación no encontrada,1.6 Ph2 4x2 Expression 110cv,,Renault,Duster,2015,Nafta,5.0,Manual,1.6,SUV,80000.0,Hidráulica,4x2,5.0,110.0,11500.0
