Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Peugeot 308 1.6 Feline Hdi 115cv,Córdoba,1.6 Feline Hdi 115cv,Gris,Peugeot,308,2012,Diésel,5.0,Manual,1.6,Hatchback,175000.0,Hidráulica,Delantera,5.0,115.0,9500.0
Peugeot 308 1.6 Allure,Ubicación no encontrada,1.6 Allure,,Peugeot,308,2016,Nafta,5.0,Manual,1.6,Hatchback,88000.0,Eléctrica,Delantera,5.0,115.0,11500.0
Peugeot 308 1.6 Allure Nav 115cv,Bs.As. G.B.A. Sur,1.6 Allure Nav 115cv,Negro,Peugeot,308,2013,Nafta,5.0,Manual,1.6,Hatchback,118000.0,Hidráulica,Delantera,5.0,115.0,9800.0
Peugeot 308 1.6 Feline Thp 163cv,Ubicación no encontrada,1.6 Feline Thp 163cv,,Peugeot,308,2016,Nafta,5.0,Manual,1.6,Hatchback,68000.0,Hidráulica,Delantera,5.0,163.0,14800.0
Peugeot 308 1.6 Active,Bs.As. G.B.A. Norte,1.6 Active,,Peugeot,308,2015,Nafta,5.0,Manual,1.6,Hatchback,136000.0,Hidráulica,Delantera,5.0,115.0,9500.0
Peugeot 308 1.6 THP SPORT TIPTRONIC L12,Ubicación no encontrada,1.6 THP SPORT TIPTRONIC L12,Blanco,Peugeot,308,2013,Nafta,5.0,Automática,1.6,Hatchback,124000.0,Hidráulica,Delantera,5.0,115.0,9933.33
Peugeot 308 1.6 Active,Bs.As. G.B.A. Norte,1.6 Active,Plateado,Peugeot,308,2015,Nafta,5.0,Manual,1.6,Hatchback,172000.0,Hidráulica,Delantera,5.0,115.0,9900.0
Peugeot 308 1.6 Allure Nav 115cv,Ubicación no encontrada,1.6 Allure Nav 115cv,Gris,Peugeot,308,2013,Nafta,5.0,Manual,1.6,Hatchback,80000.0,Hidráulica,Delantera,5.0,115.0,8900.0
Peugeot 308 2.0 Feline 143cv,Bs.As. G.B.A. Oeste,2.0 Feline 143cv,,Peugeot,308,2013,Nafta,5.0,Manual,2.0,Hatchback,76500.0,Hidráulica,Delantera,5.0,143.0,11000.0
Peugeot 308 1.6 Allure Nav Hdi 115cv,Bs.As. G.B.A. Oeste,1.6 Allure Nav Hdi 115cv,Negro,Peugeot,308,2015,Diésel,5.0,Manual,1.6,Hatchback,125000.0,Hidráulica,Delantera,5.0,115.0,9800.0
Peugeot 308 1.6 Feline Thp 165cv Tiptronic,Bs.As. G.B.A. Oeste,1.6 Feline Thp 165cv Tiptronic,Plateado,Peugeot,308,2018,Nafta,5.0,Automática,1.6,Hatchback,66000.0,Hidráulica,Delantera,5.0,165.0,11766.67
Peugeot 308 1.6 Sport Thp 163cv,Bs.As. G.B.A. Sur,1.6 Sport Thp 163cv,Negro,Peugeot,308,2014,Nafta,5.0,Automática,1.6,Hatchback,122000.0,Hidráulica,Delantera,5.0,163.0,9500.0
