Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Volkswagen Bora 2.0 Trendline 115cv,Ubicación no encontrada,2.0 Trendline 115cv,Gris,Volkswagen,Bora,2011,Nafta,4.0,Manual,2.0,Sedán,91000.0,Hidráulica,Delantera,5.0,116.0,11000.0
Volkswagen Bora 2.0 At. 2007,Capital Federal,Sedan 2.0 AT,Gris,Volkswagen,Bora,2007,Nafta,4.0,Automática,2.0,Sedán,115000.0,Hidráulica,Delantera,5.0,116.0,6000.0
Volkswagen Bora 1.9 Trendline I 100cv,Ubicación no encontrada,1.9 Trendline I 100cv,,Volkswagen,Bora,2012,Diésel,4.0,Manual,1.9,Sedán,58500.0,Hidráulica,Delantera,5.0,100.0,12500.0
Volkswagen Bora Bora Tdi,Córdoba,Bora TDI,,Volkswagen,Bora,2008,Diésel,5.0,Manual,2.0,Sedán,195000.0,Hidráulica,Delantera,5.0,116.0,8500.0
Volkswagen Bora 2.0 Trendline 115cv,Ubicación no encontrada,2.0 Trendline 115cv,Blanco,Volkswagen,Bora,2008,Nafta,4.0,Manual,2.0,Sedán,230000.0,Hidráulica,Delantera,5.0,116.0,5933.33
Volkswagen Bora 2.0 Trendline,Capital Federal,2.0 Trendline,Gris,Volkswagen,Bora,2006,Nafta,4.0,Manual,2.0,Sedán,223000.0,Hidráulica,Delantera,5.0,116.0,6500.0
Volkswagen Bora 2.0 Trendline 115cv Tiptronic,Córdoba,2.0 Trendline 115cv Tiptronic,,Volkswagen,Bora,2011,Nafta,4.0,Automática,2.0,Sedán,190000.0,Hidráulica,Delantera,5.0,116.0,8900.0
Volkswagen Bora 1.8 Highline T 180cv Cuero,Bs.As. G.B.A. Oeste,1.8 Highline T 180cv Cuero,Gris,Volkswagen,Bora,2009,Nafta,4.0,Manual,1.8,Sedán,146000.0,Hidráulica,Delantera,5.0,180.0,11100.0
Volkswagen Bora 2.0 Trendline 115cv,Bs.As. G.B.A. Oeste,2.0 Trendline 115cv,Rojo,Volkswagen,Bora,2010,Nafta,4.0,Manual,2.0,Sedán,179000.0,Hidráulica,Delantera,5.0,116.0,5866.67
Volkswagen Bora 2.0 Trendline 115cv,Bs.As. G.B.A. Norte,2.0 Trendline 115cv,,Volkswagen,Bora,2010,Nafta,4.0,Manual,2.0,Sedán,218000.0,Hidráulica,Delantera,5.0,116.0,5666.67
Volkswagen Bora 2.0 Trendline 115cv,Ubicación no encontrada,2.0 Trendline 115cv,Negro,Volkswagen,Bora,2007,Nafta,4.0,Manual,2.0,Sedán,168000.0,Hidráulica,Delantera,5.0,116.0,5800.0
Volkswagen Bora 2.0 Comfortline,Bs.As. G.B.A. Oeste,2.0 Comfortline,,Volkswagen,Bora,2005,Nafta,4.0,Manual,2.0,Sedán,133000.0,Hidráulica,Delantera,5.0,116.0,7500.0
