Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Jeep Compass 2.4 Sport,Ubicación no encontrada,2.4 Sport,Blanco,Jeep,Compass,2021,Nafta,5.0,Manual,2.4,SUV,50000.0,Eléctrica,4x2,5.0,174.0,26000.0
Jeep Compass 2.4 Longitude Plus,Bs.As. G.B.A. Sur,2.4 Longitude Plus,,Jeep,Compass,2019,Nafta,5.0,Automática,2.4,SUV,95000.0,Asistida,4x2,5.0,174.0,22000.0
Jeep Compass 2.4 Longitude Plus,Ubicación no encontrada,2.4 Longitude Plus,Blanco,Jeep,Compass,2021,Nafta,5.0,Automática,2.4,SUV,45000.0,Eléctrica,4x2,5.0,174.0,28000.0
Jeep Compass 2.4 Limited 170cv Atx,Ubicación no encontrada,2.4 Limited 170cv Atx,,Jeep,Compass,2017,Nafta,5.0,Automática,2.4,SUV,85000.0,Hidráulica,4x4,5.0,170.0,24900.0
Jeep Compass 2.4 Limited Plus,Bs.As. G.B.A. Norte,2.4 Limited Plus,Negro,Jeep,Compass,2020,Nafta,5.0,Automática,2.4,SUV,13120.0,Hidráulica,4x2,5.0,174.0,37500.0
Jeep Compass 2.4 Sport Mtx,Ubicación no encontrada,2.4 Sport Mtx,Azul,Jeep,Compass,2008,Nafta,5.0,Manual,2.4,SUV,200000.0,Hidráulica,4x4,5.0,170.0,8866.67
Jeep Compass 2.4 Longitude Plus 4X4,Ubicación no encontrada,2.4 Longitude Plus 4X4,Negro,Jeep,Compass,2017,Nafta,5.0,Automática,2.4,SUV,77000.0,Hidráulica,4x4,5.0,174.0,20990.0
Jeep Compass 2.4 SPORT MT 4x2,Ubicación no encontrada,2.4 SPORT MT 4x2,Negro,Jeep,Compass,2020,Nafta,5.0,Manual,1.0,SUV,36112.0,Asistida,4x2,5.0,174.0,18873.33
Jeep Compass 2.4 Sport,Ubicación no encontrada,2.4 Sport,Blanco,Jeep,Compass,2020,Nafta,5.0,Manual,2.4,SUV,68000.0,Hidráulica,4x2,5.0,174.0,23000.0
Jeep Compass 1.3 T270 Limited,Ubicación no encontrada,1.3 T270 Limited,Blanco,Jeep,Compass,2022,Nafta,5.0,Automática,1.3,SUV,25000.0,Eléctrica,4x2,5.0,175.0,39500.0
Jeep Compass 2.4 Longitude Aut 4x4,Ubicación no encontrada,2.4 Longitude Aut 4x4,Azul,Jeep,Compass,2019,Nafta,4.0,Automática,2.4,SUV,77000.0,Asistida,4x2,5.0,174.0,26500.0
Jeep Compass Longitude Plus,Ubicación no encontrada,Longitude Plus,Gris,Jeep,Compass,2024,Nafta,5.0,Automática,2.4,SUV,500.0,Eléctrica,4x2,5.0,174.0,75000.0
Jeep Compass 2.4 Longitude Plus 4X4,Ubicación no encontrada,2.4 Longitude Plus 4X4,Blanco,Jeep,Compass,2017,Nafta,5.0,Automática,2.4,SUV,77000.0,Hidráulica,4x4,5.0,174.0,25000.0
Jeep Compass 2.4 Sport Automática 1635 mm,Mendoza,2.4 Sport Automática 1635 mm,,Jeep,Compass,2019,Nafta,5.0,Automática,2.4,SUV,34000.0,Asistida,4x2,5.0,174.0,18266.67
Jeep Compass 2.4 Limited 170cv Atx,Ubicación no encontrada,2.4 Limited 170cv Atx,Plateado,Jeep,Compass,2013,Nafta,5.0,Automática,2.4,SUV,176900.0,Hidráulica,4x4,5.0,170.0,12700.0
Jeep Compass 1.3 T270 Longitude Plus At6,Ubicación no encontrada,1.3 T270 Longitude Plus At6,,Jeep,Compass,2024,Nafta,5.0,Automática,1.3,SUV,4850.0,Eléctrica,4x2,5.0,175.0,43000.0
Jeep Compass 1.3 T270 LIMITED AT 4x2,Ubicación no encontrada,1.3 T270 LIMITED AT 4x2,Gris,Jeep,Compass,2022,Nafta,5.0,Automático,1.0,SUV,17048.0,Asistida,4x2,5.0,175.0,27913.33
