Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Fiat Cronos 1.8 16v Precision Pack Premium,Ubicación no encontrada,1.8 16v Precision Pack Premium,,Fiat,Cronos,2020,Nafta,4.0,Manual,1.8,Sedán,110000.0,Eléctrica,Delantera,5.0,130.0,10000.0
Fiat Cronos 1.3 Drive Mt,Ubicación no encontrada,1.3 Drive Mt,Blanco,Fiat,Cronos,2022,Nafta,4.0,Manual,1.3,Sedán,52100.0,Eléctrica,Delantera,5.0,99.0,12800.0
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Ubicación no encontrada,1.3 Gse Drive Pack Conectividad,Blanco,Fiat,Cronos,2020,Nafta,4.0,Manual,1.3,Sedán,62000.0,Eléctrica,Delantera,5.0,99.0,11333.33
Fiat Cronos 1.8 16v Precision,Ubicación no encontrada,1.8 16v Precision,Blanco,Fiat,Cronos,2021,Nafta,4.0,Manual,1.8,Sedán,61637.0,Eléctrica,Delantera,5.0,130.0,13676.67
Fiat Cronos 1.3 Drive Mt,Ubicación no encontrada,1.3 Drive Mt,Negro,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,11670.0,Eléctrica,Delantera,5.0,99.0,16000.0
Fiat Cronos 1.3 Precision Cvt,Ubicación no encontrada,1.3 Precision Cvt,,Fiat,Cronos,2023,Nafta,4.0,Automática,1.3,Sedán,17000.0,Eléctrica,Delantera,5.0,99.0,17500.0
Fiat Cronos 1.3 Drive S-design Mt,Bs.As. G.B.A. Norte,1.3 Drive S-design Mt,Blanco,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,11000.0,Eléctrica,Delantera,5.0,99.0,19500.0
Fiat Cronos 1.3 Drive Gse Cvt,Ubicación no encontrada,1.3 Drive Gse Cvt,Red,Fiat,Cronos,2023,Nafta,4.0,Automático,1.0,Sedán,20394.0,Asistida,4x2,5.0,99.0,12893.33
Fiat Cronos 1.3 Precision Cvt,Córdoba,1.3 Precision Cvt,Blanco,Fiat,Cronos,2023,Nafta,4.0,Automática,1.3,Sedán,12000.0,Eléctrica,Delantera,5.0,99.0,14400.0
Fiat Cronos 1.8 16v Precision,Ubicación no encontrada,1.8 16v Precision,Blanco,Fiat,Cronos,2018,Nafta/GNC,4.0,Manual,1.8,Sedán,85000.0,Eléctrica,Delantera,5.0,130.0,10333.33
Fiat Cronos 1.3 Precision Cvt,Capital Federal,1.3 Precision Cvt,Gris,Fiat,Cronos,2023,Nafta,4.0,Automática,1.3,Sedán,7200.0,Eléctrica,Delantera,5.0,99.0,15266.67
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Río Negro,1.3 Gse Drive Pack Conectividad,Violeta,Fiat,Cronos,2021,Nafta,4.0,Manual,1.3,Sedán,103000.0,Eléctrica,Delantera,5.0,99.0,8666.67
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Ubicación no encontrada,1.3 Gse Drive Pack Conectividad,Rojo,Fiat,Cronos,2021,Nafta,4.0,Manual,1.3,Sedán,54000.0,Eléctrica,Delantera,5.0,99.0,11800.0
Fiat Cronos 1.8 16v Precision Pack Premium,Córdoba,1.8 16v Precision Pack Premium,,Fiat,Cronos,2022,Nafta,4.0,Manual,1.8,Sedán,22000.0,Eléctrica,Delantera,5.0,130.0,12000.0
Fiat Cronos 1.3 Drive Mt,Ubicación no encontrada,1.3 Drive Mt,Negro,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,35000.0,Eléctrica,Delantera,5.0,99.0,13266.67
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Bs.As. Costa Atlántica,1.3 Gse Drive Pack Conectividad,,Fiat,Cronos,2022,Nafta,4.0,Manual,1.3,Sedán,7500.0,Eléctrica,Delantera,5.0,99.0,18000.0
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Ubicación no encontrada,1.3 Gse Drive Pack Conectividad,Blanco,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,12000.0,Eléctrica,Delantera,5.0,99.0,16000.0
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,Capital Federal,1.3 Gse Drive Cvt Pack Plus,Negro,Fiat,Cronos,2024,Nafta,4.0,Automática,1.3,Sedán,1500.0,Hidráulica,Delantera,5.0,99.0,14333.33
Fiat Cronos 1.8 16v Precision,Ubicación no encontrada,1.8 16v Precision,,Fiat,Cronos,2019,Nafta,4.0,Manual,1.8,Sedán,45000.0,Eléctrica,Delantera,5.0,130.0,11533.33
Fiat Cronos 1.3 Gse Drive,Ubicación no encontrada,1.3 Gse Drive,Plateado,Fiat,Cronos,2022,Nafta,4.0,Manual,1.3,Sedán,43000.0,Eléctrica,Delantera,5.0,99.0,12600.0
Fiat Cronos 1.3 Drive Mt,Ubicación no encontrada,1.3 Drive Mt,Blanco,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,22738.0,Eléctrica,Delantera,5.0,99.0,12103.33
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Bs.As. Costa Atlántica,1.3 Gse Drive Pack Conectividad,Gris,Fiat,Cronos,2021,Nafta,4.0,Manual,1.3,Sedán,49000.0,Eléctrica,Delantera,5.0,99.0,13800.0
Fiat Cronos 1.3 Drive Mt,Ubicación no encontrada,1.3 Drive Mt,Blanco,Fiat,Cronos,2022,Nafta,4.0,Manual,1.3,Sedán,18000.0,Eléctrica,Delantera,5.0,99.0,12000.0
Fiat Cronos 1.3 Drive Cvt,Mendoza,1.3 Drive Cvt,Plateado,Fiat,Cronos,2022,Nafta,4.0,Automática,1.3,Sedán,31000.0,Eléctrica,Delantera,5.0,99.0,13000.0
Fiat Cronos 1.8 16v Precision At6,Capital Federal,1.8 16v Precision At6,,Fiat,Cronos,2021,Nafta,4.0,Automática,1.8,Sedán,60000.0,Eléctrica,Delantera,5.0,130.0,11633.33
Fiat Cronos 1.8 16v Precision At6 Pack Premium,Capital Federal,1.8 16v Precision At6 Pack Premium,Blanco,Fiat,Cronos,2022,Nafta,4.0,Automática,1.8,Sedán,26000.0,Eléctrica,Delantera,5.0,130.0,13666.67
Fiat Cronos 1.8 16v Precision Pack Premium,Bs.As. G.B.A. Norte,1.8 16v Precision Pack Premium,,Fiat,Cronos,2020,Nafta,4.0,Manual,1.8,Sedán,63000.0,Eléctrica,Delantera,5.0,130.0,13000.0
Fiat Cronos STILE 1.3 GSE BZ,Capital Federal,STILE 1.3 GSE BZ,,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,6800.0,Eléctrica,Delantera,5.0,99.0,12666.67
Fiat Cronos 1.8 16v Precision Pack Premium,Capital Federal,1.8 16v Precision Pack Premium,,Fiat,Cronos,2022,Nafta,4.0,Manual,1.8,Sedán,30000.0,Eléctrica,Delantera,5.0,130.0,16000.0
Fiat Cronos 1.3 Attractive Mt,Ubicación no encontrada,1.3 Attractive Mt,Blanco,Fiat,Cronos,2022,Nafta,4.0,Manual,1.3,Sedán,47000.0,Eléctrica,Delantera,5.0,99.0,11600.0
Fiat Cronos 1.3 Gse Drive,Ubicación no encontrada,1.3 Gse Drive,,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,18000.0,Eléctrica,Delantera,5.0,99.0,15300.0
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,Bs.As. G.B.A. Oeste,1.3 Gse Drive Cvt Pack Plus,Blanco,Fiat,Cronos,2024,Nafta,4.0,Automática,1.3,Sedán,4500.0,Hidráulica,Delantera,5.0,99.0,11500.0
Fiat Cronos 1.8 PRECISION L21,Ubicación no encontrada,1.8 PRECISION L21,Rojo,Fiat,Cronos,2022,Nafta,4.0,Manual,1.3,Sedán,66600.0,Asistida,Delantera,5.0,99.0,14000.0
Fiat Cronos 1.3 Gse Drive,Ubicación no encontrada,1.3 Gse Drive,Rojo,Fiat,Cronos,2020,Nafta,4.0,Manual,1.3,Sedán,76000.0,Eléctrica,Delantera,5.0,99.0,12600.0
Fiat Cronos 1.3 Gse Drive,Ubicación no encontrada,1.3 Gse Drive,,Fiat,Cronos,2019,Nafta,4.0,Manual,1.3,Sedán,136000.0,Eléctrica,Delantera,5.0,99.0,13300.0
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Ubicación no encontrada,1.3 Gse Drive Pack Conectividad,Gris,Fiat,Cronos,2021,Nafta,4.0,Manual,1.3,Sedán,45000.0,Eléctrica,Delantera,5.0,99.0,11000.0
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Bs.As. G.B.A. Oeste,1.3 Gse Drive Pack Conectividad,Gris,Fiat,Cronos,2023,Nafta,4.0,Manual,1.3,Sedán,27000.0,Eléctrica,Delantera,5.0,99.0,16000.0
Fiat Cronos 1.8 16v Precision,Ubicación no encontrada,1.8 16v Precision,,Fiat,Cronos,2021,Nafta,4.0,Manual,1.8,Sedán,60000.0,Eléctrica,Delantera,5.0,130.0,10666.67
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Ubicación no encontrada,1.3 Gse Drive Pack Conectividad,,Fiat,Cronos,2020,Nafta,4.0,Manual,1.3,Sedán,75000.0,Eléctrica,Delantera,5.0,99.0,11500.0
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Ubicación no encontrada,1.3 Gse Drive Pack Conectividad,Blanco,Fiat,Cronos,2020,Nafta,4.0,Manual,1.3,Sedán,39000.0,Eléctrica,Delantera,5.0,99.0,14500.0
Fiat Cronos 1.8 16v Precision,Ubicación no encontrada,1.8 16v Precision,Gris,Fiat,Cronos,2022,Nafta,4.0,Manual,1.8,Sedán,17000.0,Eléctrica,Delantera,5.0,130.0,11266.67
Fiat Cronos 1.3 Drive Cvt,Bs.As. G.B.A. Sur,1.3 Drive Cvt,Gris,Fiat,Cronos,2023,Nafta,4.0,Automática,1.3,Sedán,16000.0,Eléctrica,Delantera,5.0,99.0,14000.0
Fiat Cronos 1.3 Gse Drive Cvt Pack Plus,Ubicación no encontrada,1.3 Gse Drive Cvt Pack Plus,Plateado,Fiat,Cronos,2024,Nafta,4.0,Automática,1.3,Sedán,1000.0,Hidráulica,Delantera,5.0,99.0,6000.0
Fiat Cronos 1.3 Gse Drive Pack Conectividad,Bs.As. G.B.A. Norte,1.3 Gse Drive Pack Conectividad,Plateado,Fiat,Cronos,2021,Nafta,4.0,Manual,1.3,Sedán,88000.0,Eléctrica,Delantera,5.0,99.0,9266.67
