Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Ford Fiesta,Capital Federal,1.6 Se 110cv 4x2,Gris,Ford,Fiesta,2018,Nafta,5.0,Manual,1.6,Sedán,74000.0,Eléctrica,Delantera,,,11500.0
Ford Fiesta 1.6 Ambiente Mp3,Bs.As. G.B.A. Oeste,1.6 Ambiente Mp3,,Ford,Fiesta,2010,Nafta,5.0,Manual,1.6,Hatchback,170000.0,Hidráulica,Delantera,5.0,98.0,6000.0
Ford Fiesta 1.6 One Ambiente Plus 98cv,Capital Federal,1.6 One Ambiente Plus 98cv,,Ford,Fiesta,2012,Nafta,5.0,Manual,1.6,Hatchback,135000.0,Hidráulica,Delantera,5.0,98.0,5000.0
Ford Fiesta 1.6 Ambiente,Ubicación no encontrada,1.6 Ambiente,,Ford,Fiesta,2004,Nafta,5.0,Manual,1.6,Hatchback,200000.0,Hidráulica,Delantera,5.0,95.0,3666.67
Ford Fiesta Clx,Ubicación no encontrada,Clx,Azul,Ford,Fiesta,2002,Nafta,5.0,Manual,1.6,Hatchback,263000.0,Hidráulica,Delantera,5.0,95.0,4500.0
Ford Fiesta Full,Bs.As. G.B.A. Norte,titanium powershift,,Ford,Fiesta,2015,Nafta,5.0,Manual,1.6,Hatchback,97000.0,Hidráulica,Delantera,5.0,98.0,11000.0
Ford Fiesta 1.6 One Ambiente Plus 98cv,San Luis,1.6 One Ambiente Plus 98cv,,Ford,Fiesta,2013,Nafta,5.0,Manual,1.6,Hatchback,145000.0,Hidráulica,Delantera,5.0,98.0,6500.0
Ford Fiesta 1.6 Ambiente Mp3,Capital Federal,1.6 Ambiente Mp3,Plateado,Ford,Fiesta,2009,Nafta,5.0,Manual,1.6,Hatchback,110000.0,Hidráulica,Delantera,5.0,98.0,5600.0
Ford Fiesta 1.3 Clx,Bs.As. G.B.A. Sur,1.3 Clx,Rojo,Ford,Fiesta,1995,Nafta,3.0,Manual,1.3,Hatchback,1000.0,Asistida,Delantera,5.0,60.0,3500.0
Ford Fiesta 1.6 One Ambiente Plus 98cv,Santa Fe,1.6 One Ambiente Plus 98cv,Gris,Ford,Fiesta,2012,Nafta,5.0,Manual,1.6,Hatchback,86000.0,Hidráulica,Delantera,5.0,98.0,6000.0
Ford Fiesta 120cv,Capital Federal,120cv,,Ford,Fiesta,2014,Nafta,5.0,Manual,1.6,Hatchback,94000.0,Hidráulica,Delantera,5.0,98.0,11500.0
Ford Fiesta 1.6 Ambien. Plus,Ubicación no encontrada,1.6 Ambien. Plus,Gris,Ford,Fiesta,2004,Nafta,5.0,Manual,1.6,Hatchback,96000.0,Hidráulica,Delantera,5.0,95.0,5066.67
Ford Fiesta,Córdoba,Powershift caja automática,Blanco,Ford,Fiesta,2018,Nafta,5.0,Manual,1.6,Hatchback,140000.0,Eléctrica,Delantera,,,8666.67
Ford Fiesta 1.6l S Plus,Bs.As. G.B.A. Oeste,1.6L S Plus,,Ford,Fiesta,2016,Nafta,5.0,Automática,1.6,Hatchback,163000.0,Hidráulica,,,,8300.0
Ford Fiesta Se Plus Sedan 1.6 Nafta Ab267 Lum,Ubicación no encontrada,Se plus sedan,,Ford,Fiesta,2017,Nafta,4.0,Manual,1.6,Sedán,79200.0,Hidráulica,,,,9392.0
Ford Fiesta 1.6 One Ambiente Plus 98cv,Ubicación no encontrada,1.6 One Ambiente Plus 98cv,Plateado,Ford,Fiesta,2012,Nafta,5.0,Manual,1.6,Hatchback,131000.0,Hidráulica,Delantera,5.0,98.0,6000.0
Ford Fiesta 1.8 Lx D,Capital Federal,1.8 Lx D,Rojo,Ford,Fiesta,1998,Diésel,3.0,Manual,1.8,Hatchback,150000.0,Hidráulica,Delantera,5.0,60.0,1333.33
Ford Fiesta 1.6 One Edge Plus 98cv,Ubicación no encontrada,1.6 One Edge Plus 98cv,Dorado,Ford,Fiesta,2012,Nafta,5.0,Manual,1.6,Hatchback,75250.0,Hidráulica,Delantera,5.0,98.0,7500.0
Ford Fiesta 1.6 Energy,Ubicación no encontrada,1.6 Energy,Azul,Ford,Fiesta,2006,Nafta,5.0,Manual,1.6,Hatchback,170000.0,Hidráulica,Delantera,5.0,95.0,3666.67
Ford Fiesta 2015,Ubicación no encontrada,1.6 Ls,Azul,Ford,Fiesta,2015,Nafta,5.0,Manual,1.6,Hatchback,90000.0,Hidráulica,Delantera,5.0,98.0,10500.0
Ford Fiesta Ford Fiesta Se Plus,Capital Federal,Ford Fiesta SE plus,,Ford,Fiesta,2017,Nafta,4.0,Manual,1.6,Sedán,103500.0,Hidráulica,,,,9700.0
Ford Fiesta 1.6 Ambien. Plus,Buenos Aires Interior,1.6 Ambien. Plus,Plateado,Ford,Fiesta,2003,Nafta,5.0,Manual,1.6,Hatchback,195000.0,Hidráulica,Delantera,5.0,95.0,4333.33
Ford Fiesta 1.8 Lx D,Bs.As. G.B.A. Norte,1.8 Lx D,Rojo,Ford,Fiesta,1999,Diésel,4.0,Manual,1.8,Hatchback,215000.0,,Delantera,5.0,60.0,1466.67
Ford Fiesta Fiesta 1.6l Se,Bs.As. G.B.A. Norte,Fiesta 1.6L SE,,Ford,Fiesta,2019,Nafta,5.0,Manual,1.6,Hatchback,29500.0,Hidráulica,,,,13500.0
Ford Fiesta 1.6 One Edge Plus 98cv,Bs.As. G.B.A. Norte,1.6 One Edge Plus 98cv,,Ford,Fiesta,2013,Nafta,5.0,Manual,1.6,Hatchback,48000.0,Hidráulica,Delantera,5.0,98.0,7000.0
Ford Fiesta Titanium,Bs.As. G.B.A. Sur,Titanium,Azul,Ford,Fiesta,2015,Nafta,5.0,Manual,1.6,Hatchback,145000.0,Hidráulica,Delantera,5.0,98.0,7500.0
Ford Fiesta 1.6 Ambiente Mp3,Bs.As. G.B.A. Oeste,1.6 Ambiente Mp3,Dorado,Ford,Fiesta,2010,Nafta,5.0,Manual,1.6,Hatchback,103000.0,Hidráulica,Delantera,5.0,98.0,6500.0
Ford Fiesta 1.6 Ambiente Plus,Bs.As. G.B.A. Sur,1.6 Ambiente Plus,,Ford,Fiesta,2008,Nafta,5.0,Manual,1.6,Hatchback,214000.0,Hidráulica,Delantera,5.0,98.0,4333.33
Ford Fiesta 1.6 Ambiente Plus Mp3,Capital Federal,1.6 Ambiente Plus Mp3,Azul,Ford,Fiesta,2007,Nafta,5.0,Manual,1.6,Hatchback,94000.0,Hidráulica,Delantera,5.0,98.0,6300.0
Ford Fiesta Titanium,Buenos Aires Interior,Titanium,,Ford,Fiesta,2018,Nafta,4.0,Manual,1.6,Hatchback,42500.0,Eléctrica,Delantera,,,10900.0
Ford Fiesta Se,Ubicación no encontrada,Se,,Ford,Fiesta,2016,Nafta,5.0,Automática,1.6,Hatchback,155000.0,Hidráulica,,,,10000.0
Ford Fiesta 1.6 Ambiente Plus Mp3,La Pampa,1.6 Ambiente Plus Mp3,,Ford,Fiesta,2010,Nafta,5.0,Manual,1.6,Hatchback,165900.0,Hidráulica,Delantera,5.0,98.0,5466.67
Ford Fiesta 1.6 One Ambiente 98cv,Bs.As. Costa Atlántica,1.6 One Ambiente 98cv,Gris,Ford,Fiesta,2014,Nafta,5.0,Manual,1.6,Hatchback,103000.0,Hidráulica,Delantera,5.0,98.0,9000.0
Ford Fiesta 1.6 Max One Ambiente Plus 98cv,Ubicación no encontrada,1.6 Max One Ambiente Plus 98cv,,Ford,Fiesta,2012,Nafta,4.0,Manual,1.6,Sedán,140800.0,Hidráulica,Delantera,5.0,98.0,5866.67
Ford Fiesta 1.6 Se,Bs.As. G.B.A. Norte,FIESTA 1.6l SE,Blanco,Ford,Fiesta,2017,Nafta,5.0,Manual,1.6,Sedán,77000.0,Hidráulica,,,,12800.0
Ford Fiesta 1.8 Lx D,Bs.As. G.B.A. Sur,1.8 Lx D,,Ford,Fiesta,2000,Diésel,3.0,Manual,1.8,Hatchback,184000.0,,Delantera,5.0,60.0,5000.0
Ford Fiesta 1.6 Ambiente Plus,Bs.As. G.B.A. Oeste,1.6 Ambiente Plus,,Ford,Fiesta,2008,Nafta,5.0,Manual,1.6,Hatchback,200000.0,Hidráulica,Delantera,5.0,98.0,3333.33
Ford Fiesta 1.4 Max One Tdci Edge,Ubicación no encontrada,1.4 Max One Tdci Edge,,Ford,Fiesta,2010,Diésel,4.0,Manual,1.4,Sedán,170000.0,Hidráulica,Delantera,5.0,68.0,4666.67
Ford Fiesta 1.3 Lx,Capital Federal,1.3 Lx,,Ford,Fiesta,1999,Nafta,3.0,Manual,1.3,Hatchback,99950.0,,Delantera,5.0,60.0,2000.0
Ford Fiesta 1.6 Energy,Ubicación no encontrada,1.6 Energy,Rojo,Ford,Fiesta,2005,Nafta,5.0,Manual,1.6,Hatchback,171000.0,Hidráulica,Delantera,5.0,95.0,4592.0
Ford Fiesta 1.8 Clx D,Buenos Aires Interior,1.8 Clx D,,Ford,Fiesta,1997,Diésel,5.0,Manual,1.8,Hatchback,99999.0,Hidráulica,Delantera,5.0,60.0,1866.67
Ford Fiesta 1.6 Max One Ambiente Plus,Bs.As. G.B.A. Sur,1.6 Max One Ambiente Plus,,Ford,Fiesta,2011,Nafta,4.0,Manual,1.6,Sedán,145000.0,Hidráulica,Delantera,5.0,98.0,8000.0
Ford Fiesta 1.8 Clx D Ln,Ubicación no encontrada,1.8 Clx D Ln,,Ford,Fiesta,1998,Diésel,5.0,Manual,1.8,Hatchback,180000.0,Hidráulica,Delantera,5.0,60.0,3000.0
Ford Fiesta 1.3 Cl,Bs.As. G.B.A. Sur,1.3 Cl,,Ford,Fiesta,1995,Nafta,3.0,Manual,1.3,Hatchback,350000.0,Asistida,Delantera,5.0,60.0,2000.0
Ford Fiesta 1.6 Max One Ambiente,Ubicación no encontrada,1.6 Max One Ambiente,,Ford,Fiesta,2011,Nafta,4.0,Manual,1.6,Sedán,122000.0,Hidráulica,Delantera,5.0,98.0,5000.0
Ford Fiesta 1.6 Ambiente Mp3,Ubicación no encontrada,1.6 Ambiente Mp3,Celeste,Ford,Fiesta,2010,Nafta,5.0,Manual,1.6,Hatchback,159000.0,Hidráulica,Delantera,5.0,98.0,5333.33
Ford Fiesta 1.3 Cl,Buenos Aires Interior,1.3 Cl,,Ford,Fiesta,1995,Nafta,3.0,Manual,1.3,Hatchback,999999.0,Asistida,Delantera,5.0,60.0,933.33
Ford Fiesta 1.6 Max One Edge Plus,Ubicación no encontrada,1.6 Max One Edge Plus,,Ford,Fiesta,2011,Nafta,4.0,Manual,1.6,Sedán,132000.0,Hidráulica,Delantera,5.0,98.0,5333.33
Ford Fiesta 1.6l S Plus,Bs.As. G.B.A. Sur,1.6L S PLUS,Rojo,Ford,Fiesta,2017,Nafta,5.0,Manual,1.6,Sedán,57000.0,Hidráulica,,,,11300.0
Ford Fiesta 1.6 Max One Edge Plus 98cv,Capital Federal,1.6 Max One Edge Plus 98cv,Gris,Ford,Fiesta,2012,Nafta,4.0,Manual,1.6,Sedán,126345.0,Hidráulica,Delantera,5.0,98.0,7500.0
Ford Fiesta 1.8 Lx D Aa,Bs.As. G.B.A. Sur,1.8 Lx D Aa,,Ford,Fiesta,1997,Diésel,5.0,Manual,1.8,Hatchback,111111.0,Hidráulica,Delantera,5.0,60.0,1866.67
Ford Fiesta 1.6 Design,Bs.As. G.B.A. Sur,1.6 Design,,Ford,Fiesta,2015,Nafta,5.0,Manual,1.6,Hatchback,69000.0,Hidráulica,Delantera,5.0,98.0,9000.0
Ford Fiesta 1.6 S 2017. 85.700km. Única Mano. Service Al Día,Bs.As. G.B.A. Sur,1.6 S,Azul,Ford,Fiesta,2017,Nafta,5.0,Manual,1.6,Sedán,85700.0,Hidráulica,,,,12000.0
Ford Fiesta 1.6 Ambiente,Bs.As. Costa Atlántica,1.6 Ambiente,Azul,Ford,Fiesta,2003,Nafta,5.0,Manual,1.6,Sedán,283000.0,Hidráulica,Delantera,5.0,95.0,3333.33
Ford Fiesta 1.6 Ambiente Plus Mp3,Bs.As. G.B.A. Sur,1.6 Ambiente Plus Mp3,Gris,Ford,Fiesta,2009,Nafta,5.0,Manual,1.6,Hatchback,164000.0,Hidráulica,Delantera,5.0,98.0,5200.0
Ford Fiesta 1.6 Max Ambiente Plus Mp3,Ubicación no encontrada,1.6 Max Ambiente Plus Mp3,Negro,Ford,Fiesta,2010,Nafta,4.0,Manual,1.6,Sedán,104000.0,Hidráulica,Delantera,5.0,100.0,5500.0
