Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Ford Focus III 1.6 S,Ubicación no encontrada,1.6 S,Plateado,Ford,Focus III,2015,Nafta,5.0,Manual,1.6,Hatchback,85000.0,Asistida,Delantera,5.0,125.0,10000.0
Ford Focus III 2.0 Sedan Se Plus At6,Córdoba,2.0 Sedan Se Plus At6,,Ford,Focus III,2018,Nafta,4.0,Automática,2.0,Sedán,74000.0,Eléctrica,Delantera,5.0,170.0,16500.0
Ford Focus III 2.0 Sedan Se,Ubicación no encontrada,2.0 Sedan Se,Rojo,Ford,Focus III,2014,Nafta,4.0,Manual,2.0,Sedán,95000.0,Asistida,Delantera,5.0,170.0,10500.0
Ford Focus III 1.6 Sedan S,Ubicación no encontrada,1.6 Sedan S,,Ford,Focus III,2016,Nafta,4.0,Manual,1.6,Sedán,70000.0,Eléctrica,Delantera,5.0,125.0,10333.33
Ford Focus III 1.6 S,Bs.As. G.B.A. Sur,1.6 S,Gris,Ford,Focus III,2017,Nafta,5.0,Manual,1.6,Hatchback,130000.0,Eléctrica,Delantera,5.0,125.0,11500.0
Ford Focus III 2.0 Sedan Se Plus At6,Santa Fe,2.0 Sedan Se Plus At6,Gris,Ford,Focus III,2016,Nafta,4.0,Automática,2.0,Sedán,103000.0,Eléctrica,Delantera,5.0,170.0,11000.0
Ford Focus III 2.0 Sedan Se Plus At6,San Luis,2.0 Sedan Se Plus At6,,Ford,Focus III,2016,Nafta,4.0,Automática,2.0,Sedán,95000.0,Eléctrica,Delantera,5.0,170.0,9000.0
Ford Focus III 2.0 Sedan Titanium Mt,Ubicación no encontrada,2.0 Sedan Titanium Mt,Blanco,Ford,Focus III,2014,Nafta,4.0,Manual,2.0,Sedán,150000.0,Asistida,Delantera,5.0,170.0,10500.0
Ford Focus III 2.0 Titanium At6,Bs.As. G.B.A. Norte,2.0 Titanium At6,Gris,Ford,Focus III,2017,Nafta,5.0,Automática,2.0,Hatchback,90000.0,Eléctrica,Delantera,5.0,170.0,16000.0
Ford Focus III 2.0 Titanium At6,Ubicación no encontrada,2.0 Titanium At6,Gris,Ford,Focus III,2017,Nafta,5.0,Automática,2.0,Hatchback,90000.0,Eléctrica,Delantera,5.0,170.0,15200.0
Ford Focus III 1.6 S,Ubicación no encontrada,1.6 S,Gris,Ford,Focus III,2017,Nafta,5.0,Manual,1.6,Hatchback,94000.0,Eléctrica,Delantera,5.0,125.0,10900.0
Ford Focus III 2.0 Sedan Titanium At6,Bs.As. G.B.A. Sur,2.0 Sedan Titanium At6,Blanco,Ford,Focus III,2016,Nafta,4.0,Automática,2.0,Sedán,105000.0,Eléctrica,Delantera,5.0,170.0,14800.0
Ford Focus III 1.6 S,Bs.As. G.B.A. Sur,1.6 S,Azul,Ford,Focus III,2016,Nafta,5.0,Manual,1.6,Hatchback,76000.0,Eléctrica,Delantera,5.0,125.0,12000.0
Ford Focus III 1.6 Sedan S,Ubicación no encontrada,1.6 Sedan S,Gris,Ford,Focus III,2017,Nafta,4.0,Manual,1.6,Sedán,98000.0,Eléctrica,Delantera,5.0,125.0,11700.0
Ford Focus III 1.6 S,Ubicación no encontrada,1.6 S,Rojo,Ford,Focus III,2017,Nafta,5.0,Manual,1.6,Hatchback,90000.0,Eléctrica,Delantera,5.0,125.0,9933.33
Ford Focus III 1.6 S,Bs.As. G.B.A. Oeste,1.6 S,,Ford,Focus III,2018,Nafta,5.0,Manual,1.6,Hatchback,50000.0,Eléctrica,Delantera,5.0,125.0,13000.0
Ford Focus III 1.6 Sedan S,Ubicación no encontrada,1.6 Sedan S,Blanco,Ford,Focus III,2015,Nafta,4.0,Manual,1.6,Sedán,100000.0,Asistida,Delantera,5.0,125.0,10600.0
Ford Focus III 1.6 S,Buenos Aires Interior,1.6 S,Gris,Ford,Focus III,2017,Nafta,5.0,Manual,1.6,Hatchback,125000.0,Eléctrica,Delantera,5.0,125.0,12800.0
Ford Focus III 1.6 S,Ubicación no encontrada,1.6 S,Plateado,Ford,Focus III,2016,Nafta,5.0,Manual,1.6,Hatchback,90000.0,Eléctrica,Delantera,5.0,125.0,11500.0
Ford Focus III 1.6 Sedan S,Bs.As. G.B.A. Norte,1.6 Sedan S,Gris,Ford,Focus III,2018,Nafta,4.0,Manual,1.6,Sedán,44000.0,Eléctrica,Delantera,5.0,125.0,13800.0
Ford Focus III 1.6 S,Bs.As. G.B.A. Sur,1.6 S,,Ford,Focus III,2019,Nafta,5.0,Manual,1.6,Hatchback,47000.0,Eléctrica,Delantera,5.0,125.0,16500.0
Ford Focus III 2.0 Se,Bs.As. G.B.A. Sur,2.0 Se,Gris,Ford,Focus III,2017,Nafta,5.0,Manual,2.0,Hatchback,85000.0,Eléctrica,Delantera,5.0,170.0,14800.0
Ford Focus III 2.0 Se Plus At6,Ubicación no encontrada,2.0 Se Plus At6,Gris,Ford,Focus III,2016,Nafta,5.0,Automática,2.0,Hatchback,96000.0,Eléctrica,Delantera,5.0,170.0,13500.0
Ford Focus III 1.6 S,Bs.As. Costa Atlántica,1.6 S,,Ford,Focus III,2017,Nafta,5.0,Manual,1.6,Hatchback,68000.0,Eléctrica,Delantera,5.0,125.0,13800.0
Ford Focus III 1.6 S,Ubicación no encontrada,1.6 S,,Ford,Focus III,2014,Nafta,5.0,Manual,1.6,Hatchback,140000.0,Asistida,Delantera,5.0,125.0,9000.0
Ford Focus III 2.0 Titanium At6,Santa Fe,2.0 Titanium At6,Blanco,Ford,Focus III,2014,Nafta,5.0,Automática,2.0,Hatchback,84700.0,Asistida,Delantera,5.0,170.0,13300.0
Ford Focus III 2.0 Titanium At6,Ubicación no encontrada,2.0 Titanium At6,Gris,Ford,Focus III,2016,Nafta,5.0,Automática,2.0,Hatchback,100200.0,Eléctrica,Delantera,5.0,170.0,15500.0
