Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Volkswagen Gol 1.6 I Power 601,Ubicación no encontrada,1.6 I Power 601,Blanco,Volkswagen,Gol,2009,Nafta,3.0,Manual,1.6,Hatchback,170000.0,Mecánica,Delantera,5.0,92.0,4100.0
Volkswagen Gol 1.6 Mi Deejay,Bs.As. G.B.A. Sur,1.6 Mi Deejay,,Volkswagen,Gol,2003,Nafta,3.0,Manual,1.6,Hatchback,143000.0,Hidráulica,Delantera,5.0,90.0,3850.0
Volkswagen Gol 1.6 Mi Deejay,Bs.As. G.B.A. Norte,1.6 Mi Deejay,Gris,Volkswagen,Gol,2005,Nafta,3.0,Manual,1.6,Hatchback,91500.0,Hidráulica,Delantera,5.0,90.0,3333.33
Volkswagen Gol 1.4 Power Ps+ac 83cv,Ubicación no encontrada,,Gris,Volkswagen,Gol,2012,Nafta/GNC,3.0,Manual,1.4,Hatchback,248000.0,Hidráulica,Delantera,5.0,83.0,5700.0
Volkswagen Gol Pack 3,Bs.As. G.B.A. Norte,Pack 3,,Volkswagen,Gol,2010,Nafta,5.0,Manual,1.6,Hatchback,108000.0,Mecánica,Delantera,5.0,92.0,8500.0
Volkswagen Gol 1.6 I Power 601,Capital Federal,1.6 I Power 601,Gris,Volkswagen,Gol,2008,Nafta,3.0,Manual,1.6,Hatchback,136000.0,Mecánica,Delantera,5.0,92.0,4600.0
Volkswagen Gol 1.4 Power Ps+ac 83cv,Buenos Aires Interior,,,Volkswagen,Gol,2012,Nafta,5.0,Manual,1.4,Hatchback,143000.0,Hidráulica,Delantera,5.0,83.0,5200.0
Volkswagen Gol 1.6 5p Trend 2017,Ubicación no encontrada,1.6 Trendline,blue,Volkswagen,Gol,2017,Nafta,5.0,Manual,1.6,Hatchback,57000.0,hydraulic,Delantera,5.0,,10500.0
Volkswagen Gol 1.6 I Comfortline 60a,Bs.As. G.B.A. Oeste,1.6 I Comfortline 60a,Gris,Volkswagen,Gol,2008,Nafta,5.0,Manual,1.6,Hatchback,155000.0,Hidráulica,Delantera,5.0,92.0,5500.0
Volkswagen Gol 1.6 Gl Mi,Entre Ríos,1.6 Gl Mi,,Volkswagen,Gol,1997,Nafta,3.0,Manual,1.6,Hatchback,580000.0,Hidráulica,Delantera,5.0,90.0,2333.33
Volkswagen Gol 1.6 I Power 701,Bs.As. G.B.A. Sur,1.6 I Power 701,,Volkswagen,Gol,2010,Nafta,3.0,Manual,1.6,Hatchback,155000.0,Mecánica,Delantera,5.0,92.0,5200.0
Volkswagen Gol 1.4 Power Ps+ac 83cv,Bs.As. G.B.A. Oeste,,Rojo,Volkswagen,Gol,2011,Nafta,5.0,Manual,1.4,Hatchback,116000.0,Hidráulica,Delantera,5.0,83.0,6000.0
Volkswagen Gol 1.6 I Power 601,Ubicación no encontrada,1.6 I Power 601,Gris,Volkswagen,Gol,2009,Nafta,3.0,Manual,1.6,Hatchback,192510.0,Mecánica,Delantera,5.0,92.0,4084.83
Volkswagen Gol 1.9 Sd Power 701,Bs.As. G.B.A. Norte,1.9 Sd Power 701,,Volkswagen,Gol,2006,Diésel,5.0,Manual,1.9,Hatchback,180000.0,Hidráulica,Delantera,5.0,64.0,4800.0
Volkswagen Gol 1.6 I Power 701,Córdoba,1.6 I Power 701,,Volkswagen,Gol,2011,Nafta,3.0,Manual,1.6,Hatchback,120000.0,Mecánica,Delantera,5.0,92.0,5500.0
Volkswagen Gol 1.6 Mi Dublin Dh Aa,Capital Federal,1.6 Mi Dublin Dh Aa,Negro,Volkswagen,Gol,2000,Nafta,5.0,Manual,1.6,Hatchback,165000.0,Hidráulica,Delantera,5.0,90.0,3000.0
Volkswagen Gol 1.4 Power Ps+ac 83cv,Ubicación no encontrada,,Negro,Volkswagen,Gol,2012,Nafta,5.0,Manual,1.4,Hatchback,127000.0,Hidráulica,Delantera,5.0,83.0,6500.0
Volkswagen Gol 1.8 Gl Mi,Capital Federal,1.8 Gl Mi,Verde,Volkswagen,Gol,1998,Nafta,3.0,Manual,1.8,Hatchback,285000.0,Asistida,Delantera,5.0,98.0,1533.33
Volkswagen Gol 1.6 Mi Deejay,Capital Federal,1.6 Mi Deejay,,Volkswagen,Gol,2004,Nafta,3.0,Manual,1.6,Hatchback,186000.0,Hidráulica,Delantera,5.0,90.0,4800.0
Volkswagen Gol 1.4 Power Ps+ac 83cv,Bs.As. G.B.A. Oeste,,,Volkswagen,Gol,2011,Nafta,5.0,Manual,1.4,Hatchback,96000.0,Hidráulica,Delantera,5.0,83.0,4900.0
Volkswagen Gol 1.9 Sd Power 701,Córdoba,1.9 Sd Power 701,,Volkswagen,Gol,2008,Diésel,5.0,Manual,1.9,Hatchback,250000.0,Hidráulica,Delantera,5.0,64.0,2333.33
Volkswagen Gol 1.4 Power Ps+ac 83cv,Ubicación no encontrada,,Gris,Volkswagen,Gol,2011,Nafta,3.0,Manual,1.4,Hatchback,96787.0,Hidráulica,Delantera,5.0,83.0,7000.0
