Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Toyota Hilux 2.8 Cd Srv 177cv 4x2,Córdoba,2.8 Cd Srv 177cv 4x2,Gris,Toyota,Hilux,2022,Diésel,4.0,Manual,2.8,Pick-Up,70000.0,Hidráulica,4x2,5.0,177.0,30000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Capital Federal,2.8 Cd Srx 177cv 4x4 At,Gris,Toyota,Hilux,2020,Diésel,4.0,Automática,2.8,Pick-Up,87500.0,Hidráulica,4x4,5.0,177.0,33900.0
Toyota Hilux 2.8 CD SRX 204CV 4X4,Ubicación no encontrada,2.8 CD SRX 204CV 4X4,Blanco,Toyota,Hilux,2021,Diésel,4.0,Manual,2.8,Pick-Up,45000.0,Hidráulica,4x4,5.0,177.0,36000.0
Toyota Hilux 2.4 sr 150 cv 4x2 manual,Bs.As. G.B.A. Oeste,2.4 sr 150 cv 4x2 manual,Gris,Toyota,Hilux,2020,Diésel,4.0,Manual,2.4,Pick-Up,85000.0,Asistida,4x2,5.0,150.0,22500.0
Toyota Hilux 2.4 Cs Dx 150cv 4x2,Ubicación no encontrada,,,Toyota,Hilux,2019,Diésel,4.0,Manual,2.4,Pick-Up,195000.0,Hidráulica,4x2,5.0,150.0,16000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Bs.As. G.B.A. Oeste,2.8 Cd Srx 177cv 4x4 At,Plateado,Toyota,Hilux,2017,Diésel,4.0,Automática,2.8,Pick-Up,90000.0,Hidráulica,4x4,5.0,177.0,33000.0
Toyota Hilux 2.5 Dx Pack 4x4 2015 Excelente!,Ubicación no encontrada,,Blanco,Toyota,Hilux,2015,Diésel,4.0,Manual,2.5,Pick-Up,130130.0,Hidráulica,4x4,5.0,171.0,19990.0
Toyota Hilux 2.5 Dx Cab Doble 4x2 (2009),Ubicación no encontrada,,Plateado,Toyota,Hilux,2009,Diésel,4.0,Manual,2.5,Pick-Up,170000.0,Hidráulica,4x2,5.0,102.0,15500.0
Toyota Hilux 2.8 Cd Sr 177cv 4x4,Ubicación no encontrada,2.8 Cd Sr 177cv 4x4,Plateado,Toyota,Hilux,2017,Diésel,4.0,Manual,2.8,Pick-Up,167000.0,Hidráulica,4x4,5.0,177.0,19733.33
Toyota Hilux Sw4 4x4 Modelo Nuevo,Mendoza,SRX SW4 204 CV,Gris,Toyota,Hilux,2021,Diésel,5.0,Manual,2.8,Pick-Up,95000.0,Hidráulica,4x4,5.0,177.0,43000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4,Ubicación no encontrada,2.8 Cd Srx 177cv 4x4,Blanco,Toyota,Hilux,2021,Diésel,4.0,Automática,2.8,Pick-Up,79042.0,hydraulic,4x4,5.0,177.0,31258.59
Toyota Hilux 2.8 Cd Sr 177cv 4x4,Ubicación no encontrada,2.8 Cd Sr 177cv 4x4,Plateado,Toyota,Hilux,2019,Diésel,4.0,Manual,2.8,Pick-Up,130000.0,Hidráulica,4x4,5.0,177.0,22000.0
Toyota Hilux 2.4 Cd Sr 150cv 4x2,Bs.As. Costa Atlántica,,,Toyota,Hilux,2016,Diésel,4.0,Manual,2.4,Pick-Up,104000.0,Hidráulica,4x2,5.0,150.0,22000.0
Toyota Hilux 3.0 Cd Srv Limited 171cv 4x4,Bs.As. G.B.A. Norte,,,Toyota,Hilux,2014,Diésel,4.0,Manual,3.0,Pick-Up,166000.0,Hidráulica,4x4,5.0,171.0,24000.0
Toyota Hilux 3.0 Cd Srv Cuero I 171cv 4x4 5at,Ubicación no encontrada,3.0 Cd Srv Cuero I 171cv 4x4 5at,Gris,Toyota,Hilux,2012,Diésel,4.0,Automática,3.0,Pick-Up,215000.0,Hidráulica,4x4,5.0,171.0,19000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Ubicación no encontrada,2.8 Cd Srx 177cv 4x4 At,Gris,Toyota,Hilux,2017,Diésel,4.0,Automática,2.8,Pick-Up,150000.0,Hidráulica,4x4,5.0,177.0,29000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x4 At,Ubicación no encontrada,,,Toyota,Hilux,2021,Diésel,4.0,Automática,2.8,Pick-Up,70000.0,Hidráulica,4x4,5.0,177.0,49000.0
Toyota Hilux 2.8 Cd Srx 177cv 4x2 At,Ubicación no encontrada,2.8 Cd Srx 177cv 4x2 At,Blanco,Toyota,Hilux,2020,Diésel,4.0,Automática,2.8,Pick-Up,106100.0,Hidráulica,4x2,5.0,177.0,32998.0
Toyota Hilux 2.5 Cd Dx Pack 120cv 4x2 - H3,Ubicación no encontrada,,Plateado,Toyota,Hilux,2015,Diésel,4.0,Manual,2.5,Pick-Up,122000.0,Hidráulica,4x2,5.0,120.0,22200.0
Toyota Hilux 2.8 Cd Sr 177cv 4x4,Entre Ríos,2.8 Cd Sr 177cv 4x4,Gris,Toyota,Hilux,2019,Diésel,4.0,Manual,2.8,Pick-Up,51000.0,Hidráulica,4x4,5.0,177.0,24000.0
Toyota Hilux 2.8 Cd Srv 177cv 4x4 At,Ubicación no encontrada,2.8 Cd Srv 177cv 4x4 At,Plateado,Toyota,Hilux,2021,Diésel,4.0,Automática,2.8,Pick-Up,18000.0,Hidráulica,4x4,5.0,177.0,41500.0
Toyota Hilux 2.8 Cd Srv 177cv 4x2,Córdoba,2.8 Cd Srv 177cv 4x2,Plateado,Toyota,Hilux,2016,Diésel,4.0,Manual,2.8,Pick-Up,230000.0,Hidráulica,4x2,5.0,177.0,16333.33
Toyota Hilux 2.8 Cd Srv 177cv 4x2 At,Ubicación no encontrada,2.8 Cd Srv 177cv 4x2 At,Negro,Toyota,Hilux,2018,Diésel,4.0,Automática,2.8,Pick-Up,51000.0,Hidráulica,4x2,5.0,177.0,26990.0
Toyota Hilux 2.8 Cd Srv 177cv 4x2 At,Ubicación no encontrada,,,Toyota,Hilux,2023,Diésel,4.0,Automática,2.8,Pick-Up,3500.0,Hidráulica,4x2,5.0,177.0,28000.0
Toyota Hilux 2.5 Cd Dx Pack I 120cv 4x4,Neuquén,,,Toyota,Hilux,2012,Diésel,4.0,Manual,2.5,Pick-Up,269000.0,Hidráulica,4x4,5.0,120.0,17500.0
