Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Renault Kangoo Ii Express Confort 1.6 Sce,Bs.As. G.B.A. Sur,Ii Express Confort 1.6 Sce,Gris,Renault,Kangoo,2022,Nafta,3.0,Manual,1.6,Furgón,93000.0,Hidráulica,Delantera,2.0,114.0,12666.67
Renault Kangoo Ii Express Confort 5a 1.6 Sce,Bs.As. G.B.A. Sur,Ii Express Confort 5a 1.6 Sce,Plateado,Renault,Kangoo,2019,Nafta,5.0,Manual,1.6,Furgón,82500.0,Hidráulica,Delantera,2.0,114.0,16000.0
Renault Kangoo 1.6 Furgon Ph3 Confort 5as Lc,Ubicación no encontrada,1.6 Furgon Ph3 Confort 5as Lc,Gris,Renault,Kangoo,2016,Nafta,3.0,Manual,1.6,Furgón,156000.0,Hidráulica,Delantera,2.0,95.0,11500.0
Renault Kangoo 1.6 Furgon Ph3 Confort 1plc,Ubicación no encontrada,1.6 Furgon Ph3 Confort 1plc,Blanco,Renault,Kangoo,2017,Nafta,3.0,Manual,1.6,Furgón,130000.0,Hidráulica,Delantera,2.0,95.0,11000.0
Renault Kangoo Ii Express Confort 5a 1.5 Dci,Ubicación no encontrada,Ii Express Confort 5a 1.5 Dci,Gris,Renault,Kangoo,2020,Diésel,5.0,Manual,1.5,Furgón,45800.0,Hidráulica,Delantera,2.0,65.0,13666.67
Renault Kangoo Confort 1.6,Neuquén,Confort 1.6,,Renault,Kangoo,2010,Nafta,2.0,Manual,1.6,Furgón,350000.0,Hidráulica,Delantera,2.0,95.0,5000.0
Renault Kangoo 1.6 Furgon Ph3 Confort 1plc,Buenos Aires Interior,1.6 Furgon Ph3 Confort 1plc,,Renault,Kangoo,2014,Nafta,3.0,Manual,1.6,Furgón,200000.0,Hidráulica,Delantera,2.0,95.0,7333.33
Renault Kangoo 1.5 2 Dci Ath Da Aa Cd 1plc,Ubicación no encontrada,1.5 2 Dci Ath Da Aa Cd 1plc,Beige,Renault,Kangoo,2010,Diésel,5.0,Manual,1.5,Furgón,165000.0,hydraulic,Delantera,5.0,65.0,6333.33
Renault Kangoo Ii Express Confort 1.6 Sce,Capital Federal,Ii Express Confort 1.6 Sce,Blanco,Renault,Kangoo,2023,Nafta,3.0,Manual,1.6,Furgón,67000.0,Hidráulica,Delantera,2.0,114.0,15500.0
Renault Kangoo Ii Express Confort 5a 1.5 Dci,Bs.As. G.B.A. Oeste,Ii Express Confort 5a 1.5 Dci,Blanco,Renault,Kangoo,2021,Diésel,5.0,Manual,1.5,Furgón,46500.0,Hidráulica,Delantera,2.0,65.0,16900.0
Renault Kangoo Ii Express Confort 5a 1.5 Dci,Capital Federal,Ii Express Confort 5a 1.5 Dci,Gris,Renault,Kangoo,2021,Diésel,5.0,Manual,1.5,Furgón,45000.0,Hidráulica,Delantera,2.0,65.0,17000.0
Renault Kangoo 1.6 Furgon Ph3 Confort 1plc,Capital Federal,1.6 Furgon Ph3 Confort 1plc,Gris,Renault,Kangoo,2018,Nafta,3.0,Manual,1.6,Furgón,78000.0,Hidráulica,Delantera,2.0,95.0,13800.0
Renault Kangoo 1.6 Sce Stepway,Bs.As. G.B.A. Sur,1.6 Sce Stepway,,Renault,Kangoo,2023,Nafta,4.0,Manual,1.6,Monovolumen,5500.0,Hidráulica,Delantera,5.0,114.0,21000.0
Renault Kangoo 1.5 Furgon Ph3 Confort 5as Lc,Ubicación no encontrada,1.5 Furgon Ph3 Confort 5as Lc,Gris,Renault,Kangoo,2016,Diésel,3.0,Manual,1.5,Furgón,107000.0,Hidráulica,Delantera,2.0,65.0,9033.33
Renault Kangoo 1.6 Furgon Ph3 Confort 1plc,Santa Fe,1.6 Furgon Ph3 Confort 1plc,,Renault,Kangoo,2015,Nafta,3.0,Manual,1.6,Furgón,139000.0,Hidráulica,Delantera,2.0,95.0,9500.0
Renault Kangoo 1.9 Rld Athentique Aa Lc,Bs.As. G.B.A. Norte,1.9 Rld Athentique Aa Lc,,Renault,Kangoo,2006,Diésel,5.0,Automática,1.9,Rural,10000.0,Hidráulica,Delantera,5.0,65.0,6500.0
Renault Kangoo 1.6 Furgon Ph3 Gran Confort Lc,Buenos Aires Interior,1.6 Furgon Ph3 Gran Confort Lc,,Renault,Kangoo,2014,Nafta,3.0,Manual,1.6,Furgón,210000.0,Hidráulica,Delantera,2.0,95.0,6666.67
Renault Kangoo 1.6 2 Furgon Confort Aa Da Svt 1plc,Bs.As. G.B.A. Oeste,1.6 2 Furgon Confort Aa Da Svt 1plc,Gris,Renault,Kangoo,2014,Nafta,3.0,Manual,1.6,Furgón,135000.0,Hidráulica,Delantera,2.0,95.0,6000.0
Renault Kangoo 1.6 Ph3 Authentique 1plc,Capital Federal,1.6 Ph3 Authentique 1plc,Blanco,Renault,Kangoo,2015,Nafta,4.0,Manual,1.6,Monovolumen,207000.0,Hidráulica,Delantera,5.0,95.0,7300.0
Renault Kangoo 1.6 Furgon Ph3 Confort 5as Lc,Capital Federal,1.6 Furgon Ph3 Confort 5as Lc,,Renault,Kangoo,2016,Nafta,3.0,Manual,1.6,Furgón,84000.0,Hidráulica,Delantera,2.0,95.0,9500.0
Renault Kangoo 1.5 2 Dci Ath Da Aa Cd 1plc,Bs.As. G.B.A. Oeste,1.5 2 Dci Ath Da Aa Cd 1plc,,Renault,Kangoo,2008,Diésel,4.0,Automática,1.5,Monovolumen,140000.0,Hidráulica,Delantera,5.0,65.0,1333.33
