Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Volkswagen Polo 1.6 Msi Trendline,Bs.As. G.B.A. Oeste,1.6 Msi Trendline,Rojo,Volkswagen,Polo,2020,Nafta,5.0,Manual,1.6,Hatchback,49000.0,Hidráulica,Delantera,5.0,110.0,16500.0
Volkswagen Polo 1.6 Msi Comfortline,Ubicación no encontrada,1.6 Msi Comfortline,Gris,Volkswagen,Polo,2019,Nafta,5.0,Manual,1.6,Hatchback,91000.0,Hidráulica,Delantera,5.0,110.0,15800.0
Volkswagen Polo 1.6 Msi Comfort Plus At,Capital Federal,1.6 Msi Comfort Plus At,Gris,Volkswagen,Polo,2018,Nafta,5.0,Automática,1.6,Hatchback,113000.0,Hidráulica,Delantera,5.0,110.0,12700.0
Volkswagen Polo 1.6 Msi Trendline,Córdoba,1.6 Msi Trendline,,Volkswagen,Polo,2018,Nafta,5.0,Manual,1.6,Hatchback,38000.0,Hidráulica,Delantera,5.0,110.0,13500.0
Volkswagen Polo 1.6 Msi Highline At,Capital Federal,1.6 Msi Highline At,Plateado,Volkswagen,Polo,2020,Nafta,5.0,Automática,1.6,Hatchback,35000.0,Hidráulica,Delantera,5.0,110.0,6666.67
Volkswagen Polo 1.6 Msi Comfort Plus,Ubicación no encontrada,1.6 Msi Comfort Plus,Blanco,Volkswagen,Polo,2024,Nafta,5.0,Automática,1.6,Hatchback,2024.0,Hidráulica,Delantera,5.0,110.0,15666.67
Volkswagen Polo 1.6 Msi Comfort Plus At,Ubicación no encontrada,1.6 Msi Comfort Plus At,Azul,Volkswagen,Polo,2019,Nafta,5.0,Automática,1.6,Hatchback,45725.0,Hidráulica,Delantera,5.0,110.0,15900.0
Volkswagen Polo 1.6 Comfortline,Bs.As. G.B.A. Sur,1.6 Comfortline,Blanco,Volkswagen,Polo,2016,Nafta,4.0,Manual,1.6,Hatchback,95000.0,Hidráulica,Delantera,5.0,110.0,10900.0
Volkswagen Polo 1.6 Msi Trendline,Bs.As. G.B.A. Oeste,1.6 Msi Trendline,,Volkswagen,Polo,2022,Nafta,5.0,Manual,1.6,Hatchback,5000.0,Hidráulica,Delantera,5.0,110.0,6000.0
Volkswagen Polo 1.6 Msi Track,Ubicación no encontrada,1.6 Msi Track,Rojo,Volkswagen,Polo,2023,Nafta,5.0,Manual,1.6,Hatchback,1111.0,Hidráulica,Delantera,5.0,110.0,18000.0
Volkswagen Polo 1.6 Msi Trendline,Ubicación no encontrada,1.6 Msi Trendline,Gris,Volkswagen,Polo,2021,Nafta,5.0,Manual,1.6,Hatchback,38000.0,Hidráulica,Delantera,5.0,110.0,15000.0
Volkswagen Polo 1.6 Msi Track,Capital Federal,1.6 Msi Track,Gris,Volkswagen,Polo,2024,Nafta,5.0,Manual,1.6,Hatchback,1000.0,Hidráulica,Delantera,5.0,110.0,18500.0
Volkswagen Polo 1.6 Msi Trendline,Capital Federal,1.6 Msi Trendline,Negro,Volkswagen,Polo,2018,Nafta,5.0,Manual,1.6,Hatchback,33000.0,Hidráulica,Delantera,5.0,110.0,13990.0
Volkswagen Polo 1.6 Comfortline,Ubicación no encontrada,1.6 Comfortline,Azul,Volkswagen,Polo,2018,Nafta,5.0,Manual,1.6,Sedán,109624.0,Hidráulica,Delantera,5.0,110.0,12194.0
Volkswagen Polo 1.6 Msi Trendline,Ubicación no encontrada,1.6 Msi Trendline,Negro,Volkswagen,Polo,2019,Nafta,5.0,Manual,1.6,Hatchback,90000.0,Hidráulica,Delantera,5.0,110.0,16000.0
