Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Ford Ranger Raptor,Bs.As. G.B.A. Norte,Raptor,,Ford,Ranger,2023,Nafta,4.0,Automática,2.0,Pick-Up,16200.0,Eléctrica,4x4,5.0,200.0,75400.0
Ford Ranger Limited Plus V6,Ubicación no encontrada,Limited Plus V6,Plateado,Ford,Ranger,2024,Diésel,4.0,Automática,3.0,Pick-Up,1500.0,hydraulic,4x2,5.0,250.0,59000.0
Ford Ranger Raptor,Neuquén,Raptor,Azul,Ford,Ranger,2024,Nafta,4.0,Automática,3.0,Pick-Up,3000.0,Eléctrica,4x2,5.0,250.0,82000.0
Ford Ranger LIMITED PLUS  V6 4X4 10AT,Ubicación no encontrada,LIMITED PLUS  V6 4X4 10AT,Blanco,Ford,Ranger,2024,Diésel,4.0,Automática,2.0,Pick-Up,1000.0,hydraulic,4x2,5.0,210.0,60000.0
Ford Ranger 3.0 Cd 4X4 Xls At 250Cv,Ubicación no encontrada,3.0 Cd 4X4 Xls At 250Cv,Blanco,Ford,Ranger,2023,Diésel,4.0,Automática,3.0,Pick-Up,1000.0,Eléctrica,4x4,5.0,250.0,41000.0
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x2,Bs.As. G.B.A. Oeste,3.2 Cd Xlt Tdci 200cv Automática 4x2,Blanco,Ford,Ranger,2021,Diésel,4.0,Automática,3.2,Pick-Up,37000.0,Eléctrica,4x2,5.0,200.0,28000.0
Ford Ranger 2.8 Cd Xl Plus 4x2,Ubicación no encontrada,2.8 Cd Xl Plus 4x2,Dorado,Ford,Ranger,2008,Diésel,4.0,Manual,2.8,Pick-Up,280000.0,Hidráulica,4x2,5.0,132.0,10300.0
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x4,Ubicación no encontrada,3.2 Cd Xlt Tdci 200cv Automática 4x4,Gris,Ford,Ranger,2020,Diésel,4.0,Automática,3.2,Pick-Up,140000.0,Eléctrica,4x4,5.0,200.0,19266.67
Ford Ranger 3.2 Cd 4x4 Xlt Tdci 200cv,Ubicación no encontrada,3.2 Cd 4x4 Xlt Tdci 200cv,Gris,Ford,Ranger,2014,Diésel,4.0,Manual,3.2,Pick-Up,86234.0,Eléctrica,Integral,5.0,200.0,18990.0
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x4,Ubicación no encontrada,2.2 Cd Xl Tdci 150cv 4x4,Blanco,Ford,Ranger,2021,Diésel,4.0,Manual,2.2,Pick-Up,88000.0,Eléctrica,4x4,5.0,150.0,14666.67
Ford Ranger 3.2 Cd Xls Tdci 200cv Manual 4x4,Ubicación no encontrada,,,Ford,Ranger,2020,Diésel,4.0,Manual,3.2,Pick-Up,78000.0,Eléctrica,4x4,5.0,200.0,18000.0
Ford Ranger 3.2 Cd 4x4 Limited Tdci 200cv At,Córdoba,3.2 Cd 4x4 Limited Tdci 200cv At,Rojo,Ford,Ranger,2013,Diésel,4.0,Automática,3.2,Pick-Up,267000.0,Eléctrica,Integral,5.0,200.0,20000.0
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x4,Ubicación no encontrada,3.2 Cd Xlt Tdci 200cv Automática 4x4,Gris,Ford,Ranger,2017,Diésel,4.0,Automática,3.2,Pick-Up,92300.0,Eléctrica,4x4,5.0,200.0,23000.0
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x4,Bs.As. G.B.A. Sur,2.2 Cd Xl Tdci 150cv 4x4,Negro,Ford,Ranger,2017,Diésel,4.0,Manual,2.2,Pick-Up,64000.0,Eléctrica,4x4,5.0,150.0,19000.0
Ford Ranger 3.2 Cd 4x4 Limited Tdci 200cv At,Entre Ríos,,,Ford,Ranger,2014,Diésel,4.0,Automática,3.2,Pick-Up,159900.0,Eléctrica,Integral,5.0,200.0,20500.0
Ford Ranger 3.2 Cd 4x2 Xlt Tdci 200cv,Bs.As. G.B.A. Norte,3.2 Cd 4x2 Xlt Tdci 200cv,Gris,Ford,Ranger,2016,Diésel,4.0,Manual,3.2,Pick-Up,62500.0,Eléctrica,4x2,5.0,200.0,22600.0
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática,Bs.As. G.B.A. Sur,3.2 Cd Xlt Tdci 200cv Automática,Gris,Ford,Ranger,2016,Diésel,4.0,Automática,3.2,Pick-Up,43000.0,Eléctrica,4x2,5.0,200.0,21500.0
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x4,Ubicación no encontrada,3.2 Cd Xlt Tdci 200cv Automática 4x4,Gris,Ford,Ranger,2018,Diésel,4.0,Automática,3.2,Pick-Up,133000.0,Eléctrica,4x4,5.0,200.0,19000.0
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x4,Bs.As. G.B.A. Sur,,,Ford,Ranger,2017,Diésel,4.0,Automática,3.2,Pick-Up,120000.0,Eléctrica,4x4,5.0,200.0,22000.0
Ford Ranger 2.2 Cd 4x2 Xl Safety Tdci 125cv,Bs.As. G.B.A. Norte,,,Ford,Ranger,2015,Diésel,4.0,Manual,2.2,Pick-Up,100000.0,Eléctrica,4x2,5.0,125.0,16200.0
Ford Ranger 3.0 Cd Xl Plus 4x2,Ubicación no encontrada,3.0 Cd Xl Plus 4x2,Gris,Ford,Ranger,2007,Diésel,2.0,Manual,3.0,Pick-Up,324000.0,Hidráulica,4x2,5.0,163.0,8500.0
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,Santa Fe,3.2 Cd Limited Tdci 200cv Automática,Gris,Ford,Ranger,2017,Diésel,4.0,Automática,3.2,Pick-Up,100000.0,Eléctrica,4x4,5.0,200.0,24500.0
Ford Ranger 2.5 Cs Ivct Xlt 166cv,Bs.As. G.B.A. Oeste,2.5 Cs Ivct Xlt 166cv,Gris,Ford,Ranger,2019,Nafta,4.0,Manual,2.5,Pick-Up,42800.0,Eléctrica,4x2,2.0,166.0,24000.0
Ford Ranger 3.2 Cd Xls Tdci 200cv Manual 4x2,Bs.As. G.B.A. Sur,,,Ford,Ranger,2021,Diésel,4.0,Manual,3.2,Pick-Up,56000.0,Eléctrica,4x2,5.0,200.0,29000.0
Ford Ranger 2.0 Cd 4X2 Xl 170Cv,Ubicación no encontrada,,,Ford,Ranger,2023,Diésel,4.0,Manual,2.0,Pick-Up,6900.0,Eléctrica,4x4,5.0,170.0,16000.0
Ford Ranger 2.2 Cd Xl Tdci 150cv 4x2,Ubicación no encontrada,,,Ford,Ranger,2018,Diésel,4.0,Manual,2.2,Pick-Up,153000.0,Eléctrica,4x2,5.0,150.0,13600.0
Ford Ranger 3.2 Cd Xls Tdci 200cv Manual 4x2,Capital Federal,3.2 Cd Xls Tdci 200cv Manual 4x2,Blanco,Ford,Ranger,2021,Diésel,4.0,Manual,3.2,Pick-Up,73600.0,Eléctrica,4x2,5.0,200.0,27000.0
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,Santa Fe,3.2 Cd Limited Tdci 200cv Automática,Azul,Ford,Ranger,2020,Diésel,4.0,Automática,3.2,Pick-Up,70000.0,Eléctrica,4x4,5.0,200.0,28000.0
Ford Ranger 2.2 Cd 4x4 Xl Safety Tdci 125cv,Ubicación no encontrada,2.2 Cd 4x4 Xl Safety Tdci 125cv,Blanco,Ford,Ranger,2013,Diésel,4.0,Manual,2.2,Pick-Up,193977.0,Eléctrica,Integral,5.0,125.0,14000.0
Ford Ranger 3.2 Cd Xls Tdci 200cv Automática,Capital Federal,,,Ford,Ranger,2019,Diésel,4.0,Automática,3.2,Pick-Up,76900.0,Eléctrica,4x2,5.0,200.0,24000.0
Ford Ranger 3.0 Cd Xl Plus Mp3+4x2,Bs.As. G.B.A. Sur,,,Ford,Ranger,2009,Diésel,2.0,Manual,3.0,Pick-Up,130000.0,Hidráulica,4x2,5.0,163.0,10500.0
Ford Ranger 3.0 Cd Limited 4x4,Ubicación no encontrada,3.0 Cd Limited 4x4,Azul,Ford,Ranger,2008,Diésel,2.0,Manual,3.0,Pick-Up,110965.0,Hidráulica,Integral,5.0,163.0,13500.0
Ford Ranger 2.2 Cd 4x4 Xl Safety Tdci 125cv,Ubicación no encontrada,2.2 Cd 4x4 Xl Safety Tdci 125cv,Plateado,Ford,Ranger,2016,Diésel,4.0,Manual,2.2,Pick-Up,73000.0,Eléctrica,Integral,5.0,125.0,20000.0
Ford Ranger 3.2 Cd 4x4 Limited Tdci 200cv,Ubicación no encontrada,3.2 Cd 4x4 Limited Tdci 200cv,Gris,Ford,Ranger,2013,Diésel,4.0,Manual,3.2,Pick-Up,171700.0,Eléctrica,Integral,5.0,200.0,13000.0
Ford Ranger 2.2 Cd 4x2 Xl Safety Tdci 125cv,Chubut,2.2 Cd 4x2 Xl Safety Tdci 125cv,Azul,Ford,Ranger,2015,Diésel,4.0,Manual,2.2,Pick-Up,112000.0,Eléctrica,4x2,5.0,125.0,16000.0
Ford Ranger 3.2 Cd Xlt Tdci 200cv Automática 4x4,Capital Federal,,,Ford,Ranger,2017,Diésel,4.0,Automática,3.2,Pick-Up,106000.0,Eléctrica,4x4,5.0,200.0,23500.0
Ford Ranger 3.0 Xlt I Dc 4x2,Buenos Aires Interior,,,Ford,Ranger,2007,Diésel,4.0,Manual,3.0,Pick-Up,260000.0,Hidráulica,4x2,6.0,163.0,13000.0
Ford Ranger 3.0 Cd Xl Plus 4x4,Bs.As. G.B.A. Norte,,,Ford,Ranger,2011,Diésel,2.0,Manual,3.0,Pick-Up,240000.0,Hidráulica,Integral,5.0,163.0,12000.0
Ford Ranger 3.2 Cd 4x2 Xls Tdci 200cv,Ubicación no encontrada,3.2 Cd 4x2 Xls Tdci 200cv,Blanco,Ford,Ranger,2013,Diésel,4.0,Manual,3.2,Pick-Up,116000.0,Eléctrica,4x2,5.0,200.0,16333.33
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,Bs.As. G.B.A. Sur,3.2 Cd Limited Tdci 200cv Automática,Plateado,Ford,Ranger,2018,Diésel,4.0,Automática,3.2,Pick-Up,74200.0,Eléctrica,4x4,5.0,200.0,24900.0
Ford Ranger 3.2 Cd 4x2 Xlt Tdci 200cv,Neuquén,3.2 Cd 4x2 Xlt Tdci 200cv,Gris,Ford,Ranger,2015,Eléctrico,4.0,Manual,3.2,Pick-Up,98111.0,Eléctrica,4x2,5.0,200.0,23000.0
Ford Ranger 3.0 Cd 4X4 Limited + At 250Cv,Bs.As. G.B.A. Oeste,,Blanco,Ford,Ranger,2023,Diésel,4.0,Automática,3.0,Pick-Up,1950.0,Eléctrica,4x4,5.0,250.0,45000.0
Ford Ranger 3.2 Cd 4x4 Xlt Tdci 200cv,Bs.As. G.B.A. Sur,3.2 Cd 4x4 Xlt Tdci 200cv,Azul,Ford,Ranger,2014,Diésel,4.0,Manual,3.2,Pick-Up,149000.0,Eléctrica,Integral,5.0,200.0,17266.67
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,Ubicación no encontrada,,,Ford,Ranger,2017,Diésel,4.0,Automática,3.2,Pick-Up,80000.0,Eléctrica,4x4,5.0,200.0,23000.0
Ford Ranger Dc 4x2 XLS AT 3.2L D,Bs.As. G.B.A. Norte,,,Ford,Ranger,2021,Diésel,4.0,Manual,3.2,Pick-Up,70060.0,Eléctrica,4x2,5.0,200.0,29500.0
Ford Ranger 2.2 Cs Xl Tdci 125cv 4x2,Mendoza,2.2 Cs Xl Tdci 125cv 4x2,Blanco,Ford,Ranger,2017,Diésel,2.0,Manual,2.2,Pick-Up,16806.0,Eléctrica,4x2,2.0,125.0,14333.33
Ford Ranger Black Edition Cabina Doble 4x4 Diesel At,Ubicación no encontrada,Black Edition Cabina Doble 4x4 Diesel At,Gris,Ford,Ranger,2022,Diésel,4.0,Automática,3.2,Pick-Up,102000.0,Eléctrica,4x4,5.0,200.0,34800.0
Ford Ranger 3.2 Cd Xls Tdci 200cv Manual 4x2,Bs.As. G.B.A. Norte,,,Ford,Ranger,2017,Diésel,4.0,Manual,3.2,Pick-Up,97000.0,Eléctrica,4x2,5.0,200.0,22000.0
Ford Ranger 3.2 Cd Xls Tdci 200cv Automática,Capital Federal,3.2 Cd Xls Tdci 200cv Automática,Blanco,Ford,Ranger,2019,Diésel,4.0,Automática,3.2,Pick-Up,74900.0,Eléctrica,4x2,5.0,200.0,24000.0
Ford Ranger 3.2 Cd 4x2 Xls Tdci 200cv,Ubicación no encontrada,3.2 Cd 4x2 Xls Tdci 200cv,Gris,Ford,Ranger,2016,Eléctrico,4.0,Manual,3.2,Pick-Up,95000.0,Eléctrica,4x2,5.0,200.0,18900.0
Ford Ranger 2.2 Cd 4x2 Xl Safety Tdci 125cv,Ubicación no encontrada,2.2 Cd 4x2 Xl Safety Tdci 125cv,Gris,Ford,Ranger,2013,Diésel,4.0,Manual,2.2,Pick-Up,152000.0,hydraulic,4x2,5.0,200.0,11333.33
Ford Ranger 3.2 Cd 4x4 Xlt Tdci 200cv,Bs.As. G.B.A. Norte,3.2 Cd 4x4 Xlt Tdci 200cv,Blanco,Ford,Ranger,2015,Diésel,4.0,Manual,3.2,Pick-Up,130000.0,Eléctrica,Integral,5.0,200.0,18000.0
Ford Ranger 3.0 Cd Superduty 4x4,Capital Federal,3.0 Cd Superduty 4x4,Blanco,Ford,Ranger,2012,Diésel,4.0,Manual,3.0,Pick-Up,139000.0,Hidráulica,Integral,5.0,163.0,14000.0
Ford Ranger 2.2 Cs Xl Tdci 125cv,Santa Fe,,,Ford,Ranger,2016,Diésel,2.0,Manual,2.2,Pick-Up,220000.0,Eléctrica,4x2,2.0,125.0,18000.0
Ford Ranger 3.2 Cd 4x4 Xlt Tdci 200cv,Bs.As. G.B.A. Norte,3.2 Cd 4x4 Xlt Tdci 200cv,Plateado,Ford,Ranger,2014,Diésel,4.0,Manual,3.2,Pick-Up,202000.0,Eléctrica,Integral,5.0,200.0,18500.0
Ford Ranger 2.2 Cs Xl Tdci 150cv 4x4,Ubicación no encontrada,2.2 Cs Xl Tdci 150cv 4x4,Blanco,Ford,Ranger,2018,Diésel,2.0,Manual,2.2,Pick-Up,152000.0,Eléctrica,4x4,2.0,150.0,20000.0
Ford Ranger Limited+ V6,Bs.As. Costa Atlántica,,,Ford,Ranger,2024,Diésel,4.0,Automática,3.0,Pick-Up,1500.0,hydraulic,4x2,5.0,250.0,52000.0
