Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Renault Sandero 1.6 16v Life,Bs.As. G.B.A. Sur,1.6 16v Life,Gris,Renault,Sandero,2023,Nafta,5.0,Manual,1.6,Hatchback,111111.0,Asistida,Delantera,5.0,115.0,12950.0
Renault Sandero PACK PLUS,Ubicación no encontrada,PACK PLUS,Gris,Renault,Sandero,2012,Nafta,5.0,Manual,1.6,Sedán,120000.0,Hidráulica,Delantera,5.0,90.0,5533.33
Renault Sandero 1.6 Expression 90cv,Ubicación no encontrada,1.6 Expression 90cv,Blanco,Renault,Sandero,2016,Nafta,5.0,Manual,1.6,Hatchback,74000.0,Asistida,Delantera,5.0,90.0,10000.0
Renault Sandero 1.6 Expression 90cv Abs,Ubicación no encontrada,1.6 Expression 90cv Abs,,Renault,Sandero,2013,Nafta,5.0,Manual,1.6,Hatchback,98000.0,Hidráulica,Delantera,5.0,90.0,7500.0
Renault Sandero 1.6 Privilege Pack 105cv,Bs.As. G.B.A. Sur,1.6 Privilege Pack 105cv,Plateado,Renault,Sandero,2018,Nafta/GNC,5.0,Manual,1.6,Hatchback,123900.0,Asistida,Delantera,5.0,105.0,9266.67
Renault Sandero 1.6 Dynamique 90cv Abs,Ubicación no encontrada,1.6 Dynamique 90cv Abs,,Renault,Sandero,2019,Nafta,5.0,Manual,1.6,Hatchback,72000.0,Asistida,Delantera,5.0,90.0,11000.0
Renault Sandero 1.6 Privilege Nav 105cv,Ubicación no encontrada,1.6 Privilege Nav 105cv,Gris,Renault,Sandero,2014,Nafta,5.0,Manual,1.6,Hatchback,92000.0,Hidráulica,Delantera,5.0,105.0,7000.0
Renault Sandero 1.6 16v Intense,Bs.As. G.B.A. Norte,1.6 16v Intense,Gris,Renault,Sandero,2022,Nafta,5.0,Manual,1.6,Hatchback,49000.0,Asistida,Delantera,5.0,115.0,13266.67
Renault Sandero 1.6 Privilege Nav 105cv,Córdoba,1.6 Privilege Nav 105cv,Rojo,Renault,Sandero,2015,Nafta,5.0,Manual,1.6,Hatchback,135000.0,Hidráulica,Delantera,5.0,105.0,7200.0
Renault Sandero 1.6 Gt Line 105cv,Capital Federal,1.6 Gt Line 105cv,Negro,Renault,Sandero,2014,Nafta,5.0,Manual,1.6,Hatchback,46000.0,Hidráulica,Delantera,5.0,105.0,9000.0
Renault Sandero 2.0 Rs 145cv,Bs.As. G.B.A. Norte,2.0 Rs 145cv,Negro,Renault,Sandero,2018,Nafta,5.0,Manual,2.0,Hatchback,120000.0,Asistida,Delantera,5.0,145.0,11900.0
Renault Sandero 2.0 Rs 145cv,Santa Fe,2.0 Rs 145cv,Negro,Renault,Sandero,2018,Nafta,5.0,Manual,2.0,Hatchback,54600.0,Asistida,Delantera,5.0,145.0,12500.0
"Renault Nuevo Sandero Rs 2,0 16v",Ubicación no encontrada,,Gris,Renault,Sandero,2016,Nafta,5.0,Manual,1.6,Hatchback,112007.0,Asistida,Delantera,5.0,90.0,10333.33
Renault Sandero 1.6 Authentique 90cv Nac,Ubicación no encontrada,1.6 Authentique 90cv Nac,Blanco,Renault,Sandero,2017,Nafta,5.0,Manual,1.6,Hatchback,65000.0,Asistida,Delantera,5.0,90.0,9000.0
Renault Sandero 1.6 16v Life,Bs.As. G.B.A. Norte,1.6 16v Life,,Renault,Sandero,2022,Nafta,5.0,Manual,1.6,Hatchback,8000.0,Asistida,Delantera,5.0,115.0,14000.0
Renault Sandero 2.0 Rs 145cv,Córdoba,2.0 Rs 145cv,Negro,Renault,Sandero,2020,Nafta,5.0,Manual,2.0,Hatchback,50000.0,Asistida,Delantera,5.0,145.0,13333.33
Renault Sandero 1.6 Privilege Pack 105cv,Ubicación no encontrada,1.6 Privilege Pack 105cv,Rojo,Renault,Sandero,2016,Nafta,5.0,Manual,1.6,Hatchback,62000.0,Asistida,Delantera,5.0,105.0,10900.0
