Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Fiat Siena 1.4 fire MPI 8v HP B,Capital Federal,1.4 fire MPI 8v HP B,,Fiat,Siena,2010,Nafta/GNC,4.0,Manual,1.4,Sedán,178000.0,Hidráulica,Delantera,5.0,82.0,5000.0
Fiat Siena Essence 1.6 16v Aut,Ubicación no encontrada,ESSENCE 1.6 16V AUT,,Fiat,Siena,2014,Nafta,4.0,Manual,1.4,Sedán,98000.0,Hidráulica,Delantera,5.0,82.0,6000.0
Fiat Siena 1.4 El Pack Attractive,Ubicación no encontrada,1.4 El Pack Attractive,,Fiat,Siena,2013,Nafta,4.0,Manual,1.4,Sedán,139000.0,Hidráulica,Delantera,5.0,82.0,6166.67
Fiat Siena 1.4 El Pack Seguridad,Bs.As. G.B.A. Norte,1.4 El Pack Seguridad,,Fiat,Siena,2013,Nafta,4.0,Manual,1.4,Sedán,70000.0,Hidráulica,Delantera,5.0,82.0,7500.0
Fiat Siena 1.4 El My 2015,Ubicación no encontrada,1.4 El My 2015,,Fiat,Siena,2015,Nafta,4.0,Manual,1.4,Sedán,140000.0,Hidráulica,Delantera,5.0,82.0,6000.0
Fiat Siena 1.3 Fire Gnc,Capital Federal,1.3 Fire Gnc,Negro,Fiat,Siena,2006,Nafta,4.0,Manual,1.3,Sedán,233708.0,Hidráulica,Delantera,5.0,82.0,3333.33
Fiat Siena 1.4 Attractive C/alarma Rstii,Córdoba,,Verde,Fiat,Siena,2011,Nafta,4.0,Manual,1.4,Sedán,177300.0,Hidráulica,Delantera,5.0,82.0,4800.0
Fiat Siena 1.4 El Pack Attractive,Bs.As. G.B.A. Oeste,1.4 El Pack Attractive,,Fiat,Siena,2012,Nafta,4.0,Manual,1.4,Sedán,155000.0,Hidráulica,Delantera,5.0,82.0,6500.0
Fiat Siena 1.7,Mendoza,1.7,,Fiat,Siena,2007,Diésel,4.0,Manual,1.7,Sedán,2000.0,Hidráulica,Delantera,5.0,72.0,4200.0
Fiat Siena 1.4 El My 2015,Buenos Aires Interior,1.4 El My 2015,Gris,Fiat,Siena,2015,Nafta,4.0,Manual,1.4,Sedán,150000.0,Hidráulica,Delantera,5.0,82.0,6700.0
