Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Fiat Toro 2.0 Freedom 4x2,Ubicación no encontrada,2.0 Freedom 4x2,Rojo,Fiat,Toro,2017,Diésel,4.0,Manual,2.0,Pick-Up,99000.0,Asistida,Delantera,5.0,170.0,12333.33
Fiat Toro 2.0 Volcano 4x4 At,Ubicación no encontrada,2.0 Volcano 4x4 At,Blanco,Fiat,Toro,2016,Diésel,4.0,Automática,2.0,Pick-Up,148000.0,Asistida,4x4,5.0,170.0,15593.33
Fiat Toro 1.8 Freedom,Entre Ríos,1.8 Freedom,Rojo,Fiat,Toro,2021,Nafta,4.0,Automática,1.8,Pick-Up,60000.0,Hidráulica,4x2,5.0,130.0,18500.0
Fiat Toro 2.0 Volcano 4x4 At,Santa Fe,2.0 Volcano 4x4 At,,Fiat,Toro,2017,Diésel,4.0,Automática,2.0,Pick-Up,135000.0,Asistida,4x4,5.0,170.0,13333.33
Fiat Toro 2.0 Volcano 4x4 At,Ubicación no encontrada,2.0 Volcano 4x4 At,,Fiat,Toro,2017,Diésel,4.0,Automática,2.0,Pick-Up,87000.0,Asistida,4x4,5.0,170.0,18500.0
Fiat Toro 1.8 Freedom,Entre Ríos,1.8 Freedom,Blanco,Fiat,Toro,2024,Nafta,4.0,Automática,1.8,Pick-Up,10000.0,Eléctrica,4x2,5.0,130.0,6868.67
Fiat Toro 1.3 270 Firefly Turbo Volcano 4x2 At,Ubicación no encontrada,1.3 270 Firefly Turbo Volcano 4x2 At,Negro,Fiat,Toro,2024,Nafta,4.0,Automática,1.3,Pick-Up,1000.0,Eléctrica,4x2,5.0,175.0,16200.0
Fiat Toro 2.0 Freedom 4x4,Córdoba,2.0 Freedom 4x4,Gris,Fiat,Toro,2017,Diésel,4.0,Manual,2.0,Pick-Up,92000.0,Asistida,4x4,5.0,170.0,16000.0
Fiat Toro 2.0 Volcano 4x4 At Pack Premium,Ubicación no encontrada,2.0 Volcano 4x4 At Pack Premium,Gris,Fiat,Toro,2020,Diésel,4.0,Automática,2.0,Pick-Up,29000.0,Eléctrica,4x4,5.0,170.0,21933.33
Fiat Toro 2.0 350 Multijet Ultra 4x4 At,Ubicación no encontrada,2.0 350 Multijet Ultra 4x4 At,Azul,Fiat,Toro,2022,Diésel,4.0,Automática,2.0,Pick-Up,38000.0,Asistida,4x4,5.0,170.0,27500.0
Fiat Toro 2.0 Freedom 4x4,Ubicación no encontrada,2.0 Freedom 4x4,Rojo,Fiat,Toro,2017,Diésel,4.0,Manual,2.0,Pick-Up,120000.0,Asistida,4x4,5.0,170.0,15000.0
Fiat Toro 2.0 Volcano 4x4 At,Bs.As. G.B.A. Sur,2.0 Volcano 4x4 At,,Fiat,Toro,2017,Diésel,4.0,Automática,2.0,Pick-Up,98000.0,Asistida,4x4,5.0,170.0,14666.67
Fiat Toro 1.8 Freedom,Ubicación no encontrada,1.8 Freedom,Azul,Fiat,Toro,2021,Nafta,4.0,Automática,1.8,Pick-Up,28000.0,Asistida,4x2,5.0,130.0,26000.0
