Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Tracker 1.2 Turbo At,Bs.As. G.B.A. Norte,1.2 Turbo At,,Chevrolet,Tracker,2023,Nafta,5.0,Automática,1.2,SUV,21500.0,Eléctrica,4x2,5.0,132.0,20000.0
Chevrolet Tracker 1.8 Ltz 140cv,Bs.As. G.B.A. Oeste,1.8 Ltz 140cv,Blanco,Chevrolet,Tracker,2016,Nafta,5.0,Automática,1.8,SUV,65000.0,Asistida,Integral,5.0,140.0,13500.0
Chevrolet Tracker 1.8 Ltz,Ubicación no encontrada,1.8 Ltz,,Chevrolet,Tracker,2018,Nafta,5.0,Manual,1.8,SUV,75000.0,Hidráulica,4x2,5.0,141.0,13500.0
Chevrolet Tracker 1.8 Ltz+ 140cv,Bs.As. G.B.A. Oeste,,,Chevrolet,Tracker,2018,Nafta,5.0,Automática,1.8,SUV,66000.0,Hidráulica,Integral,5.0,140.0,18000.0
Chevrolet Tracker 1.8 Ltz+ Awd At 140cv,Bs.As. G.B.A. Sur,,Rojo,Chevrolet,Tracker,2016,Nafta,5.0,Automática,1.8,SUV,114000.0,Asistida,Integral,5.0,140.0,13400.0
Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,Córdoba,1.8 Ltz Fwd Mt 140cv,,Chevrolet,Tracker,2015,Nafta,5.0,Manual,1.8,SUV,96000.0,Asistida,Delantera,5.0,140.0,11000.0
Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,Ubicación no encontrada,1.8 Ltz Fwd Mt 140cv,Rojo,Chevrolet,Tracker,2014,Nafta,5.0,Manual,1.8,SUV,119000.0,Asistida,Delantera,5.0,140.0,12000.0
Chevrolet Tracker 1.8 Ltz 140cv,Ubicación no encontrada,1.8 Ltz 140cv,Blanco,Chevrolet,Tracker,2017,Nafta,5.0,Automática,1.8,SUV,73000.0,Asistida,Integral,5.0,140.0,11666.67
Chevrolet Tracker 1.8 Ltz 140cv,Ubicación no encontrada,1.8 Ltz 140cv,,Chevrolet,Tracker,2019,Nafta,5.0,Automática,1.8,SUV,48000.0,Asistida,Integral,5.0,140.0,17500.0
Chevrolet Tracker 1.8 Ltz 140cv,Bs.As. G.B.A. Sur,1.8 Ltz 140cv,,Chevrolet,Tracker,2017,Nafta,5.0,Automática,1.8,SUV,124000.0,Asistida,Integral,5.0,140.0,15000.0
Chevrolet Tracker 1.8 Ltz,Bs.As. G.B.A. Oeste,1.8 Ltz,,Chevrolet,Tracker,2018,Nafta,5.0,Manual,1.8,SUV,81500.0,Hidráulica,4x2,5.0,141.0,15500.0
Chevrolet Tracker 1.8 Ltz Fwd Mt 140cv,Ubicación no encontrada,1.8 Ltz Fwd Mt 140cv,Plateado,Chevrolet,Tracker,2015,Nafta,5.0,Manual,1.8,SUV,95600.0,Asistida,Delantera,5.0,140.0,12700.0
Chevrolet Tracker 1.8 Ltz+ 140cv,Ubicación no encontrada,,Blanco,Chevrolet,Tracker,2017,Nafta,5.0,Automática,1.8,SUV,72000.0,Asistida,Integral,5.0,140.0,16200.0
