Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Honda Civic 1.8 Exs At,Ubicación no encontrada,1.8 Exs At,Gris,Honda,Civic,2010,Nafta,4.0,Automática,1.8,Sedán,168400.0,Hidráulica,Delantera,5.0,140.0,9900.0
Honda Civic 2.0 Ex-l 2017,Ubicación no encontrada,2.0 Ex-l 2017,Blanco,Honda,Civic,2018,Nafta,4.0,Automática,2.0,Sedán,116000.0,Eléctrica,Delantera,5.0,200.0,16466.67
Honda Civic 1.8 Exs Mt 140cv,Capital Federal,1.8 Exs Mt 140cv,Gris,Honda,Civic,2012,Nafta,4.0,Manual,1.8,Sedán,179000.0,Hidráulica,Delantera,5.0,140.0,10500.0
Honda Civic 1.8 Exs At 140cv,Bs.As. G.B.A. Sur,1.8 Exs At 140cv,Gris,Honda,Civic,2014,Nafta,4.0,Automática,1.8,Sedán,147000.0,Asistida,Delantera,5.0,140.0,13200.0
Honda Civic 1.8 Lxs Mt 140cv,Córdoba,1.8 Lxs Mt 140cv,Blanco,Honda,Civic,2013,Nafta,4.0,Manual,1.8,Sedán,54020.0,Hidráulica,Delantera,5.0,140.0,11500.0
Honda Civic 1.8 Lxs At 140cv,Ubicación no encontrada,1.8 Lxs At 140cv,,Honda,Civic,2013,Nafta,4.0,Automática,1.8,Sedán,135000.0,Hidráulica,Delantera,5.0,140.0,11000.0
Honda Civic 1.8 Exs,Ubicación no encontrada,1.8 Exs,Gris,Honda,Civic,2006,Nafta,4.0,Manual,1.8,Sedán,187000.0,Hidráulica,Delantera,5.0,140.0,5000.0
Honda Civic 1.5 Ex-t 2017,Córdoba,1.5 Ex-t 2017,,Honda,Civic,2017,Nafta,3.0,Automática,1.5,Hatchback,155000.0,Asistida,Delantera,5.0,102.0,22000.0
Honda Civic 1.6 Ex,Ubicación no encontrada,1.6 Ex,Plateado,Honda,Civic,1996,Nafta,4.0,Manual,1.6,Sedán,280000.0,,Delantera,5.0,160.0,6000.0
Honda Civic 1.8 Exs At 140cv,Bs.As. G.B.A. Norte,1.8 Exs At 140cv,,Honda,Civic,2012,Nafta,4.0,Automática,1.8,Sedán,149000.0,Hidráulica,Delantera,5.0,140.0,13000.0
Honda Civic 1.6 Coupe Si At,Capital Federal,1.6 Coupe Si At,Plateado,Honda,Civic,1993,Nafta,2.0,Automática,1.6,Coupé,181000.0,Hidráulica,Delantera,5.0,160.0,9999.0
Honda Civic 1.8 Exs At 140cv,Ubicación no encontrada,1.8 Exs At 140cv,Gris,Honda,Civic,2014,Nafta,4.0,Automática,1.8,Sedán,90000.0,Asistida,Delantera,5.0,140.0,12900.0
Honda Civic 1.8 Exs,Ubicación no encontrada,1.8 Exs,Gris,Honda,Civic,2006,Nafta,4.0,Manual,1.8,Sedán,180000.0,Hidráulica,Delantera,5.0,140.0,5000.0
Honda Civic 2.0 Ex-l 2017,Córdoba,2.0 Ex-l 2017,Blanco,Honda,Civic,2019,Nafta,4.0,Automática,2.0,Sedán,93000.0,Asistida,Delantera,5.0,200.0,21500.0
