Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Classic 1.4 Ls Abs Airbag,Buenos Aires Interior,1.4 Ls Abs Airbag,Gris,Chevrolet,Classic,2014,Nafta,4.0,Manual,1.4,Sedán,159500.0,Hidráulica,Delantera,5.0,92.0,6990.0
Chevrolet Classic 1.4 Lt Pack,Capital Federal,1.4 Lt Pack,Gris,Chevrolet,Classic,2010,Nafta,4.0,Manual,1.4,Sedán,129000.0,Hidráulica,Delantera,5.0,94.0,5000.0
Chevrolet Classic 1.4 Ls Abs Airbag,Ubicación no encontrada,1.4 Ls Abs Airbag,Gris,Chevrolet,Classic,2014,Nafta,4.0,Manual,1.4,Sedán,145000.0,Hidráulica,Delantera,5.0,92.0,4666.67
Chevrolet Classic 1.4 Ls Abs Airbag,Bs.As. G.B.A. Norte,1.4 Ls Abs Airbag,,Chevrolet,Classic,2015,Nafta,4.0,Manual,1.4,Sedán,134000.0,Hidráulica,Delantera,5.0,92.0,6500.0
Chevrolet Classic 1.4 Lt Spirit,Buenos Aires Interior,1.4 Lt Spirit,,Chevrolet,Classic,2012,Nafta,4.0,Manual,1.4,Sedán,296000.0,Hidráulica,Delantera,5.0,94.0,4000.0
Chevrolet Classic 1.4 Ls Abs Airbag,Buenos Aires Interior,1.4 Ls Abs Airbag,,Chevrolet,Classic,2016,Nafta,4.0,Manual,1.4,Sedán,200000.0,Hidráulica,Delantera,5.0,92.0,5333.33
Chevrolet Classic Classic 1.4 Nafta,Bs.As. G.B.A. Norte,Classic 1.4 Nafta,,Chevrolet,Classic,2009,Nafta,5.0,Manual,1.4,Sedán,158000.0,Hidráulica,Delantera,,,4500.0
Chevrolet Classic 1.4 Ls Abs Airbag,Bs.As. G.B.A. Sur,1.4 Ls Abs Airbag,,Chevrolet,Classic,2015,Nafta,4.0,Manual,1.4,Sedán,139000.0,Hidráulica,Delantera,5.0,92.0,3666.67
Chevrolet Classic 1.4 Ls Pack,Córdoba,1.4 Ls Pack,,Chevrolet,Classic,2010,Nafta,4.0,Manual,1.4,Sedán,121000.0,Hidráulica,Delantera,5.0,94.0,4500.0
Chevrolet Classic 1.4 Ls Abs Airbag,Ubicación no encontrada,1.4 Ls Abs Airbag,Blanco,Chevrolet,Classic,2014,Nafta,4.0,Manual,1.4,Sedán,83000.0,Hidráulica,Delantera,5.0,92.0,5950.0
