Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Renault Clio 1.2 Mio Confort Plus Abc,Ubicación no encontrada,1.2 Mio Confort Plus Abc,,Renault,Clio,2014,Nafta,5.0,Manual,1.2,Hatchback,114000.0,Hidráulica,Delantera,5.0,75.0,7500.0
Renault Clio 1.2 Mío Expression Pack I,Bs.As. G.B.A. Sur,1.2 Mío Expression Pack I,Plateado,Renault,Clio,2013,Nafta,3.0,Manual,1.2,Hatchback,129000.0,Hidráulica,Delantera,5.0,75.0,6700.0
Renault Clio 1.2 Pack,Capital Federal,1.2 Pack,Negro,Renault,Clio,2008,Nafta,3.0,Manual,1.2,Hatchback,166000.0,Hidráulica,Delantera,5.0,75.0,5000.0
Renault Clio 1.2 Mío Authentique Pack Look,Bs.As. G.B.A. Sur,1.2 Mío Authentique Pack Look,Blanco,Renault,Clio,2014,Nafta,3.0,Manual,1.2,Hatchback,180000.0,Hidráulica,Delantera,5.0,75.0,5800.0
Renault Clio 1.2 5 p,Santa Fe,1.2 5 p,,Renault,Clio,2007,Nafta,5.0,Manual,1.2,Hatchback,150000.0,Hidráulica,Delantera,5.0,75.0,4600.0
Renault Clio Clio Mío 5P Confort,Bs.As. G.B.A. Norte,Clio Mío 5P Confort,Negro,Renault,Clio,2015,Nafta,5.0,Manual,1.2,Sedán,106000.0,Asistida,Delantera,5.0,75.0,6900.0
Renault Clio 1.2 Campus Pack I 75cv,Capital Federal,1.2 Campus Pack I 75cv,,Renault,Clio,2012,Nafta,3.0,Manual,1.2,Hatchback,110000.0,Hidráulica,Delantera,5.0,75.0,6300.0
Renault Clio 1.2 Pack Plus,Ubicación no encontrada,1.2 Pack Plus,Gris,Renault,Clio,2008,Nafta,3.0,Manual,1.2,Hatchback,213000.0,Hidráulica,Delantera,5.0,75.0,4500.0
Renault Clio 1.2 Mio Dynamique,Capital Federal,1.2 Mio Dynamique,Negro,Renault,Clio,2016,Nafta,3.0,Manual,1.2,Hatchback,94500.0,Hidráulica,Delantera,5.0,75.0,7700.0
Renault Clio 1.2 3p pack,Bs.As. G.B.A. Norte,1.2 3p pack,Blanco,Renault,Clio,2014,Nafta,3.0,Manual,1.2,Hatchback,132000.0,Asistida,Delantera,5.0,75.0,5666.67
Renault Clio 1.2 Mío Expression Pack I,Córdoba,1.2 Mío Expression Pack I,Blanco,Renault,Clio,2013,Nafta,5.0,Manual,1.2,Hatchback,116000.0,Hidráulica,Delantera,5.0,75.0,6200.0
Renault Clio 1.2 Authentique Pack I 75cv,Bs.As. Costa Atlántica,1.2 Authentique Pack I 75cv,Azul,Renault,Clio,2012,Nafta,3.0,Manual,1.2,Hatchback,74000.0,Hidráulica,Delantera,5.0,75.0,7500.0
Renault Clio 1.2 Mío Expression Pack I,Ubicación no encontrada,1.2 Mío Expression Pack I,Blanco,Renault,Clio,2012,Nafta,5.0,Manual,1.2,Hatchback,191627.0,Hidráulica,Delantera,5.0,75.0,6066.67
Renault Clio 1.6 Confort,Ubicación no encontrada,1.6 Confort,Plateado,Renault,Clio,2006,Nafta,4.0,Manual,1.6,Sedán,130000.0,Hidráulica,Delantera,5.0,100.0,4600.0
Renault Clio 1.2 Mio Confort Pack,Buenos Aires Interior,1.2 Mio Confort Pack,Rojo,Renault,Clio,2016,Nafta,3.0,Manual,1.2,Hatchback,113000.0,Hidráulica,Delantera,5.0,75.0,7000.0
Renault Clio 1.2 Authentique Aa Da,Ubicación no encontrada,1.2 Authentique Aa Da,Azul,Renault,Clio,2007,Nafta,3.0,Manual,1.2,Hatchback,179800.0,Hidráulica,Delantera,5.0,75.0,4900.0
Renault Clio 1.2 Mío Expression Pack I,Neuquén,1.2 Mío Expression Pack I,,Renault,Clio,2013,Nafta,5.0,Manual,1.2,Hatchback,79000.0,Hidráulica,Delantera,5.0,75.0,8000.0
Renault Clio 1.2 Pack Plus,Bs.As. G.B.A. Oeste,1.2 Pack Plus,Plateado,Renault,Clio,2008,Nafta,3.0,Manual,1.2,Hatchback,154000.0,Hidráulica,Delantera,5.0,75.0,4700.0
Renault Clio 1.2 Mio Confort Plus Abs Abcp,Bs.As. G.B.A. Norte,1.2 Mio Confort Plus Abs Abcp,Gris,Renault,Clio,2015,Nafta,5.0,Manual,1.2,Hatchback,78000.0,Hidráulica,Delantera,5.0,75.0,8200.0
Renault Clio 1.2 F2 Authentique Aa,Bs.As. G.B.A. Norte,1.2 F2 Authentique Aa,,Renault,Clio,2004,Nafta,3.0,Manual,1.2,Hatchback,80600.0,Hidráulica,Delantera,5.0,75.0,4300.0
Renault Clio 1.6 Privilege,Buenos Aires Interior,1.6 Privilege,,Renault,Clio,2004,Nafta,5.0,Manual,1.6,Sedán,200000.0,Hidráulica,Delantera,5.0,100.0,2000.0
