Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Ford Ecosport 1.6 Se 110cv 4x2,Ubicación no encontrada,1.6 Se 110cv 4x2,Naranja,Ford,Ecosport,2013,Nafta,5.0,Manual,1.6,SUV,117000.0,Eléctrica,4x2,5.0,110.0,8666.67
Ford Ecosport 1.6 Se 110cv 4x2,Ubicación no encontrada,1.6 Se 110cv 4x2,Blanco,Ford,Ecosport,2017,Nafta,5.0,Manual,1.6,SUV,73000.0,Asistida,4x2,5.0,110.0,13000.0
Ford Ecosport 2.0 Se 143cv 4x2,Ubicación no encontrada,,,Ford,Ecosport,2013,Nafta,5.0,Manual,2.0,SUV,82000.0,Eléctrica,4x2,5.0,143.0,6400.0
Ford Ecosport 1.6 My10 Xl Plus Mp3 4x2,Ubicación no encontrada,1.6 My10 Xl Plus Mp3 4x2,Negro,Ford,Ecosport,2012,Nafta,5.0,Manual,1.6,SUV,144000.0,Hidráulica,Delantera,5.0,98.0,5666.67
Ford Ecosport 1.5 Se 123cv 4x2 Automática,Ubicación no encontrada,1.5 Se 123cv 4x2 Automática,,Ford,Ecosport,2018,Nafta,5.0,Automática,1.5,SUV,55000.0,Asistida,4x2,5.0,123.0,16800.0
Ford Ecosport 1.6 Se 110cv 4x2,Capital Federal,,,Ford,Ecosport,2015,Nafta,5.0,Manual,1.6,SUV,95000.0,Eléctrica,4x2,5.0,110.0,10500.0
Ford Ecosport 2.0 Titanium 143cv 4x2,Ubicación no encontrada,2.0 Titanium 143cv 4x2,Blanco,Ford,Ecosport,2013,Nafta,5.0,Manual,2.0,SUV,172000.0,electronic,4x2,5.0,110.0,9500.0
Ford Ecosport 1.5 FREESTYLE MT 4x2,Ubicación no encontrada,1.5 FREESTYLE MT 4x2,Silver,Ford,Ecosport,2019,Nafta,5.0,Manual,1.0,SUV,32383.0,Asistida,4x2,5.0,123.0,14020.0
Ford Ecosport 2.0 Se 143cv 4x2,Bs.As. Costa Atlántica,,,Ford,Ecosport,2015,Nafta,5.0,Manual,2.0,SUV,113000.0,Eléctrica,4x2,5.0,143.0,12900.0
Ford Ecosport 1.5 Freestyle 123cv 4x2,Ubicación no encontrada,1.5 Freestyle 123cv 4x2,Gris,Ford,Ecosport,2018,Nafta,5.0,Manual,1.5,SUV,70000.0,Asistida,4x2,5.0,123.0,16000.0
Ford Ecosport 1.6 Freestyle 110cv 4x2,Ubicación no encontrada,1.6 Freestyle 110cv 4x2,Blanco,Ford,Ecosport,2013,Nafta,5.0,Manual,1.6,SUV,114000.0,Eléctrica,4x2,5.0,110.0,8199.93
Ford Ecosport 1.6 Se 110cv 4x2,Ubicación no encontrada,1.6 Se 110cv 4x2,Negro,Ford,Ecosport,2013,Nafta,5.0,Manual,1.6,SUV,148000.0,Eléctrica,4x2,5.0,110.0,9333.33
Ford Ecosport 1.6 Titanium 110cv 4x2,Capital Federal,1.6 Titanium 110cv 4x2,Negro,Ford,Ecosport,2013,Nafta,5.0,Manual,1.6,SUV,142000.0,Eléctrica,4x2,5.0,110.0,10600.0
Ford Ecosport 1.5 Se 123cv 4x2 Manual,Bs.As. G.B.A. Norte,,,Ford,Ecosport,2020,Nafta,5.0,Manual,1.5,SUV,72000.0,Asistida,4x2,5.0,123.0,15500.0
Ford Ecosport 2.0 Titanium 143cv 4x2,Capital Federal,,,Ford,Ecosport,2015,Nafta,5.0,Manual,2.0,SUV,111759.0,Eléctrica,4x2,5.0,143.0,14000.0
Ford Ecosport 2.0 Titanium 143cv 4x2,Ubicación no encontrada,2.0 Titanium 143cv 4x2,Dorado,Ford,Ecosport,2014,Nafta,5.0,Manual,2.0,SUV,107000.0,Eléctrica,4x2,5.0,143.0,10533.33
Ford Ecosport 1.6 My10 Xls 4x2,Bs.As. G.B.A. Sur,,,Ford,Ecosport,2010,Nafta,5.0,Manual,1.6,SUV,218000.0,Hidráulica,Delantera,5.0,98.0,4866.67
Ford Ecosport 1.5 S Tdci 90cv 4x2,Ubicación no encontrada,1.5 S Tdci 90cv 4x2,Negro,Ford,Ecosport,2015,Diésel,5.0,Manual,1.5,SUV,94000.0,Eléctrica,4x2,5.0,90.0,9666.67
Ford Ecosport 2.0 My10 Xlt Plus 4x2,Ubicación no encontrada,2.0 My10 Xlt Plus 4x2,Negro,Ford,Ecosport,2012,Nafta,5.0,Manual,2.0,SUV,180000.0,Hidráulica,Delantera,5.0,143.0,7400.0
Ford Ecosport 1.5 Se 123cv 4x2,Ubicación no encontrada,,,Ford,Ecosport,2017,Nafta,5.0,Manual,1.5,SUV,76000.0,Asistida,4x2,5.0,123.0,13500.0
Ford Ecosport 1.6 Xl Plus,Ubicación no encontrada,1.6 Xl Plus,Azul,Ford,Ecosport,2007,Nafta,5.0,Manual,1.6,SUV,130000.0,Hidráulica,DelanteraTipo de bateríaÁcido en gelCapacidad de la batería66 AhTiempo de carga666 hTipo de cargador666Autonomia de la batería666 km,5.0,98.0,6000.0
Ford Ecosport 1.5 Se 123cv 4x2,Ubicación no encontrada,1.5 Se 123cv 4x2,Blanco,Ford,Ecosport,2018,Nafta,5.0,Manual,1.5,SUV,88000.0,Asistida,4x2,5.0,123.0,12256.67
Ford Ecosport 2.0 Titanium 143cv 4x2,Ubicación no encontrada,,,Ford,Ecosport,2014,Nafta,5.0,Manual,2.0,SUV,93000.0,Eléctrica,4x2,5.0,143.0,11000.0
Ford Ecosport 1.4 Turbo Diesel,Mendoza,,,Ford,Ecosport,2008,Diésel,4.0,Manual,1.6,SUV,260000.0,Hidráulica,4x2,5.0,98.0,4333.33
Ford Ecosport 2.0 Titanium Powershift 4x2 Dps6,Ubicación no encontrada,2.0 Titanium Powershift 4x2 Dps6,Gris,Ford,Ecosport,2014,Nafta,5.0,Automática,2.0,SUV,116000.0,Asistida,4x2,5.0,143.0,12000.0
Ford Ecosport 1.6 Se 110cv 4x2,Bs.As. G.B.A. Norte,1.6 Se 110cv 4x2,Rojo,Ford,Ecosport,2015,Nafta,5.0,Manual,1.6,SUV,115000.0,Eléctrica,4x2,5.0,110.0,11999.0
Ford Ecosport 1.6 S 110cv 4x2,Bs.As. G.B.A. Norte,,,Ford,Ecosport,2013,Nafta,5.0,Manual,1.6,SUV,106000.0,Eléctrica,4x2,5.0,110.0,8000.0
Ford Ecosport 1.6 Titanium 110cv 4x2,Bs.As. G.B.A. Oeste,1.6 Titanium 110cv 4x2,Rojo,Ford,Ecosport,2014,Nafta,5.0,Manual,1.6,SUV,75000.0,Eléctrica,4x2Tipo de bateríaÁcido en gelCapacidad de la batería55 Ah,5.0,110.0,10500.0
Ford Ecosport 2.0 Titanium Powershift 4x2 Dps6,Córdoba,2.0 Titanium Powershift 4x2 Dps6,Naranja,Ford,Ecosport,2014,Nafta,5.0,Automática,2.0,SUV,78000.0,Eléctrica,4x2,5.0,143.0,14800.0
Ford Ecosport 1.6 Xls Mp3 4x2,Bs.As. G.B.A. Norte,1.6 Xls Mp3 4x2,Gris,Ford,Ecosport,2008,Nafta,5.0,Manual,1.6,SUV,141000.0,Hidráulica,4x2,5.0,98.0,7600.0
Ford Ecosport 1.6 Freestyle 110cv 4x2,Ubicación no encontrada,1.6 Freestyle 110cv 4x2,Naranja,Ford,Ecosport,2014,Nafta,5.0,Manual,1.6,SUV,263000.0,Eléctrica,4x2,5.0,110.0,11000.0
Ford Ecosport 2.0 Titanium Powershift 4x2 Dps6,Ubicación no encontrada,2.0 Titanium Powershift 4x2 Dps6,Blanco,Ford,Ecosport,2015,Nafta,5.0,Automática,2.0,SUV,98000.0,Asistida,4x2,5.0,143.0,9866.6
Ford Ecosport 1.6 Xls Gnc,Bs.As. G.B.A. Sur,,,Ford,Ecosport,2005,Nafta,5.0,Manual,1.6,SUV,167000.0,Hidráulica,Delantera,5.0,98.0,7500.0
