Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Peugeot 208 1.5 Allure Touchscreen,Bs.As. G.B.A. Oeste,1.5 Allure Touchscreen,,Peugeot,208,2015,Nafta,5.0,Manual,1.5,Hatchback,74000.0,Hidráulica,Delantera,5.0,90.0,9000.0
Peugeot 208 1.6 Feline Tiptronic,Buenos Aires Interior,1.6 Feline Tiptronic,,Peugeot,208,2022,Nafta,5.0,Automática,1.6,Hatchback,65000.0,Asistida,Delantera,5.0,115.0,18000.0
Peugeot 208 1.6l Feline Tiptronic,Ubicación no encontrada,1.6l Feline Tiptronic,,Peugeot,208,2023,Nafta,5.0,Automática,1.6,Hatchback,7500.0,Asistida,Delantera,5.0,115.0,15266.67
Peugeot 208 1.6 Allure Tiptronic,Capital Federal,1.6 Allure Tiptronic,Blanco,Peugeot,208,2021,Nafta,5.0,Automática,1.6,Hatchback,25000.0,Asistida,Delantera,5.0,115.0,17900.0
Peugeot 208 1.6 Feline Tiptronic,Ubicación no encontrada,1.6 Feline Tiptronic,Azul,Peugeot,208,2021,Nafta,5.0,Automática,1.6,Hatchback,69000.0,Asistida,Delantera,5.0,115.0,10000.0
Peugeot 208 1.6l Active Pack,Ubicación no encontrada,1.6l Active Pack,Gris,Peugeot,208,2023,Nafta,5.0,Manual,1.6,Hatchback,18000.0,Asistida,Delantera,5.0,115.0,19990.0
Peugeot 208 1.6 Allure Nav Tiptronic,Capital Federal,1.6 Allure Nav Tiptronic,,Peugeot,208,2017,Nafta,5.0,Automática,1.6,Hatchback,90000.0,Hidráulica,Delantera,5.0,115.0,11000.0
Peugeot 208 1.6 Feline Tiptronic,Ubicación no encontrada,1.6 Feline Tiptronic,,Peugeot,208,2018,Nafta,5.0,Automática,1.6,Hatchback,65000.0,Asistida,Delantera,5.0,115.0,12000.0
Peugeot 208 1.6 Active Tiptronic,Bs.As. G.B.A. Norte,1.6 Active Tiptronic,,Peugeot,208,2022,Nafta,5.0,Automática,1.6,Hatchback,89000.0,Asistida,Delantera,5.0,115.0,16500.0
Peugeot 208 1.6 Active Tiptronic,Ubicación no encontrada,1.6 Active Tiptronic,Blanco,Peugeot,208,2021,Nafta,5.0,Automática,1.6,Hatchback,53500.0,Asistida,Delantera,5.0,115.0,12700.4
Peugeot 208 1.6 Feline Tiptronic,Ubicación no encontrada,1.6 Feline Tiptronic,Azul,Peugeot,208,2023,Nafta,5.0,Automática,1.6,Hatchback,23760.0,Asistida,Delantera,5.0,115.0,18000.0
Peugeot 208 1.6 Allure,Ubicación no encontrada,1.6 Allure,Blanco,Peugeot,208,2020,Nafta,5.0,Manual,1.6,Hatchback,40000.0,Asistida,Delantera,5.0,115.0,11000.0
Peugeot 208 1.6 Feline Tiptronic,Ubicación no encontrada,1.6 Feline Tiptronic,Blanco,Peugeot,208,2019,Nafta,5.0,Automática,1.6,Hatchback,59000.0,electronic,Delantera,5.0,115.0,15500.0
Peugeot 208 1.6 Feline,Bs.As. G.B.A. Oeste,1.6 Feline,,Peugeot,208,2015,Nafta,5.0,Manual,1.6,Hatchback,106000.0,Eléctrica,Delantera,5.0,115.0,10500.0
Peugeot 208 1.6 Allure,Ubicación no encontrada,1.6 Allure,,Peugeot,208,2022,Nafta,5.0,Manual,1.6,Hatchback,17000.0,Asistida,Delantera,5.0,115.0,17000.0
Peugeot 208 1.6 Active Pack Tiptronic,Ubicación no encontrada,1.6 Active Pack Tiptronic,Negro,Peugeot,208,2024,Nafta,5.0,Automática,1.6,Hatchback,1500.0,Asistida,Delantera,5.0,115.0,17000.0
Peugeot 208 1.6 ACTIVE PACK MT,Ubicación no encontrada,1.6 ACTIVE PACK MT,White,Peugeot,208,2023,Híbrido,5.0,Manual,1.0,Hatchback,7479.0,Asistida,4x2,5.0,115.0,14060.0
Peugeot 208 1.6 Gt Thp,Capital Federal,1.6 Gt Thp,,Peugeot,208,2016,Nafta,5.0,Manual,1.6,Hatchback,55000.0,Hidráulica,Delantera,5.0,165.0,15000.0
Peugeot 208 1.6 Allure Touchscreen,Bs.As. G.B.A. Norte,1.6 Allure Touchscreen,Rojo,Peugeot,208,2016,Nafta,5.0,Manual,1.6,Hatchback,90000.0,Eléctrica,Delantera,5.0,115.0,12000.0
Peugeot 208 1.6 Active,Ubicación no encontrada,1.6 Active,blue,Peugeot,208,2022,Nafta,5.0,Manual,1.6,Hatchback,41500.0,assisted,Delantera,5.0,115.0,12333.33
Peugeot 208 1.5 Active,Bs.As. G.B.A. Oeste,1.5 Active,,Peugeot,208,2016,Nafta,5.0,Manual,1.5,Hatchback,75000.0,Eléctrica,Delantera,5.0,90.0,9500.0
Peugeot 208 1.6 Allure,Ubicación no encontrada,1.6 Allure,,Peugeot,208,2019,Nafta,5.0,Manual,1.6,Hatchback,29000.0,Asistida,Delantera,5.0,115.0,13690.0
Peugeot 208 1.6 Gt Thp,Bs.As. G.B.A. Norte,1.6 Gt Thp,,Peugeot,208,2017,Nafta,5.0,Manual,1.6,Hatchback,130000.0,Hidráulica,Delantera,5.0,165.0,12000.0
Peugeot 208 1.6 Feline,Bs.As. G.B.A. Sur,1.6 Feline,Negro,Peugeot,208,2018,Nafta,5.0,Manual,1.6,Hatchback,61000.0,Asistida,Delantera,5.0,115.0,10666.67
Peugeot 208 1.6 Active,Ubicación no encontrada,1.6 Active,,Peugeot,208,2021,Nafta,5.0,Manual,1.6,Hatchback,24000.0,Asistida,Delantera,5.0,115.0,12533.33
Peugeot 208 1.6 Gt Thp,Capital Federal,1.6 Gt Thp,Gris,Peugeot,208,2018,Nafta,5.0,Manual,1.6,Hatchback,49000.0,Asistida,Delantera,5.0,165.0,14999.0
Peugeot 208 1.6 Allure Mt,Ubicación no encontrada,1.6 Allure Mt,White,Peugeot,208,2017,Nafta,5.0,Manual,1.0,Hatchback,53831.0,Asistida,4x2,5.0,115.0,9893.33
Peugeot 208 1.6 Allure Touchscreen,Ubicación no encontrada,1.6 Allure Touchscreen,Rojo,Peugeot,208,2016,Nafta,5.0,Manual,1.6,Hatchback,115295.0,Eléctrica,Delantera,5.0,115.0,9493.33
Peugeot 208 1.5 Active,Ubicación no encontrada,1.5 Active,Blanco,Peugeot,208,2015,Nafta,5.0,Manual,1.5,Hatchback,115000.0,Eléctrica,Delantera,5.0,90.0,10200.0
Peugeot 208 1.6 Gt Thp,Bs.As. G.B.A. Oeste,1.6 Gt Thp,,Peugeot,208,2019,Nafta,5.0,Manual,1.6,Hatchback,46000.0,Asistida,Delantera,5.0,165.0,16500.0
Peugeot 208 1.6 Style Tiptronic,Ubicación no encontrada,1.6 Style Tiptronic,Black,Peugeot,208,2024,Nafta,5.0,Automático,1.0,Hatchback,1000.0,Asistida,4x2,5.0,115.0,14920.0
Peugeot 208 1.6 Feline Pack Cuir,Ubicación no encontrada,1.6 Feline Pack Cuir,Blanco,Peugeot,208,2016,Nafta,5.0,Manual,1.6,Hatchback,82500.0,Eléctrica,Delantera,5.0,115.0,11300.0
Peugeot 208 1.6 Active,Santa Fe,1.6 Active,,Peugeot,208,2022,Nafta,5.0,Manual,1.6,Hatchback,30000.0,Asistida,Delantera,5.0,115.0,10500.0
Peugeot 208 1.6 Feline Tiptronic,Capital Federal,1.6 Feline Tiptronic,,Peugeot,208,2022,Nafta,5.0,Automática,1.6,Hatchback,43500.0,Asistida,Delantera,5.0,115.0,9000.0
Peugeot 208 1.6 Feline Pack Cuir,Capital Federal,1.6 Feline Pack Cuir,Blanco,Peugeot,208,2016,Nafta,5.0,Manual,1.6,Hatchback,45000.0,Eléctrica,Delantera,5.0,115.0,13500.0
Peugeot 208 1.6 Active,Bs.As. G.B.A. Sur,1.6 Active,Gris,Peugeot,208,2017,Nafta,5.0,Manual,1.6,Hatchback,78000.0,Eléctrica,Delantera,5.0,115.0,10500.0
Peugeot 208 1.2t Gt,Bs.As. G.B.A. Sur,1.2t Gt,,Peugeot,208,2021,Nafta,5.0,Manual,1.2,Hatchback,37000.0,Asistida,Delantera,5.0,130.0,26000.0
Peugeot 208 1.6 Active,Ubicación no encontrada,1.6 Active,Blanco,Peugeot,208,2018,Nafta,5.0,Manual,1.6,Hatchback,60000.0,Asistida,Delantera,5.0,115.0,11500.0
Peugeot 208 1.6 Feline Pack Cuir,Bs.As. G.B.A. Oeste,1.6 Feline Pack Cuir,,Peugeot,208,2015,Nafta,5.0,Manual,1.6,Hatchback,83000.0,Eléctrica,Delantera,5.0,115.0,11000.0
Peugeot 208 1.6 Gt Thp,Mendoza,1.6 Gt Thp,Blanco,Peugeot,208,2016,Nafta,5.0,Manual,1.6,Hatchback,91000.0,Hidráulica,Delantera,5.0,165.0,13000.0
Peugeot 208 1.6 Style Tiptronic,Bs.As. G.B.A. Oeste,1.6 Style Tiptronic,Gris,Peugeot,208,2024,Nafta,5.0,Automática,1.6,Hatchback,1600.0,Hidráulica,Delantera,5.0,115.0,16500.0
Peugeot 208 1.6 Active,Bs.As. G.B.A. Sur,1.6 Active,Gris,Peugeot,208,2020,Nafta,5.0,Manual,1.6,Hatchback,34000.0,Asistida,Delantera,5.0,115.0,16600.0
