Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Volkswagen Amarok 3.0 V6 Cd Comfortline,Ubicación no encontrada,3.0 V6 Cd Comfortline,Blanco,Volkswagen,Amarok,2021,Diésel,4.0,Automática,3.0,Pick-Up,49674.0,Hidráulica,4x4,5.0,224.0,24000.0
Volkswagen Amarok 3.0 V6 Extreme,Bs.As. G.B.A. Norte,,,Volkswagen,Amarok,2018,Diésel,4.0,Automática,3.0,Pick-Up,75500.0,Hidráulica,4x4,5.0,224.0,36500.0
Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,Capital Federal,,,Volkswagen,Amarok,2022,Diésel,4.0,Manual,2.0,Pick-Up,15000.0,Hidráulica,4x2,5.0,140.0,21500.0
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Trendline B33,Bs.As. G.B.A. Oeste,2.0 Cd Tdi 180cv 4x2 Trendline B33,Blanco,Volkswagen,Amarok,2013,Diésel,4.0,Manual,2.0,Pick-Up,204000.0,Hidráulica,4x2,5.0,180.0,16000.0
Volkswagen Amarok 3.0 V6 Extreme,Ubicación no encontrada,3.0 V6 Extreme,Azul,Volkswagen,Amarok,2023,Diésel,4.0,Automática,3.0,Pick-Up,20000.0,Hidráulica,4x4,5.0,224.0,44800.0
Volkswagen Amarok 3.0 V6 Extreme,Ubicación no encontrada,3.0 V6 Extreme,Gris,Volkswagen,Amarok,2018,Diésel,4.0,Automática,3.0,Pick-Up,120000.0,Hidráulica,4x4,5.0,224.0,29000.0
Volkswagen Amarok 2.0 Cd Tdi 140cv 4x2 Startline,Ubicación no encontrada,2.0 Cd Tdi 140cv 4x2 Startline,Gris,Volkswagen,Amarok,2014,Diésel,4.0,Manual,2.0,Pick-Up,176100.0,Hidráulica,4x2,5.0,122.0,11633.33
Volkswagen Amarok 3.0 V6 Cd Comfortline,Ubicación no encontrada,3.0 V6 Cd Comfortline,Gris,Volkswagen,Amarok,2023,Diésel,4.0,Automática,3.0,Pick-Up,1000.0,Hidráulica,4x4,5.0,224.0,36900.0
Volkswagen Amarok 3.0 V6 Cd Highline,Ubicación no encontrada,,,Volkswagen,Amarok,2021,Diésel,4.0,Automática,3.0,Pick-Up,48000.0,Hidráulica,4x4,5.0,224.0,39000.0
Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,Córdoba,,,Volkswagen,Amarok,2019,Diésel,4.0,Automática,2.0,Pick-Up,94000.0,Hidráulica,4x2,5.0,180.0,23000.0
Volkswagen Amarok 3.0 V6 Extreme,Ubicación no encontrada,3.0 V6 Extreme,Gris,Volkswagen,Amarok,2021,Diésel,4.0,Automática,3.0,Pick-Up,14000.0,Hidráulica,4x4,5.0,224.0,37600.0
