Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Toyota Corolla Cross 1.8 Xei Ecvt,Capital Federal,1.8 Xei Ecvt,Blanco,Toyota,Corolla Cross,2023,Híbrido/Nafta,5.0,Automática,1.8,SUV,3731.0,Eléctrica,4x2,5.0,98.0,32990.0
Toyota Corolla Cross 2.0 Xli Cvt,Capital Federal,2.0 Xli Cvt,,Toyota,Corolla Cross,2022,Nafta,5.0,Automática,2.0,SUV,18000.0,Eléctrica,4x2,5.0,170.0,25000.0
Toyota Corolla Cross 2.0 Grs Cvt 170cv,Córdoba,2.0 Grs Cvt 170cv,,Toyota,Corolla Cross,2023,Nafta,5.0,Automática,2.0,SUV,2600.0,Eléctrica,4x2,5.0,170.0,32000.0
Toyota Corolla Cross 1.8 Xei Ecvt,Córdoba,1.8 Xei Ecvt,,Toyota,Corolla Cross,2023,Híbrido/Nafta,5.0,Automática,1.8,SUV,1500.0,Eléctrica,4x2,5.0,98.0,35900.0
Toyota Corolla Cross 2.0 Xei Cvt,Córdoba,2.0 Xei Cvt,,Toyota,Corolla Cross,2024,Nafta,5.0,Automática,2.0,SUV,6000.0,Eléctrica,4x2,5.0,170.0,31000.0
Toyota Corolla Cross 2.0 Xli Cvt,Bs.As. G.B.A. Sur,2.0 Xli Cvt,Plateado,Toyota,Corolla Cross,2024,Nafta,5.0,Automática,2.0,SUV,1500.0,Eléctrica,4x2,5.0,170.0,24000.0
Toyota Corolla Cross 1.8 Seg Ecvt,Córdoba,1.8 Seg Ecvt,,Toyota,Corolla Cross,2023,Híbrido/Nafta,5.0,Automática,1.8,SUV,16000.0,Eléctrica,4x2,5.0,98.0,26666.67
Toyota Corolla Cross 1.8 Seg Ecvt,Ubicación no encontrada,1.8 Seg Ecvt,Negro,Toyota,Corolla Cross,2022,Híbrido/Nafta,5.0,Automática,1.8,SUV,8300.0,Eléctrica,4x2,5.0,98.0,35000.0
Toyota Corolla Cross 2.0 Xli Cvt,Ubicación no encontrada,2.0 Xli Cvt,Blanco,Toyota,Corolla Cross,2024,Nafta,5.0,Automática,2.0,SUV,500.0,Eléctrica,4x2,5.0,170.0,26333.33
Toyota Corolla Cross 2.0 Xli Cvt,Córdoba,2.0 Xli Cvt,,Toyota,Corolla Cross,2023,Nafta,5.0,Automática,2.0,SUV,23911.0,Eléctrica,4x2,5.0,170.0,21333.33
Toyota Corolla Cross 1.8 Xei Ecvt,Capital Federal,1.8 Xei Ecvt,Blanco,Toyota,Corolla Cross,2022,Híbrido/Nafta,5.0,Automática,1.8,SUV,14000.0,Eléctrica,4x2,5.0,98.0,31000.0
Toyota Corolla Cross SEG,Bs.As. G.B.A. Sur,SEG,Gris,Toyota,Corolla Cross,2024,Nafta,5.0,Automática,2.0,SUV,501.0,Asistida,Delantera,5.0,170.0,34900.0
Toyota Corolla Cross 1.8 Xei Ecvt,Buenos Aires Interior,1.8 Xei Ecvt,,Toyota,Corolla Cross,2023,Híbrido/Nafta,5.0,Automática,1.8,SUV,16000.0,Eléctrica,4x2,5.0,98.0,27900.0
Toyota Corolla Cross 2.0 Xli Cvt,Ubicación no encontrada,2.0 Xli Cvt,Blanco,Toyota,Corolla Cross,2022,Nafta,5.0,Automática,2.0,SUV,40000.0,Eléctrica,4x2,5.0,170.0,20000.0
Toyota Corolla Cross 2.0 Xei Cvt,Capital Federal,2.0 Xei Cvt,Blanco,Toyota,Corolla Cross,2023,Nafta,5.0,Automática,2.0,SUV,3700.0,Eléctrica,4x2,5.0,170.0,29200.0
Toyota Corolla Cross 1.8 Seg Ecvt,Ubicación no encontrada,1.8 Seg Ecvt,Gris,Toyota,Corolla Cross,2024,Híbrido/Nafta,5.0,Automática,1.8,SUV,1500.0,Eléctrica,4x2,5.0,98.0,38500.0
Toyota Corolla Cross 1.8 Xei Ecvt,Capital Federal,1.8 Xei Ecvt,,Toyota,Corolla Cross,2023,Híbrido/Nafta,5.0,Automática,1.8,SUV,5900.0,Eléctrica,4x2,5.0,98.0,31900.0
Toyota Corolla Cross 2.0 Seg Cvt,Ubicación no encontrada,2.0 Seg Cvt,,Toyota,Corolla Cross,2023,Nafta,5.0,Automática,2.0,SUV,21000.0,Eléctrica,4x2,5.0,170.0,34500.0
