Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Fiat Fiorino 1.3 Fire,Buenos Aires Interior,1.3 Fire,Blanco,Fiat,Fiorino,2010,Nafta,3.0,Manual,1.3,Furgón,230000.0,Mecánica,Delantera,2.0,68.0,5600.0
Fiat Fiorino 1.3 Fire,Bs.As. G.B.A. Oeste,1.3 Fire,,Fiat,Fiorino,2013,Nafta,3.0,Manual,1.3,Furgón,125000.0,Mecánica,Delantera,2.0,68.0,8300.0
Fiat Fiorino 1.4 Fire Evo 87cv,Bs.As. G.B.A. Oeste,1.4 Fire Evo 87cv,,Fiat,Fiorino,2016,Nafta,3.0,Manual,1.4,Furgón,111111.0,Hidráulica,Delantera,2.0,87.0,6000.0
Fiat Fiorino 1.4 Fire Evo 87cv,Ubicación no encontrada,1.4 Fire Evo 87cv,Blanco,Fiat,Fiorino,2018,Nafta,3.0,Manual,1.4,Furgón,60000.0,Hidráulica,Delantera,2.0,87.0,10500.0
Fiat Fiorino 1.4 Fire Evo 87cv,Entre Ríos,1.4 Fire Evo 87cv,Blanco,Fiat,Fiorino,2017,Nafta,3.0,Manual,1.4,Furgón,60000.0,Hidráulica,Delantera,2.0,87.0,11000.0
Fiat Fiorino 1.7 D,Bs.As. G.B.A. Oeste,1.7 D,Blanco,Fiat,Fiorino,1999,Diésel,3.0,Manual,1.7,Furgón,250000.0,,Delantera,2.0,58.0,2533.33
Fiat Fiorino 1.3 Gnc,Buenos Aires Interior,1.3 Gnc,Blanco,Fiat,Fiorino,2005,Nafta,3.0,Manual,1.3,Furgón,300000.0,Asistida,Delantera,2.0,68.0,3866.67
Fiat Fiorino 1.4 Fire Evo Pack Top 87cv,Capital Federal,1.4 Fire Evo Pack Top 87cv,Blanco,Fiat,Fiorino,2017,Nafta,3.0,Manual,1.4,Furgón,92000.0,Hidráulica,Delantera,2.0,87.0,15200.0
Fiat Fiorino  Fire Con Aire Y Dir.,Capital Federal,Fire Con Aire y Dir.,,Fiat,Fiorino,2013,Nafta,3.0,Manual,1.3,Furgón,164000.0,Mecánica,Delantera,2.0,68.0,5666.67
Fiat Fiorino 1.4 Fire Evo 87cv,Bs.As. G.B.A. Sur,1.4 Fire Evo 87cv,,Fiat,Fiorino,2016,Nafta,3.0,Manual,1.4,Furgón,164000.0,Hidráulica,Delantera,2.0,87.0,8200.0
Fiat Fiorino 1.4 Fire Evo 87cv,Ubicación no encontrada,1.4 Fire Evo 87cv,Blanco,Fiat,Fiorino,2021,Nafta,3.0,Manual,1.4,Furgón,78000.0,Hidráulica,Delantera,2.0,87.0,16500.0
Fiat Fiorino 1.4 Fire Evo 87cv,Bs.As. G.B.A. Sur,1.4 Fire Evo 87cv,,Fiat,Fiorino,2018,Nafta,3.0,Manual,1.4,Furgón,17500.0,Hidráulica,Delantera,2.0,87.0,11666.67
Fiat Fiorino 1.3 Fire,Buenos Aires Interior,1.3 Fire,,Fiat,Fiorino,2008,Nafta/GNC,3.0,Manual,1.7,Furgón,1890.0,Mecánica,Delantera,2.0,72.0,4333.33
Fiat Fiorino 1.4 Fire Evo 87cv,Bs.As. G.B.A. Norte,1.4 Fire Evo 87cv,,Fiat,Fiorino,2017,Nafta,3.0,Manual,1.4,Furgón,115000.0,Hidráulica,Delantera,2.0,87.0,9000.0
Fiat Fiorino 1.4 Fire Evo 87cv,Bs.As. Costa Atlántica,1.4 Fire Evo 87cv,Blanco,Fiat,Fiorino,2016,Nafta,3.0,Manual,1.4,Furgón,75000.0,Hidráulica,Delantera,2.0,87.0,7333.33
Fiat Fiorino 1.3 Fire,Ubicación no encontrada,1.3 Fire,Rojo,Fiat,Fiorino,2011,Nafta/GNC,3.0,Manual,1.3,Furgón,160000.0,Mecánica,Delantera,2.0,68.0,7000.0
Fiat Fiorino 1.3 Fire,Bs.As. G.B.A. Sur,1.3 Fire,,Fiat,Fiorino,2011,Nafta,3.0,Manual,1.3,Furgón,228000.0,Mecánica,Delantera,2.0,68.0,6500.0
Fiat Fiorino 1.4 Fire Evo 87cv,Ubicación no encontrada,1.4 Fire Evo 87cv,,Fiat,Fiorino,2019,Nafta,3.0,Manual,1.4,Furgón,158000.0,Hidráulica,Delantera,2.0,87.0,9600.0
Fiat Fiorino 1.3 Fire,Bs.As. G.B.A. Sur,1.3 Fire,,Fiat,Fiorino,2013,Nafta,3.0,Manual,1.3,Furgón,104000.0,Mecánica,Delantera,2.0,68.0,6800.0
Fiat Fiorino 1.4 Fire Evo Pack Top 87cv,Bs.As. G.B.A. Norte,1.4 Fire Evo Pack Top 87cv,Blanco,Fiat,Fiorino,2017,Nafta/GNC,3.0,Manual,1.4,Furgón,130000.0,Hidráulica,Delantera,2.0,87.0,8000.0
Fiat Fiorino 1.4 Fire Evo 87cv,Ubicación no encontrada,1.4 Fire Evo 87cv,Blanco,Fiat,Fiorino,2019,Nafta,3.0,Manual,1.4,Furgón,79000.0,Hidráulica,Delantera,2.0,87.0,10800.0
Fiat Fiorino 1.4 Fire Evo 87cv,Ubicación no encontrada,1.4 Fire Evo 87cv,Rojo,Fiat,Fiorino,2019,Nafta,3.0,Manual,1.4,Furgón,95000.0,Hidráulica,Delantera,2.0,87.0,10633.33
Fiat Fiorino 1.3 Fire,Bs.As. G.B.A. Oeste,1.3 Fire,,Fiat,Fiorino,2011,Nafta,3.0,Manual,1.3,Furgón,170000.0,Mecánica,Delantera,2.0,68.0,7500.0
Fiat Fiorino 1.3 Fire,Bs.As. G.B.A. Sur,1.3 Fire,,Fiat,Fiorino,2014,Nafta,3.0,Manual,1.3,Furgón,70250.0,Mecánica,Delantera,2.0,68.0,8800.0
