Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Honda HR-V 1.8 Lx 2wd Cvt,Ubicación no encontrada,1.8 Lx 2wd Cvt,Gris,Honda,HR-V,2017,Nafta,5.0,Automática,1.8,SUV,108000.0,Eléctrica,4x2,5.0,140.0,16898.0
Honda HR-V 1.8 Lx 2wd Cvt,Bs.As. G.B.A. Norte,1.8 Lx 2wd Cvt,,Honda,HR-V,2018,Nafta,5.0,Automática,1.8,SUV,91000.0,Eléctrica,4x2,5.0,140.0,19000.0
Honda HR-V EX CVT,Ubicación no encontrada,EX CVT,Gris,Honda,HR-V,2020,Nafta,5.0,Automática,1.8,SUV,95190.0,Eléctrica,4x2,5.0,140.0,18333.33
Honda HR-V 1.8 Ex-l 2wd Cvt,Entre Ríos,1.8 Ex-l 2wd Cvt,,Honda,HR-V,2017,Nafta,5.0,Automática,1.8,SUV,125000.0,Eléctrica,4x2,5.0,140.0,19000.0
Honda HR-V 1.8 Ex 2wd Cvt,Bs.As. G.B.A. Norte,1.8 Ex 2wd Cvt,,Honda,HR-V,2017,Nafta,5.0,Automática,1.8,SUV,138000.0,Eléctrica,4x2,5.0,140.0,17900.0
Honda HR-V 1.8 Ex 2wd Cvt,Ubicación no encontrada,1.8 Ex 2wd Cvt,Blanco,Honda,HR-V,2022,Nafta,5.0,Automática,1.8,SUV,43000.0,Eléctrica,4x2,5.0,140.0,26590.0
Honda HR-V 1.8 Ex 2wd Cvt,Capital Federal,1.8 Ex 2wd Cvt,,Honda,HR-V,2022,Nafta,5.0,Automática,1.8,SUV,40000.0,Eléctrica,4x2,5.0,140.0,27500.0
Honda HR-V 1.8 Lx 2wd Cvt,Ubicación no encontrada,1.8 Lx 2wd Cvt,Blanco,Honda,HR-V,2017,Nafta,5.0,Automática,1.8,SUV,133000.0,Eléctrica,4x2,5.0,140.0,12333.34
Honda HR-V 1.8 Lx 2wd Cvt,Ubicación no encontrada,1.8 Lx 2wd Cvt,Gris,Honda,HR-V,2017,Nafta,5.0,Automática,1.8,SUV,159000.0,Eléctrica,4x2,5.0,140.0,15990.0
Honda HR-V 1.8 Lx 2wd Cvt l20,Ubicación no encontrada,1.8 Lx 2wd Cvt l20,,Honda,HR-V,2020,Nafta,5.0,Automática,1.8,SUV,86000.0,Eléctrica,4x2,5.0,140.0,24500.0
