Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Ford Ka 1.5 Freestyle Se,Ubicación no encontrada,1.5 Freestyle Se,,Ford,Ka,2019,Nafta,5.0,Manual,1.5,Hatchback,90000.0,Eléctrica,Delantera,5.0,123.0,7933.33
Ford Ka 1.6 Fly Viral 95cv,Bs.As. G.B.A. Sur,1.6 Fly Viral 95cv,,Ford,Ka,2013,Nafta,3.0,Manual,1.6,Hatchback,134000.0,Hidráulica,Delantera,5.0,95.0,6500.0
Ford Ka 1.5 Se 5 p,Bs.As. Costa Atlántica,1.5 Se 5 p,Rojo,Ford,Ka,2018,Nafta,5.0,Manual,1.5,Hatchback,73000.0,Eléctrica,Delantera,5.0,123.0,13500.0
Ford Ka 1.0 Fly 63cv,Ubicación no encontrada,1.0 Fly 63cv,Blanco,Ford,Ka,2014,Nafta,3.0,Manual,1.0,Hatchback,98000.0,Hidráulica,Delantera,5.0,63.0,5600.0
Ford Ka 1.5 Se 5 p,Bs.As. G.B.A. Oeste,1.5 Se 5 p,Blanco,Ford,Ka,2017,Nafta,5.0,Manual,1.5,Hatchback,104000.0,Eléctrica,Delantera,5.0,105.0,8666.67
Ford Ka 1.5 Sel 4 p,Santa Fe,1.5 Sel 4 p,Blanco,Ford,Ka,2020,Nafta,4.0,Manual,1.5,Sedán,97000.0,Eléctrica,Delantera,5.0,123.0,10500.0
Ford Ka 1.5 S,Capital Federal,1.5 S,Gris,Ford,Ka,2018,Nafta,5.0,Manual,1.5,Hatchback,113900.0,Eléctrica,Delantera,5.0,123.0,8000.0
Ford Ka 1.0 Fly Viral 63cv,Bs.As. G.B.A. Sur,1.0 Fly Viral 63cv,Plateado,Ford,Ka,2011,Nafta,3.0,Manual,1.0,Hatchback,92000.0,Hidráulica,Delantera,5.0,63.0,6200.0
Ford Ka 1.6 Fly Viral 95cv,Ubicación no encontrada,1.6 Fly Viral 95cv,Blanco,Ford,Ka,2013,Nafta,3.0,Manual,1.6,Hatchback,107000.0,Hidráulica,Delantera,5.0,95.0,5533.33
Ford Ka 1.0 Fly Viral 63cv,Ubicación no encontrada,1.0 Fly Viral 63cv,Plateado,Ford,Ka,2011,Nafta,3.0,Manual,1.0,Hatchback,80000.0,Hidráulica,Delantera,5.0,63.0,5600.0
Ford Ka 1.5 Freestyle,Ubicación no encontrada,1.5 Freestyle,Negro,Ford,Ka,2018,Nafta,5.0,Manual,1.5,Hatchback,61900.0,Eléctrica,Delantera,5.0,123.0,12500.0
