Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Único dueño,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Toyota SW4 2.8 Srx 177cv 4x4 7as At,Ubicación no encontrada,Toyota,SW4,2020,2.8 Srx 177cv 4x4 7as At,Plateado,Diésel,5,Automática,2.8,SUV,29500,,,,Hidráulica,4x4,7.0,177.0,59900.0
BMW Serie 3 3.0 330i Sedan Sport Line 252cv,Ubicación no encontrada,BMW,Serie 3,2020,3.0 330i Sedan Sport Line 252cv,Gris,Nafta,4,Manual,3.0,Sedán,10000,,,,Asistida,Trasera,5.0,184.0,69000.0
BMW Serie 4 3.0 440i Coupe M Package 326cv,Ubicación no encontrada,BMW,Serie 4,2022,3.0 440i Coupe M Package 326cv,Negro,Nafta,2,Automática,3.0,Coupé,6000,,,,Eléctrica,Trasera,4.0,326.0,122000.0
BMW X4 2.0 Xdrive 28i Xline 245cv,Ubicación no encontrada,BMW,X4,2018,2.0 Xdrive 28i Xline 245cv,Gris,Nafta,5,Automática,2.0,SUV,68000,,,,Asistida,4x4,5.0,245.0,37333.33
BMW Serie 1 2.0 Xdrive M135 Performance,Ubicación no encontrada,BMW,Serie 1,2023,2.0 Xdrive M135 Performance,,Nafta,5,Automática,2.0,Hatchback,7000,,,,,,,306.0,74000.0
Jeep Gladiator Gladiator Overland 2022 9800km,Ubicación no encontrada,Jeep,Gladiator,2022,GLADIATOR OVERLAND,Negro,Nafta,4,,,Pick-Up,9800,,,,Asistida,,,,92999.0
Jeep Wrangler 3.6 Unlimited 284hp Atx,Ubicación no encontrada,Jeep,Wrangler,2018,3.6 Unlimited 284hp Atx,Plateado,Nafta,3,Automática,3.6,Hatchback,77000,,,,,4x4,4.0,284.0,60800.0
Ford F-150 Raptor 3.5l Bi-turbo,Santa Fe,Ford,,2021,3.5l Bi-turbo,Azul,Nafta,4,Automática,3.5,Pick-Up,43000,,,,Eléctrica,4x4,5.0,456.0,92000.0
BMW X3 2.0 Xdrive 30E Xline,Ubicación no encontrada,BMW,X3,2023,2.0 Xdrive 30E Xline,,Híbrido/Nafta,5,Automática,2.0,SUV,3500,,,,Eléctrica,4x4,5.0,292.0,105000.0
Chevrolet Camaro 6.2 Ss 2011,Ubicación no encontrada,Chevrolet,Camaro,2011,2.0 Gls,Gris,Nafta,4,Automática,2.0,Coupé,63000,,,,,,,,59500.0
Maserati Levante 3.0 Biturbo S Q4 430cv,Ubicación no encontrada,Maserati,Levante,2019,3.0 Biturbo S Q4 430cv,Azul,Nafta,5,Automática,3.0,SUV,3200,,,,Asistida,Integral,5.0,430.0,238000.0
Toyota SW4 2.8 GR-SPORT 224CV 4X4 7AS AT,Ubicación no encontrada,Toyota,SW4,2022,2.8 GR-SPORT 224CV 4X4 7AS AT,Negro,Diésel,5,Automática,2.8,SUV,13000,,,,Hidráulica,4x4,7.0,177.0,65000.0
Alfa Romeo Giulia 2.0 280cv Veloce,Ubicación no encontrada,Alfa Romeo,Giulia,2022,2.0 280cv Veloce,,Nafta,4,Automática,2.0,Sedán,1500,,,,Eléctrica,Integral,5.0,280.0,69900.0
Mercedes-Benz Clase GLE 3.0 Gle400 Sport 4matic 333cv,Ubicación no encontrada,,Clase GLE,2019,3.0 Gle400 Sport 4matic 333cv,Gris oscuro,Nafta,5,Automática,3.0,,46000,,,,,,,,120000.0
Audi Q5 2.0 45 Tfsi Offroad 252cv,Ubicación no encontrada,Audi,Q5,2020,2.0 45 Tfsi Offroad 252cv,Gris,Nafta,5,Automática,2.0,SUV,75000,,,,Eléctrica,4x4,5.0,252.0,58000.0
Mercedes Benz Glc300 Coupe Amg-line 2019,Ubicación no encontrada,,Clase GLC,2019,300 COUPE AMG-LINE,Blanco,Nafta,5,,,SUV,15000,,,,Asistida,,,,89900.0
Ford Mustang Mach1 2022,Ubicación no encontrada,Ford,Mustang,2022,Mach1,Verde oscuro,Nafta,2,Automática,,,2000,,,,,,,,115000.0
Toyota Land Cruiser 4.5 200 Vx 265cv At W/floormat,Chubut,Toyota,Land Cruiser,2014,,,Diésel,5,Automática,4.5,SUV,180000,,,,Hidráulica,4x4,5.0,265.0,68000.0
BMW Serie M 3.0 M3 431cv,Ubicación no encontrada,BMW,Serie M,2016,3.0 M3 431cv,,Nafta,4,Automática,3.0,Sedán,26000,,,,Asistida,Trasera,4.0,431.0,116000.0
Mercedes-Benz Clase GLE 400 4 Matic,Ubicación no encontrada,,Clase GLE,2017,400 4 Matic,Negro,Nafta,4,Automática,3.0,SUV,30000,,,,Eléctrica,Integral,5.0,333.0,109000.0
Ford Ranger Raptor,Bs.As. G.B.A. Norte,Ford,Ranger,2023,Raptor,,Nafta,4,,,,16200,,,,,,,,75400.0
BMW X5 3.0 Xdrive 35i 306cv Pure Excellence,Ubicación no encontrada,BMW,X5,2016,3.0 Xdrive 35i 306cv Pure Excellence,Blanco,Nafta,5,Automática,3.0,SUV,82500,,,,Asistida,4x4,5.0,306.0,60000.0
Porsche 944 S2 Cabrio 1990,Ubicación no encontrada,Porsche,944,1990,944 S2 Cabrio,blue,Nafta,2,,,Coupé,73774,,,,mechanical,,,,68900.0
Mercedes-Benz Clase A 1.6 A35 4matic 306 Cv 5 p,Ubicación no encontrada,,Clase A,2021,1.6 A35 4matic 306 Cv 5 p,Blanco,Nafta,5,Automática,1.6,Hatchback,16000,,,,Asistida,Integral,5.0,306.0,85000.0
Audi Q5 2.0 Tfsi Stronic Quattro Security 252cv,Ubicación no encontrada,Audi,Q5,2018,2.0 Tfsi Stronic Quattro Security 252cv,,Nafta,5,Automática,2.0,SUV,25000,,,,Eléctrica,4x4,5.0,252.0,76000.0
Porsche Panamera 4.8 4 S 400cv (970),Ubicación no encontrada,Porsche,Panamera,2010,,Gris oscuro,Nafta,5,,,Sedán,47573,,,,hydraulic,,,,95000.0
Volkswagen Vento 2.0 Sportline Tsi 200cv Bi-xenon,Capital Federal,Volkswagen,Vento,2014,2.0 Sportline Tsi 200cv Bi-xenon,,Nafta,4,Manual,2.0,Sedán,87000,,,,Eléctrica,Delantera,5.0,200.0,74074.07
Jeep Cherokee Overland (rb3),Bs.As. G.B.A. Sur,Jeep,Cherokee,2017,,,Nafta,4,,,,95000,,,,,,,,60000.0
Mercedes-Benz Clase SL 5.0 Sl500 Roadster,Ubicación no encontrada,,Clase SL,2002,5.0 Sl500 Roadster,,Nafta,2,Automática,5.0,Coupé,104000,,,,Hidráulica,Trasera,2.0,306.0,62000.0
Porsche 911 3.8 Carrera 4 S 400cv (991),Capital Federal,Porsche,911,2015,,Blanco,Nafta,2,Manual,3.8,Coupé,21400,,,,Eléctrica,Integral,2.0,400.0,245000.0
Mercedes Benz Clase E Coupé E53 Amg 4matic 435cv,Bs.As. G.B.A. Norte,,Clase E,2023,Amg E 53 Coupé 4matic 435 Cv,Blanco,Nafta,2,,,Coupé,6000,,,,Eléctrica,,,,179000.0
Toyota Hiace 2.8 Tdi Wagon 6at 10a,Ubicación no encontrada,Toyota,Hiace,2024,2.8 Tdi Wagon 6at 10a,Gris,Diésel,4,Automática,2.8,,1000,,,,,Delantera,10.0,177.0,62900.0
Porsche Cayenne Turbo V8 Bi Turbo 500 Hp,Bs.As. G.B.A. Norte,Porsche,Cayenne Turbo,2013,V8 Bi Turbo 500 HP,,Nafta,4,,,,150000,,,,,,,,69000.0
Mercedes-Benz Clase C 6.3 C63 Amg Sedan 457cv,Tucumán,,Clase C,2013,6.3 C63 Amg Sedan 457cv,,Nafta,4,Automática,6.3,Sedán,36000,,,,Asistida,Delantera,4.0,457.0,72000.0
BMW X2 2.0 M35i Mpa,Ubicación no encontrada,BMW,X2,2023,2.0 M35i Mpa,,Nafta,5,Automática,2.0,SUV,5200,,,,Asistida,4x4,5.0,192.0,95000.0
Jeep Grand Cherokee 6.4 Srt Atx 465hp At,Bs.As. G.B.A. Norte,Jeep,Grand Cherokee,2017,6.4 Srt Atx 465hp At,Negro,Nafta,5,Automática,6.4,SUV,125000,,,,Hidráulica,4x4,5.0,465.0,65000.0
