Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Onix 1.4 Joy Ls + 98cv,Ubicación no encontrada,,,Chevrolet,Onix,2018,Nafta,5.0,Manual,1.4,Hatchback,136000.0,Asistida,Delantera,5.0,98.0,10000.0
Chevrolet Onix 1.4 Joy Ls,Ubicación no encontrada,1.4 Joy Ls,Gris oscuro,Chevrolet,Onix,2018,Nafta,5.0,Manual,1.4,Hatchback,67000.0,assisted,Delantera,5.0,98.0,8333.33
Chevrolet Onix 1.4 EFFECT MT,Ubicación no encontrada,1.4 EFFECT MT,Rojo,Chevrolet,Onix,2017,Nafta,5.0,Manual,1,Hatchback,74563.0,Asistida,4x2,5.0,98.0,9133.33
Chevrolet Onix 1.4 Lt Mt 98cv,Ubicación no encontrada,1.4 Lt Mt 98cv,Rojo,Chevrolet,Onix,2016,Nafta,5.0,Manual,1.4,Hatchback,75133.0,Asistida,Delantera,5.0,98.0,10200.0
Chevrolet Onix 1.4 Ltz 98cv,Bs.As. G.B.A. Oeste,1.4 Ltz 98cv,,Chevrolet,Onix,2017,Nafta,5.0,Manual,1.4,Hatchback,43900.0,Asistida,Delantera,5.0,98.0,13000.0
Chevrolet Onix 1.4 Joy Ls 98cv,Ubicación no encontrada,1.4 Joy Ls 98cv,,Chevrolet,Onix,2017,Nafta,5.0,Manual,1.4,Hatchback,100000.0,Asistida,Delantera,5.0,98.0,9500.0
Chevrolet Onix 1.4 Ltz Mt 98cv,Ubicación no encontrada,1.4 Ltz Mt 98cv,Negro,Chevrolet,Onix,2015,Nafta,5.0,Manual,1.4,Hatchback,73500.0,Hidráulica,Delantera,5.0,98.0,11666.67
Chevrolet Onix 1.4 Lt Mt 98cv,Buenos Aires Interior,1.4 Lt Mt 98cv,Naranja,Chevrolet,Onix,2014,Nafta,5.0,Manual,1.4,Hatchback,169000.0,Hidráulica,Delantera,5.0,98.0,8000.0
Chevrolet Onix 1.4 Lt Mt 98cv,Ubicación no encontrada,1.4 Lt Mt 98cv,Azul,Chevrolet,Onix,2016,Nafta,5.0,Manual,1.4,Hatchback,57000.0,Asistida,Delantera,5.0,98.0,8600.0
Chevrolet Onix 1.4 Ltz  Modelo 2018,Ubicación no encontrada,Ltz,Negro,Chevrolet,Onix,2018,Nafta,5.0,Manual,1.4,Hatchback,108000.0,Asistida,Delantera,5.0,98.0,8533.33
Chevrolet Onix 1.4 Joy Ls + 98cv,Corrientes,,Rojo,Chevrolet,Onix,2018,Nafta,5.0,Manual,1.4,Hatchback,102522.0,Asistida,Delantera,5.0,98.0,7133.33
Chevrolet Onix 1.4 Lt 98cv,Ubicación no encontrada,1.4 Lt 98cv,Rojo,Chevrolet,Onix,2018,Nafta,5.0,Manual,1.4,Hatchback,120000.0,Asistida,Delantera,5.0,98.0,9000.0
Chevrolet Onix 1.0 T PREMIER II AT,Ubicación no encontrada,1.0 T PREMIER II AT,Plateado,Chevrolet,Onix,2020,Nafta,5.0,Automático,1,Hatchback,21174.0,Asistida,4x2,5.0,116.0,13640.0
