Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Fiat Palio 1.4 Weekend Trekking 87cv,Ubicación no encontrada,1.4 Weekend Trekking 87cv,Negro,Fiat,Palio,2013,Nafta,5.0,Manual,1.4,Rural,123000.0,Hidráulica,Delantera,5.0,87.0,6333.33
Fiat Palio 1.4 Fire Pack Top,Santa Fe,1.4 Fire Pack Top,,Fiat,Palio,2016,Nafta,5.0,Manual,1.4,Hatchback,9900.0,Hidráulica,Delantera,5.0,82.0,7333.33
Fiat Palio 1.4 Attractive 85cv,Ubicación no encontrada,1.4 Attractive 85cv,,Fiat,Palio,2015,Nafta,5.0,Manual,1.4,Hatchback,115000.0,Hidráulica,Delantera,5.0,85.0,7500.0
Fiat Palio 1.4 Attractive 85cv C/pack Seguridad,Bs.As. G.B.A. Norte,,Gris,Fiat,Palio,2013,Nafta,5.0,Manual,1.4,Hatchback,89000.0,Hidráulica,Delantera,5.0,85.0,8800.0
Fiat Palio 1.3 Fire Top,Bs.As. G.B.A. Norte,1.3 Fire Top,,Fiat,Palio,2005,Nafta,4.0,Manual,1.3,Hatchback,225800.0,Hidráulica,Delantera,5.0,82.0,3800.0
Fiat Palio 1.4 Fire Pack Seg.,Ubicación no encontrada,1.4 Fire Pack Seg.,,Fiat,Palio,2016,Nafta,5.0,Manual,1.4,Hatchback,137000.0,Hidráulica,Delantera,5.0,82.0,6200.0
Fiat Palio 1.4 Nuevo Attractive Pack Top 85cv,Bs.As. G.B.A. Oeste,1.4 Nuevo Attractive Pack Top 85cv,,Fiat,Palio,2018,Nafta,5.0,Manual,1.4,Hatchback,40000.0,Hidráulica,Delantera,5.0,85.0,11300.0
Fiat Palio 1.4 5 P Attract L/14 Top,Ubicación no encontrada,,Blanco,Fiat,Palio,2018,Nafta,5.0,Manual,1.4,Hatchback,89000.0,Hidráulica,Delantera,5.0,85.0,6333.33
Fiat Palio 1.6 Hl Stile,Buenos Aires Interior,1.6 Hl Stile,,Fiat,Palio,1999,Nafta,3.0,Manual,1.6,Hatchback,138000.0,Hidráulica,Delantera,5.0,115.0,2533.33
Fiat Palio 1.4 Attractive 85cv C/pack Seguridad,Bs.As. G.B.A. Sur,,,Fiat,Palio,2014,Nafta,5.0,Manual,1.4,Hatchback,70000.0,Hidráulica,Delantera,5.0,85.0,8000.0
Fiat Palio 1.4 Attractive 85cv,Ubicación no encontrada,1.4 Attractive 85cv,Rojo,Fiat,Palio,2015,Nafta,5.0,Manual,1.4,Hatchback,122298.0,Hidráulica,Delantera,5.0,82.0,8500.0
Fiat Palio 1.4 Nuevo Attractive Pack Top 85cv,Bs.As. G.B.A. Sur,1.4 Nuevo Attractive Pack Top 85cv,,Fiat,Palio,2017,Nafta,5.0,Manual,1.4,Hatchback,76000.0,Hidráulica,Delantera,5.0,85.0,10500.0
Fiat Palio 1.4 Fire Pack Top,Ubicación no encontrada,1.4 Fire Pack Top,Rojo,Fiat,Palio,2016,Nafta,5.0,Manual,1.4,Hatchback,68000.0,Hidráulica,Delantera,5.0,82.0,7800.0
Fiat Palio 1.3 S,Bs.As. G.B.A. Norte,1.3 S,,Fiat,Palio,2000,Nafta,3.0,Manual,1.3,Hatchback,235000.0,Hidráulica,Delantera,5.0,82.0,2333.33
Fiat Palio 1.4 Fire Top Aa+da+pl+ll,Bs.As. G.B.A. Norte,,Gris,Fiat,Palio,2010,Nafta,5.0,Manual,1.4,Hatchback,200000.0,Mecánica,Delantera,5.0,82.0,4000.0
Fiat Palio 1.6 Essence 115cv Brasil,Ubicación no encontrada,1.6 Essence 115cv Brasil,,Fiat,Palio,2013,Nafta,5.0,Manual,1.6,Hatchback,111111.0,Hidráulica,Delantera,5.0,115.0,5660.0
Fiat Palio 1.4 Fire Pack Confort,Bs.As. G.B.A. Norte,1.4 Fire Pack Confort,,Fiat,Palio,2016,Nafta,5.0,Manual,1.4,Hatchback,117000.0,Hidráulica,Delantera,5.0,82.0,8000.0
Fiat Palio 1.4 Nuevo Attractive 85cv,Ubicación no encontrada,1.4 Nuevo Attractive 85cv,Gris,Fiat,Palio,2018,Nafta,5.0,Manual,1.4,Hatchback,66000.0,Hidráulica,Delantera,5.0,85.0,10300.0
Fiat Palio Sporting 1.6,Ubicación no encontrada,Sporting 1.6,Blanco,Fiat,Palio,2014,Nafta,4.0,Manual,1.6,Hatchback,180000.0,Hidráulica,Delantera,5.0,115.0,7500.0
Fiat Palio 1.4 Fire,Ubicación no encontrada,1.4 Fire,,Fiat,Palio,2014,Nafta,5.0,Manual,1.4,Hatchback,87200.0,Mecánica,Delantera,5.0,82.0,6912.67
Fiat Palio 1.3 Fire Top,Bs.As. G.B.A. Oeste,1.3 Fire Top,,Fiat,Palio,2004,Nafta,3.0,Manual,1.3,Hatchback,110000.0,Hidráulica,Delantera,5.0,82.0,5200.0
"Fiat Palio 1,4 Attractive",Ubicación no encontrada,,Blanco,Fiat,Palio,2017,Nafta,5.0,Manual,1.4,Hatchback,24400.0,Hidráulica,Delantera,5.0,85.0,7500.0
