Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Prisma 1.4 Ltz 98cv,Ubicación no encontrada,1.4 Ltz 98cv,Azul,Chevrolet,Prisma,2015,Nafta,4.0,Manual,1.4,Sedán,117500.0,Hidráulica,Delantera,5.0,98.0,6133.33
Chevrolet Prisma 1.4 Joy Ls + 98cv,Ubicación no encontrada,,,Chevrolet,Prisma,2017,Nafta,4.0,Manual,1.4,Sedán,96000.0,Asistida,Delantera,5.0,98.0,10000.0
Chevrolet Prisma 1.4 Ltz 98cv,Ubicación no encontrada,1.4 Ltz 98cv,,Chevrolet,Prisma,2014,Nafta,4.0,Manual,1.4,Sedán,100000.0,Hidráulica,Delantera,5.0,98.0,8500.0
Chevrolet Prisma 1.4 Lt 98cv,Ubicación no encontrada,1.4 Lt 98cv,,Chevrolet,Prisma,2016,Nafta,4.0,Manual,1.4,Sedán,71000.0,Asistida,Delantera,5.0,98.0,9000.0
Chevrolet Prisma 1.4 Joy Ls + 98cv,Bs.As. G.B.A. Oeste,,,Chevrolet,Prisma,2018,Nafta,4.0,Manual,1.4,Sedán,84500.0,Asistida,Delantera,5.0,98.0,9100.0
Chevrolet Prisma 1.4 Lt 98cv,Ubicación no encontrada,1.4 Lt 98cv,Gris,Chevrolet,Prisma,2017,Nafta,4.0,Manual,1.4,Sedán,76644.0,Asistida,Delantera,5.0,98.0,10633.33
Chevrolet Prisma 1.4 Ltz At 98cv,Ubicación no encontrada,1.4 Ltz At 98cv,,Chevrolet,Prisma,2018,Nafta,4.0,Automática,1.4,Sedán,59000.0,Asistida,Delantera,5.0,98.0,13000.0
Chevrolet Prisma 1.4 Ltz 98cv,Bs.As. G.B.A. Oeste,1.4 Ltz 98cv,Gris,Chevrolet,Prisma,2017,Nafta,4.0,Manual,1.4,Sedán,116000.0,Asistida,Delantera,5.0,98.0,9900.0
Chevrolet Prisma 1.4 Lt 98cv,Ubicación no encontrada,1.4 Lt 98cv,,Chevrolet,Prisma,2017,Nafta,4.0,Manual,1.4,Sedán,117000.0,Asistida,Delantera,5.0,98.0,11000.0
Chevrolet Prisma 1.4 Ltz 98cv,Bs.As. G.B.A. Norte,1.4 Ltz 98cv,,Chevrolet,Prisma,2018,Nafta,4.0,Manual,1.4,Sedán,115000.0,Asistida,Delantera,5.0,98.0,10000.0
Chevrolet Prisma 1.4 Ltz 98cv,Ubicación no encontrada,1.4 Ltz 98cv,Negro,Chevrolet,Prisma,2016,Nafta,4.0,Manual,1.4,Sedán,90000.0,Asistida,Delantera,5.0,98.0,10500.0
Chevrolet Prisma 1.4 Ltz 98cv,Ubicación no encontrada,1.4 Ltz 98cv,Negro,Chevrolet,Prisma,2016,Nafta,4.0,Manual,1.4,Sedán,80000.0,Asistida,Delantera,5.0,98.0,8500.0
Chevrolet Prisma 1.4 Joy Ls + 98cv,Bs.As. G.B.A. Sur,,Blanco,Chevrolet,Prisma,2018,Nafta,4.0,Manual,1.4,Sedán,95000.0,Asistida,Delantera,5.0,98.0,8333.33
Chevrolet Prisma 1.4 Lt 98cv,Capital Federal,1.4 Lt 98cv,Plateado,Chevrolet,Prisma,2017,Nafta,4.0,Manual,1.4,Sedán,55000.0,Asistida,Delantera,5.0,98.0,11000.0
Chevrolet Prisma 1.4 Joy Ls + 98cv,Capital Federal,,Blanco,Chevrolet,Prisma,2018,Nafta,4.0,Manual,1.4,Sedán,89000.0,Asistida,Delantera,5.0,98.0,6800.0
Chevrolet Prisma 1.4 Joy Ls,Bs.As. G.B.A. Oeste,1.4 Joy Ls,Blanco,Chevrolet,Prisma,2020,Nafta,4.0,Manual,1.4,Sedán,84000.0,Asistida,Delantera,5.0,98.0,11500.0
