Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv,Blanco,Chevrolet,S10,2024,Diésel,4.0,Manual,2.8,Pick-Up,1000.0,Asistida,4x2,5.0,200.0,20793.33
Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,Ubicación no encontrada,2.8 Cd 4x4 Ltz Tdci 200cv At,Plateado,Chevrolet,S10,2018,Diésel,4.0,Automática,2.8,Pick-Up,98000.0,Asistida,4x4,5.0,200.0,18659.93
Chevrolet S10 2.8 Cd 4x2 Ls Tdci 200cv,Córdoba,2.8 Cd 4x2 Ls Tdci 200cv,Blanco,Chevrolet,S10,2013,Diésel,4.0,Manual,2.8,Pick-Up,204000.0,Hidráulica,4x2,5.0,200.0,11000.0
Chevrolet S10 2.8 Ls Cd Tdci 200cv 4x2,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv 4x2,,Chevrolet,S10,2021,Diésel,4.0,Manual,2.8,Pick-Up,99000.0,Asistida,4x2,5.0,200.0,16666.67
Chevrolet S10 2.8 Ls Cd Tdci 200cv 4x2,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv 4x2,Negro,Chevrolet,S10,2021,Diésel,4.0,Manual,2.8,Pick-Up,68299.0,Asistida,4x2,5.0,200.0,18660.0
Chevrolet S10 2.8 High Country Cd Tdci 200cv Manual 4x2,Chaco,2.8 High Country Cd Tdci 200cv Manual 4x2,,Chevrolet,S10,2020,Diésel,4.0,Manual,2.8,Pick-Up,109500.0,Asistida,4x2,5.0,200.0,18666.67
Chevrolet S10 2.8 G4 Cd 4x2 Electronico,Ubicación no encontrada,2.8 G4 Cd 4x2 Electronico,Gris,Chevrolet,S10,2011,Diésel,4.0,Manual,2.8,Pick-Up,273000.0,Hidráulica,4x2,4.0,140.0,8533.33
Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,Ubicación no encontrada,2.8 Cd 4x4 Ltz Tdci 200cv At,Blanco,Chevrolet,S10,2018,Diésel,4.0,Automática,2.8,Pick-Up,151000.0,Asistida,4x4,5.0,200.0,17333.33
Chevrolet S10 2.8 Cd 4x4 Ltz Tdci 200cv At,Ubicación no encontrada,2.8 Cd 4x4 Ltz Tdci 200cv At,Blanco,Chevrolet,S10,2022,Diésel,4.0,Automática,2.8,Pick-Up,102000.0,Asistida,4x4,5.0,200.0,23986.67
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv,Gris,Chevrolet,S10,2019,Diésel,4.0,Manual,2.8,Pick-Up,94000.0,Asistida,4x2,5.0,200.0,19900.0
Chevrolet S10 2.8 Cd 4x2 Lt Tdci 200cv,Santa Fe,2.8 Cd 4x2 Lt Tdci 200cv,Blanco,Chevrolet,S10,2015,Diésel,4.0,Manual,2.8,Pick-Up,280000.0,Asistida,4x2,5.0,200.0,8000.0
Chevrolet S10 2.8 Cd 4x4 High Country Tdci 200cv At,Ubicación no encontrada,2.8 Cd 4x4 High Country Tdci 200cv At,Rojo,Chevrolet,S10,2016,Diésel,4.0,Automática,2.8,Pick-Up,170000.0,Asistida,4x4,5.0,200.0,23800.0
Chevrolet S10 2.8 Lt Cd Tdci 200cv 4x2,Ubicación no encontrada,2.8 Lt Cd Tdci 200cv 4x2,,Chevrolet,S10,2018,Diésel,4.0,Manual,2.8,Pick-Up,150000.0,Asistida,4x2,5.0,200.0,16666.67
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv,Blanco,Chevrolet,S10,2019,Diésel,4.0,Manual,2.8,Pick-Up,167000.0,Asistida,4x2,5.0,200.0,18200.0
Chevrolet S10 2.8 Ls Cd Tdci 200cv,Ubicación no encontrada,2.8 Ls Cd Tdci 200cv,Plateado,Chevrolet,S10,2019,Diésel,4.0,Manual,2.8,Pick-Up,178000.0,Asistida,4x2,5.0,200.0,20000.0
