Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Renault Sandero Stepway 1.6 Privilege 105cv,Ubicación no encontrada,1.6 Privilege 105cv,,Renault,Sandero Stepway,2017,Nafta,5.0,Manual,1.6,Hatchback,67000.0,Hidráulica,Delantera,5.0,105.0,8800.0
Renault Sandero Stepway 1.6 Privilege Nav 105cv,Bs.As. G.B.A. Sur,1.6 Privilege Nav 105cv,Azul,Renault,Sandero Stepway,2013,Nafta,5.0,Manual,1.6,Hatchback,58000.0,Hidráulica,Delantera,5.0,105.0,9500.0
Renault Sandero Stepway 1.6 Privilege 105cv,Bs.As. G.B.A. Norte,1.6 Privilege 105cv,,Renault,Sandero Stepway,2016,Nafta,5.0,Manual,1.6,Hatchback,150000.0,Hidráulica,Delantera,5.0,105.0,9500.0
Renault Sandero Stepway 1.6 Privilege 105cv,Córdoba,1.6 Privilege 105cv,Rojo,Renault,Sandero Stepway,2019,Nafta,5.0,Manual,1.6,Hatchback,60000.0,Hidráulica,Delantera,5.0,105.0,13200.0
Renault Sandero Stepway 1.6 16v Zen,Buenos Aires Interior,1.6 16v Zen,,Renault,Sandero Stepway,2022,Nafta,5.0,Manual,1.6,Hatchback,23000.0,Hidráulica,Delantera,5.0,115.0,16000.0
Renault Sandero Stepway 1.6 16v Intense,Bs.As. G.B.A. Sur,1.6 16v Intense,Blanco,Renault,Sandero Stepway,2023,Nafta,5.0,Manual,1.6,Hatchback,3800.0,Hidráulica,Delantera,5.0,115.0,15900.0
Renault Sandero Stepway 1.6 16v Intense,Bs.As. G.B.A. Sur,1.6 16v Intense,Gris,Renault,Sandero Stepway,2023,Nafta,5.0,Manual,1.6,Hatchback,500.0,Hidráulica,Delantera,5.0,115.0,18900.0
Renault Sandero Stepway 1.6 Confort 105cv,Ubicación no encontrada,1.6 Confort 105cv,Negro,Renault,Sandero Stepway,2010,Nafta,5.0,Manual,1.6,Hatchback,250000.0,Hidráulica,Delantera,5.0,105.0,6500.0
Renault Sandero Stepway 1.6 Privilege 105cv,Capital Federal,1.6 Privilege 105cv,Blanco,Renault,Sandero Stepway,2018,Nafta,5.0,Manual,1.6,Hatchback,6980.0,Hidráulica,Delantera,5.0,105.0,12500.0
Renault Sandero Stepway 1.6 Confort 105cv,Ubicación no encontrada,1.6 Confort 105cv,Gris,Renault,Sandero Stepway,2014,Nafta,5.0,Manual,1.6,Hatchback,150000.0,Hidráulica,Delantera,5.0,105.0,7000.0
Renault Sandero Stepway 1.6 16v Intense,Ubicación no encontrada,1.6 16v Intense,Gris,Renault,Sandero Stepway,2023,Nafta,5.0,Manual,1.6,Hatchback,1001.0,Hidráulica,Delantera,5.0,115.0,14200.0
Renault Sandero Stepway 1.6 Confort 105cv,Buenos Aires Interior,1.6 Confort 105cv,Gris,Renault,Sandero Stepway,2010,Nafta,5.0,Manual,1.6,Hatchback,274000.0,Hidráulica,Delantera,5.0,105.0,6500.0
Renault Sandero Stepway 1.6 Privilege 105cv,Córdoba,1.6 Privilege 105cv,,Renault,Sandero Stepway,2012,Nafta,5.0,Manual,1.6,Hatchback,102000.0,Hidráulica,Delantera,5.0,105.0,5200.0
Renault Sandero Stepway 1.6 Confort 105cv,Bs.As. G.B.A. Sur,1.6 Confort 105cv,Negro,Renault,Sandero Stepway,2011,Nafta,5.0,Manual,1.6,Hatchback,130000.0,Hidráulica,Delantera,5.0,105.0,7500.0
Renault Sandero Stepway 1.6 Confort 105cv,Ubicación no encontrada,1.6 Confort 105cv,Negro,Renault,Sandero Stepway,2011,Nafta,5.0,Manual,1.6,Hatchback,145000.0,Hidráulica,Delantera,5.0,105.0,5933.33
Renault Sandero Stepway Nuevo Sandero Stepwa,Córdoba,Nuevo SANDERO STEPWA,,Renault,Sandero Stepway,2018,Nafta/GNC,4.0,Manual,1.6,Hatchback,165000.0,Hidráulica,Delantera,5.0,105.0,9333.33
Renault Sandero Stepway 1.6 Dynamique 105cv,Ubicación no encontrada,1.6 Dynamique 105cv,,Renault,Sandero Stepway,2016,Nafta,5.0,Manual,1.6,Hatchback,98000.0,Hidráulica,Delantera,5.0,105.0,7933.33
Renault Sandero Stepway Privilege,Ubicación no encontrada,Privilege,Gris,Renault,Sandero Stepway,2013,Nafta,5.0,Manual,1.6,Monovolumen,105000.0,Hidráulica,Delantera,5.0,105.0,7333.33
Renault Sandero Stepway 1.6 Confort 105cv,Córdoba,1.6 Confort 105cv,Azul,Renault,Sandero Stepway,2010,Nafta,5.0,Manual,1.6,Hatchback,148923.0,Hidráulica,Delantera,5.0,105.0,5933.33
Renault Sandero Stepway 1.6 Dynamique 105cv,Ubicación no encontrada,1.6 Dynamique 105cv,,Renault,Sandero Stepway,2017,Nafta,5.0,Manual,1.6,Hatchback,67500.0,Hidráulica,Delantera,5.0,105.0,12200.0
Renault Sandero Stepway 1.6 Dynamique 105cv Nac,Ubicación no encontrada,1.6 Dynamique 105cv Nac,,Renault,Sandero Stepway,2018,Nafta,5.0,Manual,1.6,Hatchback,75000.0,Hidráulica,Delantera,5.0,105.0,11800.0
Renault Sandero Stepway 1.6 Confort 105cv,Bs.As. G.B.A. Sur,1.6 Confort 105cv,,Renault,Sandero Stepway,2010,Nafta,5.0,Manual,1.6,Hatchback,165000.0,Hidráulica,Delantera,5.0,105.0,7800.0
Renault Sandero Stepway 1.6 Privilege 105cv,Ubicación no encontrada,1.6 Privilege 105cv,Blanco,Renault,Sandero Stepway,2017,Nafta,5.0,Manual,1.6,Hatchback,118000.0,Hidráulica,Delantera,5.0,105.0,10300.0
Renault Sandero Stepway 1.6 Confort 105cv,Bs.As. G.B.A. Sur,1.6 Confort 105cv,Plateado,Renault,Sandero Stepway,2010,Nafta/GNC,5.0,Manual,1.6,Hatchback,124000.0,Hidráulica,Delantera,5.0,105.0,6600.0
Renault Sandero Stepway 1.6 Privilege Nav 105cv,Entre Ríos,1.6 Privilege Nav 105cv,,Renault,Sandero Stepway,2015,Nafta,5.0,Manual,1.6,Hatchback,69000.0,Hidráulica,Delantera,5.0,105.0,11000.0
Renault Sandero Stepway 1.6 16v Intense,Bs.As. G.B.A. Sur,1.6 16v Intense,Rojo,Renault,Sandero Stepway,2023,Nafta,5.0,Manual,1.6,Hatchback,2100.0,Hidráulica,Delantera,5.0,115.0,16000.0
Renault Sandero Stepway 1.6 Privilege 105cv Nac,Ubicación no encontrada,1.6 Privilege 105cv Nac,,Renault,Sandero Stepway,2017,Nafta,5.0,Manual,1.6,Hatchback,73000.0,Hidráulica,Delantera,5.0,105.0,11800.0
Renault Sandero Stepway 1.6 Privilege 105cv Nac,Ubicación no encontrada,1.6 Privilege 105cv Nac,Blanco,Renault,Sandero Stepway,2017,Nafta,5.0,Manual,1.6,Hatchback,109000.0,Hidráulica,Delantera,5.0,105.0,10500.0
Renault Sandero Stepway 1.6 Expression 105cv,Córdoba,1.6 Expression 105cv,,Renault,Sandero Stepway,2013,Nafta,5.0,Manual,1.6,Hatchback,60000.0,Hidráulica,Delantera,5.0,105.0,7500.0
Excelente Renault Sandero Stepway Expression-gnc,Ubicación no encontrada,EXPRESION,Plateado,Renault,Sandero Stepway,2018,Nafta/GNC,5.0,Manual,1.6,SUV,111600.0,Hidráulica,Delantera,5.0,105.0,10800.0
Renault Sandero Stepway 1.6 16v Intense,Ubicación no encontrada,1.6 16v Intense,Blanco,Renault,Sandero Stepway,2022,Nafta,5.0,Manual,1.6,Hatchback,29900.0,Hidráulica,Delantera,5.0,115.0,20600.0
