Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Chevrolet Spin 1.8 Ltz 7as 105cv,Ubicación no encontrada,1.8 Ltz 7as 105cv,,Chevrolet,Spin,2016,Nafta,5.0,Manual,1.8,Monovolumen,107000.0,Hidráulica,Delantera,7.0,105.0,10900.0
Chevrolet Spin 1.8 Ltz 7as 105cv,Ubicación no encontrada,1.8 Ltz 7as 105cv,,Chevrolet,Spin,2015,Nafta,5.0,Manual,1.8,Monovolumen,111111.0,Hidráulica,Delantera,7.0,105.0,9333.33
Chevrolet Spin 1.8 Ltz 7as At 105cv,Capital Federal,1.8 Ltz 7as At 105cv,,Chevrolet,Spin,2015,Nafta,5.0,Automática,1.8,Monovolumen,140000.0,Hidráulica,Delantera,7.0,105.0,12700.0
Chevrolet Spin 1.8 Lt 5as 105cv,Ubicación no encontrada,1.8 Lt 5as 105cv,Gris,Chevrolet,Spin,2016,Nafta,5.0,Manual,1.8,Monovolumen,80000.0,Hidráulica,Delantera,5.0,105.0,11900.0
Chevrolet Spin 1.8 Ltz 7as 105cv,Bs.As. G.B.A. Sur,1.8 Ltz 7as 105cv,Plateado,Chevrolet,Spin,2018,Nafta,5.0,Manual,1.8,Monovolumen,126000.0,Hidráulica,Delantera,7.0,105.0,13600.0
Chevrolet Spin 1.8 Activ Ltz 7as 105cv,Ubicación no encontrada,1.8 Activ Ltz 7as 105cv,,Chevrolet,Spin,2015,Nafta,5.0,Manual,1.8,Monovolumen,115000.0,Hidráulica,Delantera,7.0,105.0,9500.0
Chevrolet Spin 1.8 Lt 5as 105cv,Santa Fe,1.8 Lt 5as 105cv,Plateado,Chevrolet,Spin,2016,Nafta,5.0,Manual,1.8,Monovolumen,150000.0,Hidráulica,Delantera,5.0,105.0,8333.33
Chevrolet Spin 1.8 Lt 5as 105cv,Córdoba,1.8 Lt 5as 105cv,Azul,Chevrolet,Spin,2015,Nafta,5.0,Manual,1.8,Monovolumen,135000.0,Hidráulica,Delantera,5.0,105.0,7933.33
Chevrolet Spin 1.8 Ltz 7as At 105cv,Ubicación no encontrada,1.8 Ltz 7as At 105cv,Gris,Chevrolet,Spin,2013,Nafta,5.0,Automática,1.8,Monovolumen,140000.0,Hidráulica,Delantera,7.0,105.0,9900.0
Chevrolet Spin 1.3 Ltz 7as 75cv,Bs.As. G.B.A. Norte,1.3 Ltz 7as 75cv,,Chevrolet,Spin,2014,Diésel,5.0,Manual,1.3,Monovolumen,6749.0,Hidráulica,Delantera,7.0,75.0,13000.0
Chevrolet Spin 1.8 Ltz 7as 105cv,Ubicación no encontrada,1.8 Ltz 7as 105cv,Gris,Chevrolet,Spin,2015,Nafta,5.0,Manual,1.8,Monovolumen,115327.0,Hidráulica,Delantera,7.0,105.0,12000.0
Chevrolet Spin 1.8 Ltz 5as 105cv,Ubicación no encontrada,1.8 Ltz 5as 105cv,,Chevrolet,Spin,2015,Nafta,5.0,Manual,1.8,Monovolumen,84000.0,Hidráulica,Delantera,5.0,105.0,9266.67
Chevrolet Spin 1.8 Ltz 7as 105cv,Ubicación no encontrada,1.8 Ltz 7as 105cv,Gris,Chevrolet,Spin,2017,Nafta,5.0,Manual,1.8,Monovolumen,115000.0,Hidráulica,4x2,5.0,105.0,11600.0
