Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,,Fiat,Strada,2016,Nafta,3.0,Manual,1.6,Pick-Up,115000.0,Hidráulica,Delantera,4.0,115.0,10000.0
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Gris,Fiat,Strada,2020,Nafta,3.0,Manual,1.6,Pick-Up,72000.0,Hidráulica,Delantera,4.0,115.0,15000.0
Fiat Strada 1.4 Working Cd C/aa + Pack Seg,Ubicación no encontrada,,,Fiat,Strada,2013,Nafta,2.0,Manual,1.4,Pick-Up,91500.0,Hidráulica,Delantera,5.0,87.0,10000.0
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Blanco,Fiat,Strada,2015,Nafta,2.0,Manual,1.4,Pick-Up,118000.0,Hidráulica,Delantera,2.0,87.0,7933.33
Fiat Strada 1.4 Trekking,Ubicación no encontrada,1.4 Trekking,Verde,Fiat,Strada,2012,Nafta,2.0,Manual,1.4,Pick-Up,150000.0,Hidráulica,Delantera,5.0,87.0,8500.0
Fiat Strada 1.4 Working Cd,Ubicación no encontrada,1.4 Working Cd,Gris,Fiat,Strada,2018,Nafta,3.0,Manual,1.4,Pick-Up,58000.0,Hidráulica,Delantera,5.0,87.0,9666.67
Fiat Strada 1.6 Adventure Cd Pack Top,Mendoza,1.6 Adventure Cd Pack Top,,Fiat,Strada,2019,Nafta,3.0,Manual,1.6,Pick-Up,65000.0,Hidráulica,Delantera,4.0,115.0,14000.0
Fiat Strada Volcano,Bs.As. G.B.A. Sur,VOLCANO,,Fiat,Strada,2020,Nafta,4.0,Manual,1.4,Pick-Up,86000.0,Hidráulica,Delantera,5.0,115.0,15000.0
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Blanco,Fiat,Strada,2017,Nafta,3.0,Manual,1.6,Pick-Up,105000.0,Hidráulica,Delantera,4.0,115.0,8660.0
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Rojo,Fiat,Strada,2017,Nafta,2.0,Manual,1.4,Pick-Up,124000.0,Hidráulica,Delantera,2.0,87.0,8666.67
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,,Fiat,Strada,2012,Nafta,2.0,Manual,1.4,Pick-Up,170000.0,Hidráulica,Delantera,5.0,87.0,7000.0
Fiat Strada 1.6 Adventure Ce,Ubicación no encontrada,1.6 Adventure Ce,Gris,Fiat,Strada,2015,Nafta,2.0,Manual,1.6,Pick-Up,148000.0,Hidráulica,Delantera,4.0,115.0,11800.0
Fiat Strada Volcano Nafta 2020 Gris,Ubicación no encontrada,Volcano,Gris,Fiat,Strada,2020,Nafta,5.0,Manual,1.4,Pick-Up,39000.0,Eléctrica,Delantera,5.0,115.0,16900.0
Fiat Strada 1.6 Adventure Cd Capota Pk Seg,Ubicación no encontrada,1.6 Adventure Cd Capota Pk Seg,Blanco,Fiat,Strada,2014,Nafta,2.0,Manual,1.6,Pick-Up,78000.0,Hidráulica,Delantera,4.0,115.0,10500.0
Fiat Strada 1.4 Working Cs C/aa,Ubicación no encontrada,,,Fiat,Strada,2013,Nafta,2.0,Manual,1.4,Pick-Up,124000.0,Hidráulica,Delantera,2.0,87.0,6133.33
Fiat Strada 1.4 Working Cd,Buenos Aires Interior,1.4 Working Cd,,Fiat,Strada,2017,Nafta,3.0,Manual,1.4,Pick-Up,125000.0,Hidráulica,Delantera,5.0,87.0,11000.0
Fiat Strada 1.6 Adventure Cd,Bs.As. G.B.A. Norte,1.6 Adventure Cd,Gris,Fiat,Strada,2015,Nafta,3.0,Manual,1.6,Pick-Up,143000.0,Hidráulica,Delantera,4.0,115.0,11000.0
Fiat Strada 1.4 Working Cs Aa,Entre Ríos,1.4 Working Cs Aa,Blanco,Fiat,Strada,2012,Nafta,2.0,Manual,1.4,Pick-Up,170000.0,Hidráulica,Delantera,5.0,87.0,5666.67
Fiat Strada 1.6 Adventure Ce Pack Top,Ubicación no encontrada,1.6 Adventure Ce Pack Top,Gris,Fiat,Strada,2018,Nafta,2.0,Manual,1.6,Pick-Up,50000.0,Hidráulica,Delantera,2.0,115.0,8333.33
Fiat Strada 1.6 Adventure Cd 115cv,Ubicación no encontrada,1.6 Adventure Cd 115cv,Gris,Fiat,Strada,2013,Nafta,2.0,Manual,1.6,Pick-Up,223000.0,Hidráulica,Delantera,4.0,115.0,7666.67
Fíat Strada Volcano 1.3 Cd,Ubicación no encontrada,Strada Volcano 1.3 CD,Negro,Fiat,Strada,2020,Nafta,5.0,Manual,1.4,Pick-Up,23700.0,Hidráulica,Delantera,5.0,115.0,19800.0
Fiat Strada 1.3 Ranch Cvt Cd,Ubicación no encontrada,1.3 Ranch Cvt Cd,Blanco,Fiat,Strada,2024,Nafta,4.0,Automática,1.3,Pick-Up,500.0,Eléctrica,Delantera,5.0,99.0,15333.33
Fiat Strada 1.4 8v Endurance Cd,Ubicación no encontrada,1.4 8v Endurance Cd,Blanco,Fiat,Strada,2022,Nafta,3.0,Manual,1.4,Pick-Up,37080.0,Hidráulica,Delantera,5.0,85.0,13266.67
Fiat Strada 1.4 Working Cd,Bs.As. Costa Atlántica,1.4 Working Cd,,Fiat,Strada,2013,Nafta,2.0,Manual,1.4,Pick-Up,127000.0,Hidráulica,Delantera,5.0,87.0,8800.0
Fiat Strada 1.6 Adventure Ce 115cv,Córdoba,1.6 Adventure Ce 115cv,Blanco,Fiat,Strada,2012,Nafta,2.0,Manual,1.6,Pick-Up,155000.0,Hidráulica,Delantera,2.0,115.0,6333.33
Fiat Strada 1.3 Volcano,Ubicación no encontrada,1.3 Volcano,Negro,Fiat,Strada,2023,Nafta,3.0,Manual,1.3,Pick-Up,10000.0,Hidráulica,Delantera,5.0,99.0,14400.0
Fiat Strada 1.3 Volcano,Ubicación no encontrada,1.3 Volcano,,Fiat,Strada,2023,Nafta,3.0,Manual,1.3,Pick-Up,1000.0,Hidráulica,Delantera,5.0,99.0,17333.33
Fiat Strada 1.3 Trekking Multijet Cd,Bs.As. G.B.A. Oeste,1.3 Trekking Multijet Cd,,Fiat,Strada,2020,Diésel,3.0,Manual,1.3,Pick-Up,71000.0,Hidráulica,Delantera,5.0,95.0,17000.0
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Negro,Fiat,Strada,2016,Nafta,3.0,Manual,1.6,Pick-Up,71000.0,Hidráulica,Delantera,4.0,115.0,13000.0
Fiat Strada 1.3 Freedom 4x2 Doble Cabina 2024,Ubicación no encontrada,1.3 Freedom,Rojo,Fiat,Strada,2024,Nafta,5.0,Manual,1300.0,Pick-Up,900.0,Asistida,Delantera,5.0,99.0,15466.67
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Verde,Fiat,Strada,2017,Nafta,3.0,Manual,1.6,Pick-Up,130200.0,Hidráulica,Delantera,4.0,115.0,10866.67
Fiat Strada 1.4 8v Endurance Cd,Capital Federal,1.4 8v Endurance Cd,,Fiat,Strada,2021,Nafta,3.0,Manual,1.4,Pick-Up,52000.0,Hidráulica,Delantera,5.0,85.0,16700.0
Fiat Strada 1.4 8v Endurance Cd,Ubicación no encontrada,1.4 8v Endurance Cd,Blanco,Fiat,Strada,2021,Nafta,3.0,Manual,1.4,Pick-Up,90000.0,Hidráulica,Delantera,5.0,85.0,15500.0
Fiat Strada 1.4 Working Cd,Ubicación no encontrada,1.4 Working Cd,,Fiat,Strada,2017,Nafta,3.0,Manual,1.4,Pick-Up,119000.0,Hidráulica,Delantera,5.0,87.0,11000.0
Fiat Strada 1.6 Adventure Cd Pack Top,Neuquén,1.6 Adventure Cd Pack Top,Blanco,Fiat,Strada,2019,Nafta,3.0,Manual,1.6,Pick-Up,48500.0,Hidráulica,Delantera,4.0,115.0,14900.0
Fiat Strada 1.6 Adventure Cd Capota Pk Seg,Ubicación no encontrada,1.6 Adventure Cd Capota Pk Seg,,Fiat,Strada,2014,Nafta,2.0,Manual,1.6,Pick-Up,167000.0,Hidráulica,Delantera,4.0,115.0,10900.0
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Blanco,Fiat,Strada,2012,Nafta,2.0,Manual,1.4,Pick-Up,169000.0,Hidráulica,Delantera,5.0,87.0,5666.67
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Plateado,Fiat,Strada,2017,Nafta,3.0,Manual,1.6,Pick-Up,86000.0,Hidráulica,Delantera,4.0,115.0,11000.0
Fiat Strada 1.3 Volcano,Mendoza,1.3 Volcano,,Fiat,Strada,2021,Nafta,3.0,Manual,1.3,Pick-Up,16000.0,Hidráulica,Delantera,5.0,99.0,17666.67
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Rojo,Fiat,Strada,2016,Nafta,3.0,Manual,1.6,Pick-Up,90000.0,Hidráulica,Delantera,4.0,115.0,11000.0
Fiat Strada 1.3 DC FIRE FLY VOLCANO L20,Ubicación no encontrada,1.3 DC FIRE FLY VOLCANO L20,Blanco,Fiat,Strada,2021,Nafta,4.0,Manual,1.4,Pick-Up,40461.0,Hidráulica,Delantera,5.0,85.0,17690.67
Fiat Strada 1.3 Volcano,Bs.As. Costa Atlántica,1.3 Volcano,Rojo,Fiat,Strada,2021,Nafta/GNC,4.0,Manual,1.3,Pick-Up,77500.0,Hidráulica,Delantera,5.0,99.0,20500.0
Fiat Strada 1.4 Working Cd C/aa,Ubicación no encontrada,,Dorado,Fiat,Strada,2014,Nafta,2.0,Manual,1.4,Pick-Up,187000.0,Hidráulica,Delantera,5.0,87.0,8500.0
Fiat Strada 1.6 Adventure Cd 115cv,Ubicación no encontrada,1.6 Adventure Cd 115cv,,Fiat,Strada,2012,Nafta,2.0,Manual,1.6,Pick-Up,173000.0,Hidráulica,Delantera,4.0,115.0,8200.0
Fiat Strada 1.4 Working Cd,Ubicación no encontrada,1.4 Working Cd,Blanco,Fiat,Strada,2013,Nafta,2.0,Manual,1.4,Pick-Up,154000.0,Hidráulica,Delantera,5.0,87.0,6333.33
Fiat Strada 1.4 8v Freedom Cd,Capital Federal,1.4 8v Freedom Cd,,Fiat,Strada,2022,Nafta,3.0,Manual,1.4,Pick-Up,49000.0,Hidráulica,Delantera,5.0,85.0,15266.67
Fiat Strada 1.4 Working Cs,Capital Federal,1.4 Working Cs,,Fiat,Strada,2012,Nafta,2.0,Manual,1.4,Pick-Up,166000.0,Hidráulica,Delantera,5.0,87.0,7500.0
Fiat Strada 1.4 Working Cs,Bs.As. G.B.A. Norte,1.4 Working Cs,,Fiat,Strada,2017,Nafta,2.0,Manual,1.4,Pick-Up,142000.0,Hidráulica,Delantera,2.0,87.0,10500.0
Fiat Strada 1.3 Trekking Multijet Cd,Córdoba,1.3 Trekking Multijet Cd,,Fiat,Strada,2016,Diésel,3.0,Manual,1.3,Pick-Up,74000.0,Hidráulica,Delantera,5.0,95.0,11500.0
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Plateado,Fiat,Strada,2017,Nafta,3.0,Manual,1.6,Pick-Up,116000.0,Hidráulica,Delantera,4.0,115.0,11499.0
Fiat Strada 1.6 Adventure Cd C/alarma,Ubicación no encontrada,,Gris,Fiat,Strada,2011,Nafta,2.0,Manual,1.6,Pick-Up,260000.0,Hidráulica,Delantera,4.0,115.0,7333.33
Fiat Strada 1.4 Working Cs C/aa + Pack Seg,Neuquén,,,Fiat,Strada,2014,Nafta,2.0,Manual,1.4,Pick-Up,180000.0,Hidráulica,Delantera,2.0,87.0,8500.0
Fiat Strada 1.3 Volcano,Ubicación no encontrada,1.3 Volcano,Gris,Fiat,Strada,2021,Nafta,3.0,Manual,1.3,Pick-Up,102000.0,Hidráulica,Delantera,5.0,99.0,13993.33
Fiat Strada 1.3 Mjet Trekking Ce,Ubicación no encontrada,1.3 Mjet Trekking Ce,Gris,Fiat,Strada,2012,Diésel,2.0,Manual,1.3,Pick-Up,136785.0,Hidráulica,Delantera,5.0,87.0,7333.33
Fiat Strada 1.4 8v Freedom Cd,Ubicación no encontrada,1.4 8v Freedom Cd,Gris,Fiat,Strada,2022,Nafta,3.0,Manual,1.4,Pick-Up,35000.0,Hidráulica,Delantera,5.0,85.0,14992.0
Fiat Strada 1.4 Working Cd,Ubicación no encontrada,1.4 Working Cd,Blanco,Fiat,Strada,2019,Nafta,3.0,Manual,1.4,Pick-Up,65000.0,Hidráulica,Delantera,5.0,87.0,10633.33
Fiat Strada 1.6 Adventure Cd C/alarma + Lona,Bs.As. G.B.A. Norte,,Blanco,Fiat,Strada,2011,Nafta,2.0,Manual,1.6,Pick-Up,130000.0,Hidráulica,Delantera,4.0,115.0,8500.0
Fiat Strada 1.4 Working Cs,Córdoba,1.4 Working Cs,,Fiat,Strada,2016,Nafta,2.0,Manual,1.4,Pick-Up,111111.0,Hidráulica,Delantera,2.0,87.0,8333.33
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Blanco,Fiat,Strada,2017,Nafta/GNC,2.0,Manual,1.4,Pick-Up,95900.0,Hidráulica,Delantera,2.0,87.0,10000.0
Fiat Strada 1.6 Adventure Cd Pack Top,Bs.As. G.B.A. Oeste,1.6 Adventure Cd Pack Top,Blanco,Fiat,Strada,2019,Nafta,3.0,Manual,1.6,Pick-Up,69000.0,Hidráulica,Delantera,4.0,115.0,12000.0
Fiat Strada 1.3 Volcano,Ubicación no encontrada,1.3 Volcano,Gris,Fiat,Strada,2021,Nafta,4.0,Manual,1.3,Pick-Up,48100.0,Hidráulica,Delantera,5.0,99.0,18998.0
Fiat Strada 1.4 Working Cs Aa,Río Negro,1.4 Working Cs Aa,,Fiat,Strada,2011,Nafta,2.0,Manual,1.4,Pick-Up,137000.0,Hidráulica,Delantera,5.0,87.0,7000.0
Fiat Strada Adventure 1.6,Capital Federal,Adventure 1.6,Gris,Fiat,Strada,2013,Nafta,2.0,Manual,1.6,Pick-Up,201000.0,Hidráulica,Delantera,2.0,115.0,8500.0
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Blanco,Fiat,Strada,2016,Nafta,2.0,Manual,1.4,Pick-Up,95000.0,Hidráulica,Delantera,2.0,87.0,10000.0
Fiat Strada 1.6 Adventure Cd Capota Pk Seg,Ubicación no encontrada,1.6 Adventure Cd Capota Pk Seg,Gris,Fiat,Strada,2014,Nafta/GNC,2.0,Manual,1.6,Pick-Up,128000.0,Hidráulica,Delantera,4.0,115.0,9900.0
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Blanco,Fiat,Strada,2017,Nafta,2.0,Manual,1.4,Pick-Up,130000.0,Hidráulica,Delantera,2.0,87.0,10200.0
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Blanco,Fiat,Strada,2019,Nafta,2.0,Manual,1.4,Pick-Up,110000.0,Hidráulica,Delantera,2.0,87.0,9266.67
Fiat Strada 1.4 DC FIRE ENDURANCE L20,Ubicación no encontrada,1.4 DC FIRE ENDURANCE L20,Blanco,Fiat,Strada,2022,Nafta,4.0,Manual,1.4,Pick-Up,63000.0,Asistida,Delantera,5.0,85.0,14000.0
Fiat Strada 1.6 Adventure Cd Pack Top,Ubicación no encontrada,1.6 Adventure Cd Pack Top,Blanco,Fiat,Strada,2017,Nafta,3.0,Manual,1.6,Pick-Up,110000.0,Hidráulica,Delantera,4.0,115.0,10333.33
Fiat Strada Volcano 4x2 At,Bs.As. G.B.A. Oeste,VOLCANO,Rojo,Fiat,Strada,2024,Nafta,4.0,Manual,1.3,Pick-Up,1000.0,Eléctrica,Delantera,5.0,99.0,13333.33
Fiat Strada 1.4 8v Freedom Cd,Ubicación no encontrada,1.4 8v Freedom Cd,Gris,Fiat,Strada,2021,Nafta,3.0,Manual,1.4,Pick-Up,98500.0,Hidráulica,Delantera,5.0,85.0,12900.0
Fiat Strada 1.4 Working Cs,Bs.As. Costa Atlántica,1.4 Working Cs,Blanco,Fiat,Strada,2018,Nafta,2.0,Manual,1.4,Pick-Up,195000.0,Hidráulica,Delantera,2.0,87.0,9666.67
Fiat Strada 1.6 Adventure Ce Pack Top,Buenos Aires Interior,1.6 Adventure Ce Pack Top,Gris,Fiat,Strada,2015,Nafta,2.0,Manual,1.6,Pick-Up,147000.0,Hidráulica,Delantera,4.0,115.0,11266.67
Fiat Strada 1.4 8v Freedom Cd,Ubicación no encontrada,1.4 8v Freedom Cd,Gris,Fiat,Strada,2023,Nafta,3.0,Manual,1.4,Pick-Up,20000.0,Hidráulica,Delantera,5.0,85.0,18000.0
Fiat Strada 1.3 Trekking Multijet Cd,Ubicación no encontrada,1.3 Trekking Multijet Cd,Blanco,Fiat,Strada,2020,Nafta,5.0,Manual,1.3,Pick-Up,60000.0,Hidráulica,Delantera,5.0,95.0,15000.0
Fiat Strada 1.4 8v Freedom Cd,Ubicación no encontrada,1.4 8v Freedom Cd,Blanco,Fiat,Strada,2023,Nafta,3.0,Manual,1.4,Pick-Up,15000.0,Hidráulica,Delantera,5.0,85.0,13200.0
Fiat Strada 1.4 8v Endurance Cs,Bs.As. G.B.A. Sur,1.4 8v Endurance Cs,Plateado,Fiat,Strada,2022,Nafta,3.0,Manual,1.4,Pick-Up,40000.0,Hidráulica,Delantera,5.0,85.0,14500.0
Fiat Strada 1.6 Adventure Cd C/alarma + Lona,Buenos Aires Interior,,Verde,Fiat,Strada,2011,Nafta,2.0,Manual,1.6,Pick-Up,193000.0,Hidráulica,Delantera,4.0,115.0,8533.33
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Gris,Fiat,Strada,2012,Nafta,2.0,Manual,1.4,Pick-Up,175000.0,Hidráulica,Delantera,5.0,87.0,8000.0
Fiat Strada 1.4 Working Cs,Ubicación no encontrada,1.4 Working Cs,Blanco,Fiat,Strada,2015,Nafta,2.0,Manual,1.4,Pick-Up,121000.0,Hidráulica,Delantera,2.0,87.0,6933.33
Fiat Strada 1.6 Adventure Cd Pack Top,Buenos Aires Interior,1.6 Adventure Cd Pack Top,Verde,Fiat,Strada,2015,Nafta,3.0,Manual,1.6,Pick-Up,82200.0,Hidráulica,Delantera,4.0,115.0,12000.0
Fiat Strada 1.6 Adventure Ce C/alarma + Lona,Ubicación no encontrada,,Negro,Fiat,Strada,2012,Nafta,2.0,Manual,1.6,Pick-Up,241000.0,Hidráulica,Delantera,2.0,115.0,8200.0
Fiat Strada 1.3 Volcano,Ubicación no encontrada,1.3 Volcano,Blanco,Fiat,Strada,2021,Nafta,3.0,Manual,1.3,Pick-Up,97000.0,Hidráulica,Delantera,5.0,99.0,14333.33
Fiat Strada 1.6 Adventure Cd,Ubicación no encontrada,1.6 Adventure Cd,Rojo,Fiat,Strada,2018,Nafta,4.0,Manual,1.7,Pick-Up,178428.0,assisted,Delantera,2.0,115.0,14000.0
Fiat Strada 1.4 Working Cd C/aa + Pack Seg,Ubicación no encontrada,,,Fiat,Strada,2013,Nafta,2.0,Manual,1.4,Pick-Up,162000.0,Hidráulica,Delantera,5.0,87.0,4533.33
Fiat Strada 1.7 Adventure Cab Ex Aa+da,Ubicación no encontrada,,Gris,Fiat,Strada,2008,Diésel,2.0,Manual,1.7,Pick-Up,158000.0,Hidráulica,Delantera,2.0,72.0,5200.0
Fiat Strada 1.4 Working Cd,Bs.As. G.B.A. Oeste,1.4 Working Cd,Blanco,Fiat,Strada,2016,Nafta,3.0,Manual,1.4,Pick-Up,95000.0,Hidráulica,Delantera,5.0,87.0,9500.0
Fiat Strada 1.4 Working Cd,Ubicación no encontrada,1.4 Working Cd,Gris,Fiat,Strada,2019,Nafta,3.0,Manual,1.4,Pick-Up,60000.0,Hidráulica,Delantera,5.0,87.0,12000.0
