Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Volkswagen Suran 1.6 Highline Msi 110cv,Ubicación no encontrada,1.6 Highline Msi 110cv,,Volkswagen,Suran,2017,Nafta,5.0,Manual,1.6,Monovolumen,114500.0,Hidráulica,Delantera,5.0,110.0,10900.0
Volkswagen Suran 1.6 Comfortline 101cv Ab,Ubicación no encontrada,1.6 Comfortline 101cv Ab,Plateado,Volkswagen,Suran,2014,Nafta,5.0,Manual,1.6,Monovolumen,113000.0,Hidráulica,Delantera,5.0,101.0,10500.0
Volkswagen Suran 1.6 Trendline 11b,Bs.As. G.B.A. Sur,1.6 Trendline 11b,Negro,Volkswagen,Suran,2010,Nafta,5.0,Manual,1.6,Monovolumen,270000.0,Hidráulica,Delantera,5.0,101.0,6000.0
Volkswagen Suran 1.6 Comfortline 101cv,Ubicación no encontrada,1.6 Comfortline 101cv,Gris,Volkswagen,Suran,2014,Nafta,5.0,Manual,1.6,Monovolumen,84000.0,Hidráulica,Delantera,5.0,101.0,8500.0
Volkswagen Suran 1.6 I Trendline 90b,Buenos Aires Interior,1.6 I Trendline 90b,,Volkswagen,Suran,2010,Nafta,5.0,Manual,1.6,Monovolumen,113000.0,Hidráulica,Delantera,5.0,101.0,6200.0
Volkswagen Suran 1.6 I Highline 60d,Bs.As. G.B.A. Norte,1.6 I Highline 60d,,Volkswagen,Suran,2007,Nafta,5.0,Manual,1.6,Monovolumen,166000.0,Hidráulica,Delantera,5.0,101.0,6200.0
Volkswagen Suran 1.6 Highline Msi 110cv,Capital Federal,1.6 Highline Msi 110cv,Gris,Volkswagen,Suran,2018,Nafta,5.0,Manual,1.6,Monovolumen,24100.0,Hidráulica,Delantera,5.0,110.0,17000.0
Volkswagen Suran 1.6 Imotion Trendline 11b,Bs.As. G.B.A. Oeste,1.6 Imotion Trendline 11b,Gris,Volkswagen,Suran,2011,Nafta,5.0,Automática,1.6,Monovolumen,125000.0,Hidráulica,Delantera,5.0,101.0,5000.0
Volkswagen Suran 1.6 Comfortline 101cv,Ubicación no encontrada,1.6 Comfortline 101cv,Rojo,Volkswagen,Suran,2016,Nafta,5.0,Manual,1.6,Monovolumen,185000.0,Hidráulica,Delantera,5.0,101.0,8900.0
Volkswagen Suran 1.6 I Highline 80d,Ubicación no encontrada,1.6 I Highline 80d,Rojo,Volkswagen,Suran,2008,Nafta,5.0,Manual,1.6,Monovolumen,113000.0,Hidráulica,Delantera,5.0,101.0,6500.0
