Título,Ubicación,Versión,Color,Marca,Modelo,Año,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Dirección,Control de tracción,Capacidad de personas,Potencia,Precio
Volkswagen Vento 2.0 Tsi Gli 211cv App Connect + Nav,Ubicación no encontrada,,Gris,Volkswagen,Vento,2023,Nafta,4.0,Manual,2.0,Sedán,500.0,Hidráulica,Delantera,5.0,211.0,79900.0
Volkswagen Vento 2.0 Sportline Tsi 200cv,Bs.As. G.B.A. Norte,2.0 Sportline Tsi 200cv,,Volkswagen,Vento,2012,Nafta,4.0,Manual,2.0,Sedán,85000.0,Eléctrica,Delantera,5.0,200.0,15500.0
Volkswagen Vento 2.5 Luxury 170cv,Bs.As. Costa Atlántica,2.5 Luxury 170cv,,Volkswagen,Vento,2010,Nafta,4.0,Manual,2.5,Sedán,244000.0,Eléctrica,Delantera,5.0,170.0,9000.0
Volkswagen Vento 2.5 Luxury 170cv,Ubicación no encontrada,2.5 Luxury 170cv,,Volkswagen,Vento,2013,Nafta,4.0,Manual,2.5,Sedán,115000.0,Hidráulica,Delantera,5.0,170.0,10000.0
Volkswagen Vento 2.0 Sportline Tsi 200cv Bi-xenon Dsg,Bs.As. G.B.A. Norte,2.0 Sportline Tsi 200cv Bi-xenon Dsg,,Volkswagen,Vento,2014,Nafta,4.0,Automática,2.0,Sedán,145000.0,Eléctrica,Delantera,5.0,200.0,16000.0
Volkswagen Vento 2.5 Luxury 170cv,Corrientes,2.5 Luxury 170cv,,Volkswagen,Vento,2012,Nafta,4.0,Manual,2.5,Sedán,132000.0,Hidráulica,Delantera,5.0,170.0,9200.0
Volkswagen Vento 2.5 Luxury 170cv Tiptronic,Santa Fe,2.5 Luxury 170cv Tiptronic,,Volkswagen,Vento,2012,Nafta,4.0,Automática,2.5,Sedán,115000.0,Hidráulica,Delantera,5.0,170.0,10700.0
Volkswagen Vento 2.0 Advance I 110cv,Ubicación no encontrada,2.0 Advance I 110cv,,Volkswagen,Vento,2014,Diésel,4.0,Manual,2.0,Sedán,211000.0,Eléctrica,Delantera,5.0,110.0,10533.33
Volkswagen Vento 2.0 Advance 115cv,Ubicación no encontrada,2.0 Advance 115cv,Negro,Volkswagen,Vento,2016,Nafta,4.0,Manual,2.0,Sedán,80000.0,Hidráulica,Delantera,5.0,115.0,11332.0
Volkswagen Vento 2.0 Luxury I 140cv,Capital Federal,2.0 Luxury I 140cv,Negro,Volkswagen,Vento,2011,Diésel,4.0,Manual,2.0,Sedán,165000.0,Eléctrica,Delantera,5.0,140.0,12200.0
Volkswagen Vento 2.5 Luxury Tiptronic 170cv,Ubicación no encontrada,2.5 Luxury Tiptronic 170cv,Gris,Volkswagen,Vento,2011,Nafta,4.0,Automática,2.5,Sedán,130000.0,Eléctrica,Delantera,5.0,170.0,10900.0
Volkswagen Vento 2.5 Luxury 170cv,Bs.As. G.B.A. Sur,2.5 Luxury 170cv,Gris,Volkswagen,Vento,2015,Nafta,4.0,Manual,2.5,Sedán,110350.0,Hidráulica,Delantera,5.0,170.0,11666.67
Volkswagen Vento 1.4 Comfortline 150cv,Ubicación no encontrada,1.4 Comfortline 150cv,Plateado,Volkswagen,Vento,2017,Nafta,4.0,Manual,1.4,Sedán,55000.0,Eléctrica,Delantera,5.0,150.0,16500.0
Volkswagen Vento 2.0 Tsi Gli 211cv App Connect + Nav,Bs.As. G.B.A. Sur,,,Volkswagen,Vento,2020,Nafta,4.0,Manual,2.0,Sedán,50000.0,Hidráulica,Delantera,5.0,211.0,32500.0
Volkswagen Vento 1.4 Highline 150cv At,Ubicación no encontrada,1.4 Highline 150cv At,,Volkswagen,Vento,2021,Nafta,4.0,Automática,1.4,Sedán,15000.0,Hidráulica,Delantera,5.0,150.0,28500.0
Volkswagen Vento 2.0 Sportline Tsi 200cv Dsg,Ubicación no encontrada,2.0 Sportline Tsi 200cv Dsg,Gris,Volkswagen,Vento,2013,Nafta,4.0,Automática,2.0,Sedán,159000.0,Eléctrica,Delantera,5.0,200.0,14500.0
Volkswagen Vento Luxury dsg,Bs.As. G.B.A. Norte,Luxury dsg,,Volkswagen,Vento,2015,Nafta,4.0,Automática,2.0,Sedán,70000.0,Eléctrica,Delantera,5.0,140.0,15000.0
Volkswagen Vento 2.0 T Fsi Sportline,Ubicación no encontrada,2.0 T Fsi Sportline,Gris,Volkswagen,Vento,2010,Nafta,4.0,Manual,2.0,Sedán,91000.0,Eléctrica,Delantera,5.0,200.0,15000.0
Volkswagen Vento 2.5 Luxury 170cv,Ubicación no encontrada,2.5 Luxury 170cv,,Volkswagen,Vento,2012,Nafta,4.0,Manual,2.5,Sedán,110000.0,Hidráulica,Delantera,5.0,170.0,11900.0
Volkswagen Vento 2.5 Luxury 170cv,Bs.As. G.B.A. Norte,2.5 Luxury 170cv,,Volkswagen,Vento,2009,Nafta,4.0,Manual,2.5,Sedán,220000.0,Eléctrica,Delantera,5.0,170.0,6666.67
Volkswagen Vento 2.5 Luxury 170cv Tiptronic,Ubicación no encontrada,2.5 Luxury 170cv Tiptronic,Negro,Volkswagen,Vento,2011,Nafta,4.0,Automática,2.5,Sedán,104000.0,Hidráulica,Delantera,5.0,170.0,10100.0
Volkswagen Vento 2.0 Advance I 110cv,Bs.As. G.B.A. Oeste,2.0 Advance I 110cv,Gris,Volkswagen,Vento,2011,Diésel,4.0,Manual,2.0,Sedán,165000.0,Eléctrica,DelanteraCapacidad de la batería75 Ah,5.0,110.0,9333.33
Volkswagen Vento 2.5 Luxury 170cv,Bs.As. G.B.A. Norte,2.5 Luxury 170cv,Gris,Volkswagen,Vento,2010,Nafta,4.0,Manual,2.5,Sedán,138000.0,Eléctrica,Delantera,5.0,170.0,10800.0
Volkswagen Vento 2.0 T Fsi Sportline Dsg,Bs.As. G.B.A. Norte,2.0 T Fsi Sportline Dsg,,Volkswagen,Vento,2009,Nafta,4.0,Automática,2.0,Sedán,101000.0,Eléctrica,Delantera,5.0,200.0,12300.0
Volkswagen Vento 2.0 Luxury I 140cv Dsg,Córdoba,2.0 Luxury I 140cv Dsg,,Volkswagen,Vento,2011,Diésel,4.0,Automática,2.0,Sedán,220000.0,Eléctrica,Delantera,5.0,140.0,9000.0
Volkswagen Vento 2.5 Advance Plus 170cv Tiptronic,Ubicación no encontrada,2.5 Advance Plus 170cv Tiptronic,Negro,Volkswagen,Vento,2016,Nafta,4.0,Automática,2.5,Sedán,150000.0,Eléctrica,Delantera,5.0,170.0,12333.33
Volkswagen Vento 2.5 Luxury Wood 170cv,Buenos Aires Interior,2.5 Luxury Wood 170cv,,Volkswagen,Vento,2008,Nafta,4.0,Manual,2.5,Sedán,100500.0,Eléctrica,Delantera,5.0,170.0,9000.0
Volkswagen Vento 2.5 Luxury 170cv,Ubicación no encontrada,2.5 Luxury 170cv,Negro,Volkswagen,Vento,2014,Nafta,4.0,Manual,2.5,Sedán,126000.0,Hidráulica,Delantera,5.0,170.0,9666.67
Volkswagen Vento Variant 2.0 tdi advance,Bs.As. G.B.A. Norte,Variant 2.0 tdi advance,Gris,Volkswagen,Vento,2012,Diésel,5.0,Manual,2.0,Rural,266000.0,Hidráulica,Delantera,5.0,110.0,8200.0
Volkswagen Vento 1.4 Highline 150cv At,Capital Federal,1.4 Highline 150cv At,,Volkswagen,Vento,2017,Nafta,4.0,Automática,1.4,Sedán,102000.0,Hidráulica,Delantera,5.0,150.0,20500.0
Volkswagen Vento 2.0 Sportline Tsi 200cv Dsg,Bs.As. G.B.A. Oeste,2.0 Sportline Tsi 200cv Dsg,,Volkswagen,Vento,2012,Nafta,4.0,Automática,2.0,Sedán,116000.0,Eléctrica,Delantera,5.0,200.0,15500.0
Volkswagen Vento 1.9 I Luxury Wood Dsg,Santa Fe,1.9 I Luxury Wood Dsg,,Volkswagen,Vento,2007,Diésel,4.0,Automática,1.9,Sedán,218000.0,Eléctrica,Delantera,5.0,105.0,6000.0
