Título,Ubicación,Marca,Modelo,Año,Versión,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Piloto automático,Aire acondicionado,Dirección,Control de tracción,Capacidad de personas,Capacidad del tanque,Potencia,Largo,Altura,Ancho,Distancia entre ejes,Precio
Hyundai Santa Fe 2.2 Gls Premium 7as Crdi 6at 4wd,Bs.As. G.B.A. Oeste,Hyundai,Santa Fe,2012,2.2 Gls Premium 7as Crdi 6at 4wd,Negro,Diésel,5,Automática,2.2,SUV,200000,Sí,Sí,Hidráulica,4x4,5,75 L,197,4675,1795,1890,2700 mm,15500
Fiat Uno 1.4 Way,Buenos Aires Interior,Fiat,Uno,2013,1.4 Way,Negro,Nafta,5,Manual,1.4,,83000,,Sí,Hidráulica,,,,,,,,,9500000
Ford Ranger 2.0 Cd 4X4 Limited At 210Cv,Bs.As. G.B.A. Norte,Ford,Ranger,2023,2.0 Cd 4X4 Limited At 210Cv,,Diésel,4,Automática,2.0,Pick-Up,44000,,,,,,,210,,,,,40000
Fiat Palio 1.4 Fire Top Aa+da+pl+ll,Bs.As. G.B.A. Sur,Fiat,Palio,2013,,Rojo,Nafta,5,Manual,1.4,Hatchback,93000,,Sí,Mecánica,Delantera,5,48 L,82,3827,1444,1922,3000 mm,10300000
Volkswagen Tiguan 2.0TDI SPORT&STYLE,Córdoba,Volkswagen,Tiguan,2013,,,Diésel,5,Manual,2.0,SUV,170000,Sí,,Eléctrica,4x4,5,64 L,200,4427,1703,1809,2605 mm,20900000
Audi A4 2.0 Fsi Quattro 252cv,Capital Federal,Audi,A4,2017,2.0 Fsi Quattro 252cv,Negro,Nafta,4,Automática,2.0,Sedán,120000,,Sí,Eléctrica,Integral,5,54 L,252,4726,1427,1983,2933 mm,30500
Chevrolet Cruze II 1.4 Sedan Lt,Santa Fe,Chevrolet,Cruze II,2020,1.4 Sedan Lt,,Nafta,4,Manual,1.4,Sedán,61000,Sí,Sí,Asistida,Delantera,5,60 L,153,4510,1477,1677,2467 mm,26000000
Volkswagen Golf 2.0 Gti Tsi App Connect,Bs.As. G.B.A. Sur,Volkswagen,Golf,2019,2.0 Gti Tsi App Connect,Blanco,Nafta,5,Automática,2.0,Hatchback,46500,Sí,,Eléctrica,Delantera,5,50 L,230,4255,1452,1799,2631 mm,37500
Toyota Hilux Pick-up 2.8 Cd Srx 177cv 4x2 At,Córdoba,Toyota,Hilux Pick-Up,2024,2.8 Cd Srx 177cv 4x2 At,Gris,Diésel,4,Automática,2.8,Pick-Up,999,Sí,,Hidráulica,4x2,5,80 L,177,5260,1850,1855,2860 mm,63900000
Fiat Toro 2.0 Freedom 4x2,Bs.As. G.B.A. Sur,Fiat,Toro,2017,2.0 Freedom 4x2,,Diésel,4,Manual,2.0,Pick-Up,180000,,,,4x2,5,60 L,170,4915,1690,1669,2443 mm,14000
Peugeot 207 1.4 Xs,Bs.As. G.B.A. Norte,Peugeot,207,2009,1.4 Xs,Gris,Nafta,5,Manual,1.4,Hatchback,202000,No,Sí,Hidráulica,Delantera,5,50 L,75,3872,1446,1669,2443 mm,6500000
Ford Territory 1.5t Titanium,Capital Federal,Ford,Territory,2021,1.5t Titanium,,Nafta,5,Automática,1.5,SUV,57000,,,Asistida,Delantera,5,52 L,143,4580,1674,2179,2716 mm,28500
Ford Focus III 1.6 S,Bs.As. G.B.A. Sur,Ford,Focus III,2014,1.6 S,Blanco,Nafta,5,Manual,1.6,Hatchback,184000,,,Asistida,Delantera,5,55 L,125,4412,1484,1774,2748 mm,11200
Volkswagen Vento 1.4 Highline 150cv At,Córdoba,Volkswagen,Vento,2021,1.4 Highline 150cv At,,Nafta,4,Automática,1.4,Sedán,70000,,,Hidráulica,Delantera,5,55 L,150,4554,1461,1778,2651 mm,36500000
Peugeot 2008 1.6 Allure Tip,Bs.As. G.B.A. Norte,Peugeot,2008,2017,1.6 Allure Tip,,Nafta,5,Automática,1.6,SUV,74500,,,Eléctrica,Delantera,5,55 L,115,4159,1583,1739,2542 mm,15000
Volkswagen Gol 1.4 Power 83cv 3 p,Córdoba,Volkswagen,Gol,2013,1.4 Power 83cv 3 p,,Nafta,3,Manual,1.4,Hatchback,56000,,,,Delantera,5,51 L,83,3951,1414,1656,2465 mm,8300000
Renault Sandero Stepway 1.6 16v Zen,Buenos Aires Interior,Renault,Sandero Stepway,2022,1.6 16v Zen,Plateado,Nafta,5,Manual,1.6,Hatchback,60000,Sí,,Hidráulica,Delantera,5,50 L,115,4066,1559,1761,2590 mm,20000000
Volkswagen Gol Power 1.6 5p full gnc,Capital Federal,Volkswagen,Gol,2011,Power 1.6 5p full gnc,Gris,Nafta/GNC,5,Manual,,Hatchback,220000,,,Asistida,Delantera,5,51 L,92,3951,1414,1656,2465 mm,7500000
Toyota Corolla 1.8 Xei Cvt Pack 140cv,Bs.As. G.B.A. Norte,Toyota,Corolla,2016,1.8 Xei Cvt Pack 140cv,Blanco,Nafta,4,Automática,1.8,Sedán,82000,Sí,Sí,Eléctrica,Delantera,5,57 L,140,4620,1460,1775,2700 mm,17200
Chevrolet Cruze 1.8 Ltz Mt 141cv,Capital Federal,Chevrolet,Cruze,2014,1.8 Ltz Mt 141cv,,Nafta,4,Manual,1.8,Sedán,52000,Sí,Sí,Hidráulica,Delantera,5,60 L,141,4597,1477,1677,2467 mm,12000
Ford Ecosport 2.0 My10 Xlt Plus 4x2,Bs.As. G.B.A. Sur,Ford,Ecosport,2011,2.0 My10 Xlt Plus 4x2,,Nafta,5,Manual,2.0,SUV,260000,,Sí,Hidráulica,Delantera,5,54 L,143,4240,1679,1762,2612 mm,7800
Peugeot 308 1.6 Feline Thp 163cv Tiptronic,Bs.As. G.B.A. Oeste,Peugeot,308,2017,1.6 Feline Thp 163cv Tiptronic,Gris,Nafta,5,Automática,1.6,Hatchback,85000,Sí,,Hidráulica,Delantera,5,60 L,163,4292,1518,1800,2608 mm,17500000
Volkswagen Golf 1.6 Format,Bs.As. G.B.A. Norte,Volkswagen,Golf,2000,1.6 Format,,Nafta,5,Manual,1.6,Hatchback,152000,,Sí,Hidráulica,Delantera,5,55 L,100,4149,1459,1735,2515 mm,7999999
Chevrolet Tracker 1.8 Ltz 140cv,Bs.As. G.B.A. Sur,Chevrolet,Tracker,2018,1.8 Ltz 140cv,Negro,Nafta,5,Automática,1.8,SUV,64000,Sí,Sí,,Integral,5,53 L,140,4248,1674,1657,2465 mm,20000000
Toyota Hilux 3.0 Cd Srv Cuero 171cv 4x2 - E4,Mendoza,Toyota,Hilux,2015,3.0 Cd Srv Cuero 171cv 4x2 - E4,,Diésel,4,Manual,3.0,Pick-Up,150000,Sí,,Hidráulica,4x2,5,80 L,171,5260,1860,1855,2860 mm,27000000
Mini Cooper S 1.6 Chili,Mendoza,Mini,Cooper S,2008,1.6 Chili,Rojo,Nafta,2,Manual,1.6,Hatchback,132000,,,Hidráulica,Delantera,2,50 L,175,,,,2467 mm,14300
Honda HR-V 1.8 Ex-l 2wd Cvt,Bs.As. G.B.A. Sur,Honda,HR-V,2019,1.8 Ex-l 2wd Cvt,Gris,Nafta,5,Automática,1.8,SUV,85008,Sí,,Eléctrica,4x2,5,50 L,140,4294,1586,1770,2640 mm,21900
Ford Ranger Raptor 2.0l Biturbo Cabina Doble 4x4,Bs.As. Costa Atlántica,Ford,Ranger Raptor,2021,2.0l Biturbo Cabina Doble 4x4,Gris,Diésel,4,Automática,2.0,Pick-Up,98000,Sí,,Eléctrica,4x4,5,80 L,213,5359,1873,1730,2670 mm,40900
Volkswagen Saveiro 1.6 Gp Cs 101cv Aa+hd+safety,Capital Federal,Volkswagen,Saveiro,2015,,Blanco,Nafta,2,Manual,1.6,Pick-Up,135000,,Sí,Hidráulica,Delantera,2,55 L,101,4493,1497,1729,2753 mm,9800
BMW X5 3.0 Xdrive 30d Executive 245cv,Bs.As. G.B.A. Oeste,BMW,X5,2010,3.0 Xdrive 30d Executive 245cv,Gris,Diésel,5,Automática,3.0,SUV,107000,Sí,No,Asistida,4x4,7,85 L,245,4854,1766,1823,2648 mm,25000
Audi A3 Sportback 1.4 Tsi Mt,Capital Federal,Audi,A3 Sportback,2011,1.4 Tsi Mt,,Nafta,5,Manual,1.4,Hatchback,105000,No,Sí,Asistida,Delantera,5,55 L,125,4292,1423,1874,2912 mm,12900
Ford Kuga 2.0 Titanium At Awd,Capital Federal,Ford,Kuga,2016,2.0 Titanium At Awd,Negro,Nafta,5,Automática,2.0,SUV,109800,Sí,,Eléctrica,Integral,5,60 L,180,4524,1684,1727,2587 mm,26900000
Chevrolet Cruze 2.0 Vcdi Sedan Ltz At 163cv,Bs.As. G.B.A. Sur,Chevrolet,Cruze,2013,2.0 Vcdi Sedan Ltz At 163cv,Gris,Diésel,4,Automática,2.0,Sedán,198000,Sí,Sí,Hidráulica,Delantera,5,60 L,163,4597,1477,1641,2465 mm,13000000
Toyota Hilux 2.8 Cd Srv 177cv 4x2,Buenos Aires Interior,Toyota,Hilux,2017,2.8 Cd Srv 177cv 4x2,,Diésel,4,Manual,2.8,Pick-Up,170000,Sí,,Hidráulica,4x2,5,80 L,177,5260,1850,1855,2860 mm,23800
Ford Ecosport 1.5 Se 123cv 4x2,Córdoba,Ford,Ecosport,2017,1.5 Se 123cv 4x2,Azul,Nafta,5,Manual,1.5,SUV,165000,,Sí,Asistida,4x2Capacidad de la batería75 Ah,5,52 L,123,4241,1693,1821,2608 mm,15200
Renault Sandero Stepway 1.6 16v Intense,Bs.As. G.B.A. Sur,Renault,Sandero Stepway,2022,1.6 16v Intense,Gris,Nafta,5,Manual,1.6,Hatchback,38500,Sí,,Hidráulica,Delantera,5,50 L,115,4066,1559,1761,2590 mm,18500000
Volkswagen Passat 2.0 Luxury Tsi 211cv Dsg,Capital Federal,Volkswagen,Passat,2012,2.0 Luxury Tsi 211cv Dsg,Gris,Nafta,4,Automática,2.0,Sedán,128000,Sí,,Eléctrica,Delantera,5,70 L,211,4769,1470,1820,2712 mm,11500
Ford Fiesta Kinetic Design 1.6 S 120cv,Bs.As. G.B.A. Oeste,Ford,Fiesta Kinetic Design,2015,1.6 S 120cv,Blanco,Nafta,5,Manual,1.6,Hatchback,200000,Sí,,Eléctrica,Delantera,5,45 L,120,4066,1473,1801,2415 mm,11500
Toyota Hilux Pick-Up 2.8 Cd Srx 204Cv 4X4 At,Buenos Aires Interior,Toyota,Hilux Pick-Up,2022,2.8 Cd Srx 204Cv 4X4 At,,Diésel,4,Automática,2.8,Pick-Up,31000,Sí,,Hidráulica,4x4,5,80 L,204,5260,1850,1855,2860 mm,38500
Ford Mondeo 1.8 Clx,Bs.As. G.B.A. Oeste,Ford,Mondeo,1997,1.8 Clx,,Diésel,5,Manual,1.8,Hatchback,200000,,,Hidráulica,Delantera,5,62 L,88,4556,1372,1749,2704 mm,4000000
Mercedes-benz Clase C 1.8 C250 Avant Edition B.eff At,Bs.As. G.B.A. Sur,,Clase C,2014,1.8 C250 Avant Edition B.eff At,Gris,Nafta,4,Automática,1.8,Sedán,106000,Sí,Sí,Asistida,Delantera,5,66 L,204,4581,1445,1770,2760 mm,24900
Citroën Xsara Picasso 2.0 Fase2 Hdi Exclusive,Capital Federal,,Xsara Picasso,2009,2.0 Fase2 Hdi Exclusive,Gris,Diésel,5,Manual,2.0,Monovolumen,110000,,Sí,Hidráulica,Delantera,5,60 L,90,4276,1660,1996,3950 mm,8000000
Toyota Yaris 1.5 107cv Xls 4 p,Corrientes,Toyota,Yaris,2021,1.5 107cv Xls 4 p,,Nafta,4,Manual,1.5,Sedán,58000,,,,Delantera,5,42 L,107,3945,1510,1695,2550 mm,23000000
Fiat Cronos 1.3 Drive S-design Mt,Capital Federal,Fiat,Cronos,2023,1.3 Drive S-design Mt,Gris,Nafta,4,Manual,1.3,Sedán,18600,,Sí,Eléctrica,Delantera,5,48 L,99,4364,1508,1724,2521 mm,17500
Volkswagen Gol 1.4 Power 83cv 3 p,Bs.As. G.B.A. Oeste,Volkswagen,Gol,2013,1.4 Power 83cv 3 p,,Nafta,3,Manual,1.4,Hatchback,127000,,,,Delantera,5,51 L,83,3951,1414,1656,2465 mm,6300
Chevrolet Prisma 1.4 Ltz At,Bs.As. G.B.A. Norte,Chevrolet,Prisma,2015,1.4 Ltz At,Blanco,Nafta,4,Automático,1,Sedán,54987,No,No,Asistida,4x2,5,54 L,98,4275,1484,1656,2465 mm,12560000
Nissan Frontier 2.3 CD S MT 4x4,Bs.As. G.B.A. Norte,Nissan,Frontier,2021,2.3 CD S MT 4x4,Blanco,Diésel,4,Manual,1,Pick-Up,82160,No,No,Asistida,4x4,5,80 L,190,5260,1850,1790,3150 mm,25180000
Toyota Hilux SRX 4X4,Córdoba,Toyota,Hilux,2017,SRX 4X4,Blanco,Diésel,5,Manual,2.8,Pick-Up,80000,Sí,,Asistida,4x4,5,80 L,177,5260,1850,1855,2860 mm,41500000
Peugeot 208 1.6 Feline,Capital Federal,Peugeot,208,2017,1.6 Feline,,Nafta,5,Manual,1.6,Hatchback,111111,,,Eléctrica,Delantera,5,55 L,115,3872,1470,1702,2541 mm,13000
Toyota Corolla Cross 2.0 Xei Cvt,La Pampa,Toyota,Corolla Cross,2022,2.0 Xei Cvt,Gris,Nafta,5,Automática,2.0,SUV,15000,Sí,,Eléctrica,4x2,5,47 L,170,4460,1620,1825,2465 mm,30900
Nissan March 1.6 Active 107cv May14,Buenos Aires Interior,Nissan,March,2016,1.6 Active 107cv May14,,Nafta,5,Manual,1.6,Hatchback,100000,,,Asistida,Delantera,5,41 L,107,3780,1528,1675,2450 mm,11000
Audi Q3 2.0 Tfsi Stronic Quattro 220cv,Bs.As. G.B.A. Norte,Audi,Q3,2024,2.0 Tfsi Stronic Quattro 220cv,Negro,Nafta,5,Automática,2.0,SUV,5000,Sí,Sí,Eléctrica,Integral,5,64 L,211,4385,1590,1789,2710 mm,88000
Ford Ranger 3.2 Cd Limited Tdci 200cv Automática,Santa Cruz,Ford,Ranger,2017,3.2 Cd Limited Tdci 200cv Automática,Plateado,Diésel,4,Automática,3.2,Pick-Up,82000,Sí,,Eléctrica,4x4,5,80 L,200,5359,1815,1860,3220 mm,34000000
Audi A4 1.8 Tfsi Sport Cuero,Bs.As. G.B.A. Oeste,Audi,A4,2013,1.8 Tfsi Sport Cuero,Gris,Nafta,4,Manual,1.8,Sedán,60000,,Sí,Eléctrica,Delantera,5,70 L,150,4586,1427,1772,2642 mm,17000
Volkswagen Vento 2.5 Advance Plus 170cv,Bs.As. G.B.A. Norte,Volkswagen,Vento,2015,2.5 Advance Plus 170cv,,Nafta,4,Manual,2.5,Sedán,159000,Sí,Sí,Eléctrica,Delantera,5,55 L,170,4554,1461,1778,2651 mm,13800
Toyota Etios 1.5 Sedan Xls At,Capital Federal,Toyota,Etios,2018,1.5 Sedan Xls At,Negro,Nafta,4,Automática,1.5,Sedán,120000,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,12500
Honda Civic 1.8 Exs At,Bs.As. G.B.A. Norte,Honda,Civic,2012,1.8 Exs At,Plateado,Nafta,4,Automática,1.8,Sedán,103000,Sí,,Hidráulica,Delantera,5,50 L,140,4489,1453,1781,2578 mm,12000
Toyota Corolla 2.0 Xei Cvt 170cv,Capital Federal,Toyota,Corolla,2023,2.0 Xei Cvt 170cv,Gris,Nafta,4,Automática,2.0,Sedán,1000,Sí,,Eléctrica,Delantera,5,57 L,170,4630,1435,1780,2700 mm,26700
Chevrolet S10 2.8 High Country Cd Tdci 200cv,Capital Federal,Chevrolet,S10,2024,2.8 High Country Cd Tdci 200cv,Blanco,Diésel,4,Manual,2.8,Pick-Up,1000,Sí,Sí,Asistida,4x2,5,76 L,200,5367,1889,1820,2709 mm,51625275
Renault Clio 1.2 Authentique Aa Da,Bs.As. G.B.A. Sur,Renault,Clio,2007,1.2 Authentique Aa Da,,Nafta,3,Manual,1.2,Hatchback,190000,,Sí,Hidráulica,Delantera,5,50 L,75,3773,1435,1639,2472 mm,4400
Ford Focus 2 2.0 5p Se Plus,Capital Federal,Ford,Focus 2,2016,2.0 5p SE PLUS,,Nafta,5,,,,160000,,,,,,,,,,,,11000
Ford Kuga Hibrida Se 2.5 Hibrida Año 2020 Ant Y Financio,Capital Federal,Ford,Kuga,2020,Hibrida SE 2.5L,,Híbrido,5,,,,49000,,,,,,,,,,,,35000
Toyota Etios 1.5 Sedan Xls My19,Bs.As. G.B.A. Norte,Toyota,Etios,2023,1.5 Sedan Xls My19,,Nafta,4,Manual,1.5,Sedán,11500,,,Eléctrica,Delantera,5,45 L,103,4265,1510,1695,2460 mm,17900
